field,acronym,gse,expansion,id,verified,acronym_attested,how
Tissue,hESC,GSE48257,Human Embryonic Stem Cells,D000066449,True,False,expansion_in_gse
Tissue,hESC,GSE45030,Human Embryonic Stem Cells,D000066449,True,False,expansion_in_gse
Tissue,hESC,GSE65106,Human Embryonic Stem Cells,D000066449,False,False,unsupported
Tissue,hESC,GSE58508,Human Embryonic Stem Cells,D000066449,True,False,expansion_in_gse
Tissue,hESC,GSE139085,Human Embryonic Stem Cells,D000066449,True,False,expansion_tokens_in_gse
Tissue,hESC,GSE72923,Human Embryonic Stem Cells,D000066449,True,False,expansion_in_gse
Tissue,hESC,GSE68035,Human Embryonic Stem Cells,D000066449,True,False,expansion_in_gse
Tissue,hESC,GSE46872,Human Embryonic Stem Cells,D000066449,True,False,expansion_tokens_in_gse
Tissue,hESC,GSE24768,Human Embryonic Stem Cells,D000066449,True,False,expansion_in_gse
Tissue,hESC,GSE81891,Human Embryonic Stem Cells,D000066449,False,False,unsupported
Tissue,hESC,GSE21655,Human Embryonic Stem Cells,D000066449,True,False,expansion_in_gse
Tissue,hESC,GSE64876,Human Embryonic Stem Cells,D000066449,True,False,expansion_in_gse
Tissue,hESC,GSE45727,Human Embryonic Stem Cells,D000066449,True,False,expansion_in_gse
Tissue,hESC,GSE58809,Human Embryonic Stem Cells,D000066449,True,False,expansion_in_gse
Tissue,hESC,GSE48761,Human Embryonic Stem Cells,D000066449,False,False,unsupported
Tissue,hESC,GSE43080,Human Embryonic Stem Cells,D000066449,True,False,expansion_in_gse
Tissue,hESC,GSE29770,Human Embryonic Stem Cells,D000066449,True,False,expansion_in_gse
Tissue,hESC,GSE39762,Human Embryonic Stem Cells,D000066449,True,False,expansion_in_gse
Tissue,hESC,GSE61842,Human Embryonic Stem Cells,D000066449,True,False,expansion_in_gse
Tissue,hESC,GSE34865,Human Embryonic Stem Cells,D000066449,True,False,expansion_in_gse
Tissue,hESC,GSE71949,Human Embryonic Stem Cells,D000066449,True,False,expansion_in_gse
Tissue,hESC,GSE104818,Human Embryonic Stem Cells,D000066449,True,False,expansion_in_gse
Tissue,hESC,GSE63192,Human Embryonic Stem Cells,D000066449,True,False,expansion_in_gse
Tissue,hESC,GSE54725,Human Embryonic Stem Cells,D000066449,False,False,unsupported
Tissue,MZ7,GSE51221,MZ-MEL-7,CVCL_1436,False,False,unsupported
Tissue,MZ7,GSE71798,MZ-MEL-7,CVCL_1436,True,False,cellline_acronym_in_gse
Tissue,LCC2,GSE70949,MCF7/LCC2,CVCL_DP51,False,False,unsupported
Tissue,LCC2,GSE54891,MCF7/LCC2,CVCL_DP51,True,False,cellline_acronym_in_gse
Tissue,LCC9,GSE70949,MCF7/LCC9,CVCL_DP52,False,False,unsupported
Tissue,LCC9,GSE54891,MCF7/LCC9,CVCL_DP52,True,False,cellline_acronym_in_gse
Tissue,U6A,GSE87090,2fTGH-U6A,CVCL_D316,True,False,cellline_acronym_in_gse
Tissue,U6A,GSE126565,2fTGH-U6A,CVCL_D316,True,False,cellline_acronym_in_gse
Tissue,HNC,GSE117973,biopsy HNC,ART-T-00129,False,True,unsupported
Tissue,NSC,GSE55107,HUES 6,CVCL_B194,True,False,cellline_acronym_in_gse
Tissue,hiPSC,GSE54822,Induced Pluripotent Stem Cells,D057026,True,False,expansion_in_gse
Tissue,hiPSC,GSE45030,Induced Pluripotent Stem Cells,D057026,True,False,expansion_in_gse
Tissue,hiPSC,GSE22392,Induced Pluripotent Stem Cells,D057026,True,False,expansion_in_gse
Tissue,hiPSC,GSE60372,Induced Pluripotent Stem Cells,D057026,True,False,expansion_in_gse
Tissue,hiPSC,GSE57378,Induced Pluripotent Stem Cells,D057026,True,False,expansion_in_gse
Tissue,hiPSC,GSE76900,Induced Pluripotent Stem Cells,D057026,False,False,unsupported
Tissue,hiPSC,GSE111766,Induced Pluripotent Stem Cells,D057026,True,False,expansion_in_gse
Tissue,hiPSC,GSE119284,Induced Pluripotent Stem Cells,D057026,True,False,expansion_in_gse
Tissue,hiPSC,GSE119277,Induced Pluripotent Stem Cells,D057026,True,False,expansion_in_gse
Tissue,hiPSC,GSE119275,Induced Pluripotent Stem Cells,D057026,True,False,expansion_in_gse
Tissue,PC3,GSE116895,HNC PC3,CVCL_C8XA,False,False,unsupported
Tissue,PC3,GSE62053,HNC PC3,CVCL_C8XA,True,False,cellline_acronym_in_gse
Tissue,PC3,GSE56172,HNC PC3,CVCL_C8XA,True,False,cellline_acronym_in_gse
Tissue,PC3,GSE211813,HNC PC3,CVCL_C8XA,True,False,cellline_acronym_in_gse
Tissue,PC3,GSE83913,HNC PC3,CVCL_C8XA,True,False,cellline_acronym_in_gse
Tissue,PC3,GSE54758,HNC PC3,CVCL_C8XA,False,False,unsupported
Tissue,PC3,GSE245308,HNC PC3,CVCL_C8XA,True,False,cellline_acronym_in_gse
Tissue,PC3,GSE118123,HNC PC3,CVCL_C8XA,True,False,cellline_acronym_in_gse
Tissue,PC3,GSE70570,HNC PC3,CVCL_C8XA,False,False,unsupported
Tissue,PC3,GSE125087,HNC PC3,CVCL_C8XA,True,False,cellline_acronym_in_gse
Tissue,PC3,GSE39735,HNC PC3,CVCL_C8XA,False,False,unsupported
Tissue,PC3,GSE196746,HNC PC3,CVCL_C8XA,True,False,cellline_acronym_in_gse
Tissue,PC3,GSE108309,HNC PC3,CVCL_C8XA,True,False,cellline_acronym_in_gse
Tissue,PC3,GSE56352,HNC PC3,CVCL_C8XA,False,False,unsupported
Tissue,PC3,GSE34211,HNC PC3,CVCL_C8XA,False,False,unsupported
Tissue,PC3,GSE51053,HNC PC3,CVCL_C8XA,True,False,cellline_acronym_in_gse
Tissue,PC3,GSE149784,HNC PC3,CVCL_C8XA,True,False,cellline_acronym_in_gse
Tissue,PC3,GSE104418,HNC PC3,CVCL_C8XA,True,False,cellline_acronym_in_gse
Tissue,PC3,GSE67256,HNC PC3,CVCL_C8XA,True,False,cellline_acronym_in_gse
Tissue,PC3,GSE17317,HNC PC3,CVCL_C8XA,True,False,cellline_acronym_in_gse
Tissue,PC3,GSE151719,HNC PC3,CVCL_C8XA,True,False,cellline_acronym_in_gse
Tissue,PC3,GSE70571,HNC PC3,CVCL_C8XA,False,False,unsupported
Tissue,PC3,GSE73044,HNC PC3,CVCL_C8XA,True,False,cellline_acronym_in_gse
Tissue,PC3,GSE149427,HNC PC3,CVCL_C8XA,True,False,cellline_acronym_in_gse
Tissue,PC3,GSE56582,HNC PC3,CVCL_C8XA,True,False,cellline_acronym_in_gse
Tissue,PC3,GSE36085,HNC PC3,CVCL_C8XA,True,False,cellline_acronym_in_gse
Tissue,PC3,GSE36531,HNC PC3,CVCL_C8XA,True,False,cellline_acronym_in_gse
Tissue,PC3,GSE80750,HNC PC3,CVCL_C8XA,True,False,cellline_acronym_in_gse
Tissue,PC3,GSE42913,HNC PC3,CVCL_C8XA,False,False,unsupported
Tissue,PC3,GSE48672,HNC PC3,CVCL_C8XA,False,False,unsupported
Tissue,PC3,GSE73284,HNC PC3,CVCL_C8XA,True,False,cellline_acronym_in_gse
Tissue,PC3,GSE108641,HNC PC3,CVCL_C8XA,True,False,cellline_acronym_in_gse
Tissue,PC3,GSE189883,HNC PC3,CVCL_C8XA,True,False,cellline_acronym_in_gse
Tissue,PC3,GSE75531,HNC PC3,CVCL_C8XA,True,False,cellline_acronym_in_gse
Tissue,PC3,GSE41322,HNC PC3,CVCL_C8XA,True,False,cellline_acronym_in_gse
Tissue,PC3,GSE135573,HNC PC3,CVCL_C8XA,True,False,cellline_acronym_in_gse
Tissue,PC3,GSE70923,HNC PC3,CVCL_C8XA,True,False,cellline_acronym_in_gse
Tissue,PC3,GSE14464,HNC PC3,CVCL_C8XA,True,False,cellline_acronym_in_gse
Tissue,PC3,GSE33182,HNC PC3,CVCL_C8XA,True,False,cellline_acronym_in_gse
Tissue,PC3,GSE182619,HNC PC3,CVCL_C8XA,True,False,cellline_acronym_in_gse
Tissue,PC3,GSE74631,HNC PC3,CVCL_C8XA,True,False,cellline_acronym_in_gse
Tissue,PC3,GSE181088,HNC PC3,CVCL_C8XA,True,False,cellline_acronym_in_gse
Tissue,PC3,GSE133120,HNC PC3,CVCL_C8XA,True,False,cellline_acronym_in_gse
Tissue,PC3,GSE107106,HNC PC3,CVCL_C8XA,True,False,cellline_acronym_in_gse
Tissue,PC3,GSE33455,HNC PC3,CVCL_C8XA,False,False,unsupported
Tissue,LK63,GSE89489,LK63 [Melbourne],CVCL_7986,True,False,cellline_acronym_in_gse
Tissue,U87MG,GSE140272,U-87MG ATCC,CVCL_0022,False,False,unsupported
Tissue,U87MG,GSE54967,U-87MG ATCC,CVCL_0022,True,False,cellline_acronym_in_gse
Tissue,U87MG,GSE88771,U-87MG ATCC,CVCL_0022,True,False,cellline_acronym_in_gse
Tissue,U87MG,GSE36901,U-87MG ATCC,CVCL_0022,True,False,cellline_acronym_in_gse
Tissue,U87MG,GSE75789,U-87MG ATCC,CVCL_0022,True,False,cellline_acronym_in_gse
Tissue,U87MG,GSE18892,U-87MG ATCC,CVCL_0022,True,False,cellline_acronym_in_gse
Tissue,U87MG,GSE54369,U-87MG ATCC,CVCL_0022,True,False,cellline_acronym_in_gse
Tissue,U87MG,GSE195506,U-87MG ATCC,CVCL_0022,True,False,cellline_acronym_in_gse
Tissue,U87MG,GSE61388,U-87MG ATCC,CVCL_0022,True,False,cellline_acronym_in_gse
Tissue,U87MG,GSE118983,U-87MG ATCC,CVCL_0022,True,False,cellline_acronym_in_gse
Tissue,U87MG,GSE124727,U-87MG ATCC,CVCL_0022,True,False,cellline_acronym_in_gse
Tissue,U87MG,GSE116395,U-87MG ATCC,CVCL_0022,True,False,cellline_acronym_in_gse
Tissue,U87MG,GSE248352,U-87MG ATCC,CVCL_0022,True,False,cellline_acronym_in_gse
Tissue,U87MG,GSE96911,U-87MG ATCC,CVCL_0022,True,False,cellline_acronym_in_gse
Tissue,U87MG,GSE14889,U-87MG ATCC,CVCL_0022,True,False,cellline_acronym_in_gse
Tissue,U87MG,GSE73662,U-87MG ATCC,CVCL_0022,True,False,cellline_acronym_in_gse
Tissue,HK2,GSE54284,HK-2 [Human kidney],CVCL_0302,True,False,cellline_acronym_in_gse
Tissue,HK2,GSE71602,HK-2 [Human kidney],CVCL_0302,True,False,cellline_acronym_in_gse
Tissue,HK2,GSE99324,HK-2 [Human kidney],CVCL_0302,True,False,cellline_acronym_in_gse
Tissue,SLM2,GSE68453,MEL-SLM2,CVCL_ZL70,False,False,unsupported
Tissue,HBL1,GSE45630,HBL-1 [Human AIDS-related non-Hodgkin lymphoma],CVCL_M572,False,False,unsupported
Tissue,HBL1,GSE92619,HBL-1 [Human AIDS-related non-Hodgkin lymphoma],CVCL_M572,False,False,unsupported
Tissue,HBL1,GSE43510,HBL-1 [Human AIDS-related non-Hodgkin lymphoma],CVCL_M572,True,False,cellline_acronym_in_gse
Tissue,hIPSC,GSE34879,Induced Pluripotent Stem Cells,D057026,True,False,expansion_in_gse
Tissue,KHOS,GSE89370,KHOS/NP,CVCL_2546,True,False,cellline_acronym_in_gse
Tissue,KHOS,GSE73422,KHOS/NP,CVCL_2546,True,False,cellline_acronym_in_gse
Tissue,KHOS,GSE89074,KHOS/NP,CVCL_2546,True,False,cellline_acronym_in_gse
Tissue,KHOS,GSE44713,KHOS/NP,CVCL_2546,False,False,unsupported
Tissue,KHOS,GSE86109,KHOS/NP,CVCL_2546,True,False,cellline_acronym_in_gse
Tissue,MB468,GSE103018,MDA-MB-468,CVCL_0419,False,False,unsupported
Tissue,MB231,GSE103018,MDA-MB-231,CVCL_0062,False,False,unsupported
Tissue,TH2,GSE107397,Th2 Cells,D018418,False,False,unsupported
Tissue,BONE,GSE66495,Bone and Bones,D001842,True,False,expansion_in_gse
Tissue,DBTRG,GSE43452,DBTRG-05MG,CVCL_1169,True,False,cellline_acronym_in_gse
Tissue,CEM,GSE20667,CCRF-CEM,CVCL_0207,True,False,cellline_acronym_in_gse
Tissue,CEM,GSE46599,CCRF-CEM,CVCL_0207,True,False,cellline_acronym_in_gse
Tissue,CEM,GSE40635,CCRF-CEM,CVCL_0207,True,False,cellline_acronym_in_gse
Tissue,CEM,GSE32523,CCRF-CEM,CVCL_0207,True,False,cellline_acronym_in_gse
Tissue,KG1,GSE54484,B16-F10.9.KG1,CVCL_E3VV,True,False,cellline_acronym_in_gse
Tissue,KG1,GSE24147,B16-F10.9.KG1,CVCL_E3VV,False,False,unsupported
Tissue,KG1,GSE189492,B16-F10.9.KG1,CVCL_E3VV,False,False,unsupported
Tissue,LCC1,GSE70949,MCF7/LCC1,CVCL_DP50,False,False,unsupported
Tissue,hNSC,GSE77475,"hNSC transduced with MYC, dominant-negative TP53",ART-T-00322,True,False,expansion_tokens_in_gse
Tissue,DCIS,GSE18370,MCF10DCIS.com,CVCL_5552,True,False,cellline_acronym_in_gse
Tissue,DCIS,GSE66746,MCF10DCIS.com,CVCL_5552,True,False,cellline_acronym_in_gse
Tissue,DCIS,GSE66313,MCF10DCIS.com,CVCL_5552,True,False,cellline_acronym_in_gse
Tissue,C3A,GSE68379,Hep-G2/C3A,CVCL_1098,False,False,unsupported
Tissue,CS1,GSE68379,CS-1 [Human chondrosarcoma],CVCL_T023,False,False,unsupported
Tissue,NB10,GSE68379,SJNB-10,CVCL_1441,False,False,unsupported
Tissue,NB13,GSE68379,SJNB-13,CVCL_1443,False,False,unsupported
Tissue,NB12,GSE68379,SJNB-12,CVCL_1442,False,False,unsupported
Tissue,NB14,GSE68379,SJNB-14,CVCL_1444,False,False,unsupported
Tissue,NB17,GSE68379,SJNB-17,CVCL_1445,False,False,unsupported
Tissue,NB5,GSE68379,SJNB-5,CVCL_8822,False,False,unsupported
Tissue,NB6,GSE68379,SJNB-6,CVCL_8823,False,False,unsupported
Tissue,NB7,GSE68379,SJNB-7,CVCL_8824,False,False,unsupported
Tissue,PL18,GSE68379,Panc 05.04,CVCL_1637,False,False,unsupported
Tissue,SAT,GSE68379,SAT [Human HNSCC],CVCL_3160,False,False,unsupported
Tissue,SKN,GSE68379,SK-OV-3 SKN,CVCL_E8BR,False,False,unsupported
Tissue,TK,GSE68379,TK [Human B-cell lymphoma],CVCL_3216,False,False,unsupported
Tissue,DNA,GSE66708,"Tumor Cells, Cultured",D014407,False,False,unsupported
Tissue,BE,GSE72872,R1192,CVCL_AT71,False,False,unsupported
Tissue,DLPFC,GSE74193,Dorsolateral Prefrontal Cortex,D000087643,True,False,expansion_in_gse
Tissue,MNG,GSE73801,MNG-Mel,CVCL_VQ10,False,False,unsupported
Tissue,BAT,GSE68544,preadipocyte_BAT,ART-T-00357,True,False,expansion_tokens_in_gse
Tissue,HCET,GSE41996,Not Specified,,False,True,unsupported
Tissue,LN,GSE178421,GM02063,CVCL_F127,False,False,unsupported
Tissue,LN,GSE17189,GM02063,CVCL_F127,False,False,unsupported
Tissue,LN,GSE19722,GM02063,CVCL_F127,False,False,unsupported
Tissue,LN,GSE159785,GM02063,CVCL_F127,False,False,unsupported
Tissue,LN,GSE189343,GM02063,CVCL_F127,False,False,unsupported
Tissue,DHL4,GSE43510,SU-DHL-4,CVCL_0539,True,False,cellline_acronym_in_gse
Tissue,DHL4,GSE34176,SU-DHL-4,CVCL_0539,True,False,cellline_acronym_in_gse
Tissue,LY7,GSE43510,OCI-Ly7,CVCL_1881,True,False,cellline_acronym_in_gse
Tissue,BE2C,GSE51512,SK-N-BE(2)-C,CVCL_0529,False,False,unsupported
Tissue,BE2C,GSE65966,SK-N-BE(2)-C,CVCL_0529,False,False,unsupported
Tissue,BE2C,GSE208593,SK-N-BE(2)-C,CVCL_0529,True,False,cellline_acronym_in_gse
Tissue,DHL6,GSE43510,SU-DHL-6,CVCL_2206,True,False,cellline_acronym_in_gse
Tissue,DHL6,GSE34176,SU-DHL-6,CVCL_2206,True,False,cellline_acronym_in_gse
Tissue,DHL6,GSE45630,SU-DHL-6,CVCL_2206,True,False,cellline_acronym_in_gse
Tissue,HBEC4,GSE100527,HBEC4-KT,CVCL_X492,False,False,unsupported
Tissue,HBEC4,GSE108135,HBEC4-KT,CVCL_X492,False,False,unsupported
Tissue,TGBC1,GSE208660,TGBC1TKB,CVCL_1769,True,False,cellline_acronym_in_gse
Tissue,SCC2,GSE66949,KMS-34-SCC2,CVCL_A5SB,True,False,cellline_acronym_in_gse
Tissue,HME1,GSE76518,hTERT-HME1,CVCL_3383,False,False,unsupported
Tissue,HME1,GSE70567,hTERT-HME1,CVCL_3383,False,False,unsupported
Tissue,MB157,GSE74702,MDA-MB-157,CVCL_0618,False,False,unsupported
Tissue,H295R,GSE8588,NCI-H295R,CVCL_0458,True,False,cellline_acronym_in_gse
Tissue,H295R,GSE88795,NCI-H295R,CVCL_0458,True,False,cellline_acronym_in_gse
Tissue,H295R,GSE36509,NCI-H295R,CVCL_0458,True,False,cellline_acronym_in_gse
Tissue,H295R,GSE64826,NCI-H295R,CVCL_0458,True,False,cellline_acronym_in_gse
Tissue,H295R,GSE133197,NCI-H295R,CVCL_0458,True,False,cellline_acronym_in_gse
Tissue,H295R,GSE15918,NCI-H295R,CVCL_0458,True,False,cellline_acronym_in_gse
Tissue,H295R,GSE8442,NCI-H295R,CVCL_0458,True,False,cellline_acronym_in_gse
Tissue,HESCs,GSE146777,Human Embryonic Stem Cells,D000066449,False,False,unsupported
Tissue,HESCs,GSE21348,Human Embryonic Stem Cells,D000066449,False,False,unsupported
Tissue,MOH,GSE180889,MOH (TOU II-3),CVCL_2782,True,False,cellline_acronym_in_gse
Tissue,CH1,GSE25428,BIHi288-A,CVCL_C6TY,False,False,unsupported
Tissue,CH1,GSE47856,BIHi288-A,CVCL_C6TY,False,False,unsupported
Tissue,LOX,GSE133120,LOX-IMVI,CVCL_1381,False,False,unsupported
Tissue,LOX,GSE116436,LOX-IMVI,CVCL_1381,False,False,unsupported
Tissue,HBL2,GSE22038,HBL-2 [Human AIDS-related non-Hodgkin lymphoma],CVCL_M574,False,False,unsupported
Tissue,HEP3B,GSE88812,Hep 3B2.1-7,CVCL_0326,True,False,cellline_acronym_in_gse
Tissue,SY5Y,GSE42762,SH-SY5Y,CVCL_0019,True,False,cellline_acronym_in_gse
Tissue,SY5Y,GSE13273,SH-SY5Y,CVCL_0019,True,False,cellline_acronym_in_gse
Tissue,SY5Y,GSE18409,SH-SY5Y,CVCL_0019,True,False,cellline_acronym_in_gse
Tissue,SY5Y,GSE56527,SH-SY5Y,CVCL_0019,True,False,cellline_acronym_in_gse
Tissue,RS4,GSE34880,RS4;11 BCL2-F104L,CVCL_XZ61,False,False,unsupported
Tissue,MV4,GSE34880,MV4-11,CVCL_0064,False,False,unsupported
Tissue,SCC1,GSE21483,KMS-34-SCC1,CVCL_A5SA,True,False,cellline_acronym_in_gse
Tissue,SCC1,GSE80667,KMS-34-SCC1,CVCL_A5SA,False,False,unsupported
Tissue,SCC1,GSE62027,KMS-34-SCC1,CVCL_A5SA,False,False,unsupported
Tissue,LCC,GSE19188,TR-LCC-1,CVCL_IU63,False,False,unsupported
Tissue,TK6,GSE41296,TK-6 [Human leukemia],CVCL_X907,True,False,cellline_acronym_in_gse
Tissue,HMVEC,GSE17119,Endothelial Cells,D042783,True,False,expansion_in_gse
Tissue,FG,GSE9350,COLO 357/FG,CVCL_8196,True,False,cellline_acronym_in_gse
Tissue,HESC,GSE10809,Human Embryonic Stem Cells,D000066449,True,False,expansion_in_gse
Tissue,HESC,GSE46326,Human Embryonic Stem Cells,D000066449,True,False,expansion_in_gse
Tissue,TamR1,GSE67916,MCF-7/TAMR-1,CVCL_M436,True,False,cellline_acronym_in_gse
Tissue,TamR1,GSE148878,MCF-7/TAMR-1,CVCL_M436,False,False,unsupported
Tissue,TamR7,GSE67916,MCF-7/TAMR-7,CVCL_1D43,True,False,cellline_acronym_in_gse
Tissue,TamR7,GSE148878,MCF-7/TAMR-7,CVCL_1D43,False,False,unsupported
Tissue,TamR8,GSE67916,MCF-7/TAMR-8,CVCL_1D44,True,False,cellline_acronym_in_gse
Tissue,TamR4,GSE148878,MCF-7/TAMR-4,CVCL_1D42,False,False,unsupported
Tissue,TamR4,GSE67916,MCF-7/TAMR-4,CVCL_1D42,True,False,cellline_acronym_in_gse
Tissue,SKNEP,GSE34211,SK-NEP-1,CVCL_0631,False,False,unsupported
Tissue,ST1,GSE38021,ST-1 [Human leukemia],CVCL_0G05,True,False,cellline_acronym_in_gse
Tissue,EB,GSE213687,EB0405,CVCL_WY97,True,False,cellline_acronym_in_gse
Tissue,NB15,GSE53046,SJNB-15,CVCL_8814,True,False,cellline_acronym_in_gse
Tissue,NP69,GSE194333,NP69SV40T,CVCL_F755,True,False,cellline_acronym_in_gse
Tissue,CP70,GSE28646,A2780/CP70,CVCL_0135,True,False,cellline_acronym_in_gse
Tissue,JHH4,GSE144021,"Cell Line, Tumor",D045744,True,False,expansion_tokens_in_gse
Tissue,H69AR,GSE152529,NCI-H69AR,CVCL_3513,False,False,unsupported
Tissue,NK,GSE93776,Novikoff-Hepatoma,CVCL_1D01,False,False,unsupported
Tissue,TALL1,GSE115690,TALL-1 [Human adult T-ALL],CVCL_1736,False,False,unsupported
Tissue,hFOB,GSE75230,hFOB 1.19,CVCL_3708,False,False,unsupported
Tissue,HMESO,GSE21750,H-MESO-1,CVCL_5759,True,False,cellline_acronym_in_gse
Tissue,MM134,GSE50693,MDA-MB-134-VI,CVCL_0617,True,False,cellline_acronym_in_gse
Tissue,CC,GSE43684,CC of MII-morulae oocyte,ART-T-03831,False,True,unsupported
Tissue,FiPS,GSE48275,"FiPS generated with OCT4, SOX3, KLF4 and cMYC",ART-T-03821,True,False,expansion_tokens_in_gse
Tissue,TW03,GSE118807,NPC-TW03,CVCL_6010,False,False,unsupported
Condition,HIV,GSE42925,HIV Infections,D015658,True,False,expansion_in_gse
Condition,HIV,GSE56804,HIV Infections,D015658,False,True,unsupported
Condition,HIV,GSE69589,HIV Infections,D015658,False,True,unsupported
Condition,HIV,GSE56971,HIV Infections,D015658,False,True,unsupported
Condition,HIV,GSE30536,HIV Infections,D015658,False,True,unsupported
Condition,HIV,GSE108897,HIV Infections,D015658,False,True,unsupported
Condition,HIV,GSE59457,HIV Infections,D015658,True,False,expansion_in_gse
Condition,HIV,GSE29429,HIV Infections,D015658,True,False,expansion_in_gse
Condition,HIV,GSE18468,HIV Infections,D015658,True,False,expansion_in_gse
Condition,HIV,GSE67705,HIV Infections,D015658,True,False,expansion_in_gse
Condition,HIV,GSE53527,HIV Infections,D015658,False,True,unsupported
Condition,HIV,GSE175728,HIV Infections,D015658,True,False,expansion_in_gse
Condition,HIV,GSE56775,HIV Infections,D015658,False,True,unsupported
Condition,HIV,GSE104640,HIV Infections,D015658,False,True,unsupported
Condition,HIV,GSE30310,HIV Infections,D015658,True,False,expansion_in_gse
