item,field,raw_value,assigned_id,instances,verdict,matched_id
67,Condition,human cancer,OOV-C-71274DA759,14,inappropriate,D009369
68,Treatment,Mock infected; infected with M1 virus,OOV-X-800387CFC4,1,appropriate,
69,Treatment,1nM E2,OOV-X-0182589CF1,26,appropriate,
70,Condition,AD; braak stage: VI,OOV-C-82B419C20E,18,inappropriate,D000544
71,Treatment,Hypoxia for 22hrs; 45 ng/mL IL-15,OOV-X-1A49CE6396,2,appropriate,
72,Treatment,DCA (300um),OOV-X-73F46BECF8,8,appropriate,
73,Treatment,10 uM compound 4278_38733,OOV-X-97236F953D,1,appropriate,
74,Treatment,H1.2 depletion,OOV-X-9EF5EB4C1D,2,appropriate,
75,Treatment,cp-53301,OOV-X-815787F32B,1,appropriate,
76,Treatment,smoking: yes; obese: no,OOV-X-DFCB3CA639,16,appropriate,
77,Condition,tumor-bearing xenograft model,OOV-C-391FAB7F59,10,appropriate,
78,Condition,shIKKa,OOV-C-FED2958317,2,appropriate,
79,Condition,DLBCL tumor,OOV-C-56F195CA50,36,inappropriate,D016403
80,Tissue,NKcell,OOV-T-FDDCE399A4,8,inappropriate,D007694
81,Tissue,Lineage-CD34+ cells,OOV-T-34640EE40A,1,inappropriate,D006412
82,Treatment,33.0386um,OOV-X-90D7CE97FE,4,appropriate,
83,Treatment,cp-6175,OOV-X-E2B39FB942,1,appropriate,
84,Treatment,ZM-447439 0.04µM,OOV-X-37ED389A91,34,appropriate,
85,Treatment,Ento+AZD,OOV-X-260D5F9704,1,appropriate,
86,Treatment,XB0091,OOV-X-15660D671B,1,appropriate,
87,Treatment,altitude exposure at alt16,OOV-X-7052277DDF,21,appropriate,
88,Treatment,cp-79253,OOV-X-981DF2337E,1,appropriate,
89,Treatment,ABT-263 0.1 uM,OOV-X-07E24B6532,2,appropriate,
90,Treatment,cp-59837,OOV-X-1217C678A4,1,appropriate,
91,Condition,"Prostate_Adenocarcinoma; Gleason_Score_5; pT T2b, pN N0, pM M0; tumor",OOV-C-4A7EFC8427,2,inappropriate,D011471
92,Tissue,SF8,ART-T-00398,2,indeterminate,
93,Tissue,Glioblastoma; CNS,OOV-T-85B8E74B73,1,appropriate,
94,Tissue,metastasis tissue sample,OOV-T-68BB9692E6,13,appropriate,
95,Treatment,cp-59561,OOV-X-352D4A45BF,1,appropriate,
96,Condition,"Adenocarcinoma of breast, ductal; G3; IIA; T2; N0",OOV-C-E12B07F8E7,3,inappropriate,D018270
97,Condition,"Adenocarcinoma of breast, ductal; tumor grade: G2; mininal stage grouping: IIB; t (extent of primary tumor): T3; n (lymph node metastasis): NX; er: 1; pgr: 1; dfs-month: 45; dfs-event: 0; distant metastasis: 0; breast tumor",OOV-C-D1A0632743,1,inappropriate,D018270
98,Treatment,cp-82183,OOV-X-EBC09B68F8,1,appropriate,
99,Treatment,cp-61284,OOV-X-C67A6B3577,1,appropriate,
100,Treatment,cp-69844,OOV-X-8BA0DBD9EF,1,appropriate,
101,Treatment,linifanib 3.33µM,OOV-X-8E95943374,73,appropriate,
102,Treatment,pre-miR-27b,OOV-X-9DE6D2298F,1,appropriate,
103,Treatment,"diet1; 25% energy restricted (ER), low nutrient quality; 4hr postprandial mixed-meal challenge",OOV-X-51F7096E27,2,appropriate,
104,Treatment,cp-81340,OOV-X-F0D5366D54,1,appropriate,
105,Tissue,Parenchyma; Terminal bronchiole,OOV-T-25F8962768,18,inappropriate,D055745
106,Treatment,non-failing disease status,OOV-X-9222181085,17,appropriate,
107,Treatment,J2 RNA mixed - Day1,OOV-X-4D43CA78F0,1,appropriate,
108,Treatment,cp-343,OOV-X-2404750BCE,1,appropriate,
109,Treatment,cp-71943,OOV-X-5DD99A263E,1,appropriate,
110,Treatment,Arm2 [original protocol],OOV-X-5521FBF9C0,1,appropriate,
111,Treatment,cp-61576,OOV-X-2EA095B313,1,appropriate,
112,Treatment,post-surgical group,OOV-X-7F2846CF1F,31,appropriate,
113,Tissue,osteosarcoma cells,OOV-T-E590C19725,27,appropriate,
114,Treatment,mtx_days: 182,OOV-X-150D0F2753,2,appropriate,
115,Treatment,cp-51808,OOV-X-E38AF0F98D,1,appropriate,
116,Condition,H5N2-F189 infected,OOV-C-2C3B29F0B6,3,appropriate,
117,Tissue,lung_fibroblast,OOV-T-58EEA4DB01,12,inappropriate,D005347
118,Treatment,Id1 overexpression,OOV-X-53424F8775,2,appropriate,
119,Treatment,MYBL2-specific shRNA,OOV-X-D962FA97BD,2,appropriate,
120,Treatment,tivantinib 3.33µM,OOV-X-1BF845BAD8,31,appropriate,
121,Treatment,overexpress mir-1246,OOV-X-FB5775B791,2,appropriate,
122,Treatment,shRARG-V2LHS_239268; DMSO,OOV-X-FA5852393E,6,appropriate,
123,Condition,Moderate CCCA,OOV-C-B7297049EF,3,appropriate,
124,Treatment,5.6654um,OOV-X-77F591BFDA,2,appropriate,
125,Tissue,glioblastoma spheroid culture; NMA59,OOV-T-50010C7228,1,appropriate,
126,Treatment,cp-53559,OOV-X-2B90FFDFE6,1,appropriate,
127,Tissue,rhesus whole blood,OOV-T-E21DA8C630,1,inappropriate,D001769
128,Treatment,16.5mM Glu; metformin added: No,OOV-X-BF4C7386FD,1,appropriate,
129,Treatment,cp-525,OOV-X-46273E4501,1,appropriate,
130,Treatment,Act+IL12,OOV-X-678A9A45BE,1,appropriate,
131,Treatment,cp-73403,OOV-X-9E1BAFE9E2,1,appropriate,
132,Tissue,superior temporal gyrus (STG); pyramidal cells in layer III of the STG,OOV-T-BE846A8632,1,inappropriate,D013702
133,Treatment,pLVX_GABPa,OOV-X-7626005AEA,4,appropriate,
134,Treatment,cp-23338,OOV-X-31C1ADBEAF,1,appropriate,
135,Treatment,venous stress test,OOV-X-529223C7DC,23,appropriate,
136,Treatment,mouse SMYD2,OOV-X-79A9BBF96D,3,appropriate,
137,Treatment,TN14_CA41_M12 serum,OOV-X-C59A79876B,1,appropriate,
138,Treatment,co-cultured with: BT474,OOV-X-568EA3DF7C,5,appropriate,
139,Treatment,JWE-035 0.37µM,OOV-X-B63756DE41,38,appropriate,
140,Treatment,vehicle; tetracycline,OOV-X-248306FE94,4,appropriate,
141,Treatment,UC11 Plasma,OOV-X-C2ACE37CF1,1,appropriate,
142,Condition,HPV16,ART-C-00176,16,appropriate,
143,Treatment,AZD4547 0.12µM,OOV-X-7C0E5109C4,35,appropriate,
144,Treatment,Glass wool (MMVF10) 2 48h,OOV-X-FFA1D0928E,3,appropriate,
145,Condition,POST HSCT,OOV-C-23CA99D673,18,appropriate,
146,Treatment,high salt media; anti-CD3/anti-CD28,OOV-X-727B1B2A22,2,appropriate,
147,Condition,HIV/HCV coinfected,OOV-C-2C6461CF26,16,inappropriate,D060085
148,Treatment,PR,ART-X-30743,12,appropriate,
149,Treatment,cp-81060,OOV-X-38B28ACD4E,1,appropriate,
150,Condition,"Prostate_Adenocarcinoma; Gleason_Score_9; pT T4, pN N0, pM MX; tumor",OOV-C-BEAA18BD4C,3,appropriate,
151,Treatment,EtOH 0 nicotine,OOV-X-4CE2A6FE8A,1,appropriate,
152,Treatment,HC03 Plasma,OOV-X-EAD952F655,1,appropriate,
153,Treatment,cp-59763,OOV-X-FF0872B7B2,1,appropriate,
154,Treatment,BRAF_p.W450L,OOV-X-F4C866AC4F,8,appropriate,
155,Condition,normal breast cell line,OOV-C-1F2E97100A,8,appropriate,
156,Treatment,GSK-461364 3.33µM,OOV-X-D7A04F289D,37,appropriate,
157,Treatment,RDBP Kd,OOV-X-CBE9BA34A5,2,appropriate,
158,Treatment,"OCT8, SOX2, KLF4, MYC",OOV-X-9384656323,4,appropriate,
159,Condition,pT2N2M0,OOV-C-53DEF94B53,1,appropriate,
160,Condition,Advanced HCC,OOV-C-415FE3E595,6,inappropriate,D006528
161,Treatment,Current Smoking_Status,OOV-X-7BC72C3D0E,18,appropriate,
162,Treatment,wild-type RBM10,OOV-X-4FF45C1CAC,1,appropriate,
163,Treatment,Ch-conditioned media,OOV-X-AD417E15F9,18,appropriate,
164,Treatment,cp-34196,OOV-X-CE9886F7CA,1,appropriate,
165,Treatment,Epilim,OOV-X-E040E87884,7,inappropriate,D014635
166,Treatment,Th0,ART-X-24062,1,appropriate,
167,Tissue,human embryonic stem cell-derived hepatocyte-like cells (hES-Hep),OOV-T-004385DF14,4,appropriate,
168,Treatment,CTH transduction,OOV-X-5E3EB4BF20,1,appropriate,
169,Treatment,MMF; 1000; asa_dosis: 81,OOV-X-BE48A8F68E,1,appropriate,
170,Tissue,normal fragment,OOV-T-24FC604F3C,12,appropriate,
171,Treatment,cp-80278,OOV-X-4398D4EB4C,1,appropriate,
172,Treatment,cp-58528,OOV-X-AB95C54104,1,appropriate,
173,Treatment,TCF12/HEB shRNA2,OOV-X-564D2E7A0E,2,appropriate,
174,Condition,FT Chronic graft injury (> 3 yrs post-transplant),OOV-C-59932E8A2B,3,appropriate,
175,Condition,Normal Birth Weight,OOV-C-9D055BF977,2,appropriate,
176,Treatment,siRNA: TNFR1; BV6,OOV-X-3639FB3138,1,appropriate,
177,Treatment,cp-51567,OOV-X-FBE932A034,1,appropriate,
178,Treatment,4.75um,OOV-X-8C5588D2E2,2,appropriate,
179,Treatment,overexpressing miR-146a,OOV-X-87B2945147,3,appropriate,
180,Condition,CRC; colon tumor,OOV-C-3A29D5DB07,20,inappropriate,D015179
181,Treatment,CSE 5%,OOV-X-D447EA6DE3,2,appropriate,
182,Tissue,Mucosal biopsies,OOV-T-17E1AD92CF,4,appropriate,
183,Treatment,MMS 200uM,OOV-X-CEC189999F,6,appropriate,
184,Condition,tumor adjacent,OOV-C-1F93938DD6,9,appropriate,
185,Condition,healthy controls,OOV-C-CD7646BCCB,210,appropriate,
186,Treatment,cp-100846,OOV-X-6BB6C250F6,1,appropriate,
187,Treatment,ALW-II-49-7 1.11µM,OOV-X-831E0D25B5,33,appropriate,
188,Treatment,chemotherapy sensitive,OOV-X-B006C71002,3,appropriate,
189,Treatment,cp-81961,OOV-X-4D139A52D1,1,appropriate,
190,Treatment,RG-108 10µM,OOV-X-C68F385BB0,40,appropriate,
191,Treatment,viral RNAi,OOV-X-F4E4C001F5,4,appropriate,
192,Condition,pro-inflammatory condition,OOV-C-8A21D17C17,3,inappropriate,D007249
193,Treatment,GFP_5,OOV-X-4066F2F5D3,1,appropriate,
194,Treatment,5mg/kg,OOV-X-00214B7C63,4,appropriate,
195,Treatment,cp-79134,OOV-X-566A193A8F,1,appropriate,
196,Treatment,4% Pp2,OOV-X-5D83911426,1,appropriate,
197,Treatment,cp-60542,OOV-X-AEEDE006D8,1,appropriate,
198,Condition,cT4bN0M0,OOV-C-1C62645DB0,4,appropriate,
199,Treatment,TACE,ART-X-26547,147,inappropriate,D016461
200,Treatment,cp-33977,OOV-X-53F45073C7,1,appropriate,
201,Tissue,T-cell lymphoblastic cell,OOV-T-D51BB23352,12,appropriate,
202,Condition,resistance to E2 withdrawal plus tamoxifen,OOV-C-D83B86A409,26,appropriate,
203,Treatment,cp-82134,OOV-X-A75F4F489D,1,appropriate,
204,Treatment,cp-52503,OOV-X-CA8D7742BA,1,appropriate,
205,Condition,Healthy controls,OOV-C-CD7646BCCB,92,appropriate,
206,Tissue,synovial MSCs,OOV-T-399D73D8D1,3,inappropriate,D059630
207,Condition,neuroblastoma tumour; stage: 3,OOV-C-E8E470E1DC,6,inappropriate,D009447
208,Treatment,cp-366,OOV-X-50B4520BF8,1,appropriate,
209,Treatment,si HIF-2alpha; 20 ng/ml IL-10; 21% oxygen,OOV-X-A0A50FF0CC,3,appropriate,
210,Treatment,siRNA targeting AKAP12,OOV-X-5370C232C1,2,appropriate,
211,Condition,non-metastatic colorectal cancer,OOV-C-06DA34D3F9,26,inappropriate,D015179
212,Treatment,cp-1067,OOV-X-E63B450703,1,appropriate,
213,Treatment,cp-53410,OOV-X-089A7C4AD2,1,appropriate,
214,Treatment,afb1 exposure: 96.2,OOV-X-DDFCE4B108,1,appropriate,
215,Treatment,cp-23345,OOV-X-4FE01EA1DF,1,appropriate,
216,Treatment,U2AF1 mutation,OOV-X-4119FDAF21,4,appropriate,
217,Tissue,"FFPE tumor tissue, kidney",OOV-T-E919348233,1,inappropriate,D007668
218,Treatment,CPAP 5011c,OOV-X-42CEA22BF4,1,appropriate,
219,Treatment,garcinol 0.04µM,OOV-X-2ADBA9E3D5,42,appropriate,
220,Treatment,MHC-I-deficient target cell (K562)+IL-2,OOV-X-D7C7CC91EE,3,appropriate,
221,Treatment,10.9382um,OOV-X-ED44C7EB37,4,appropriate,
222,Condition,Native pre-implantation biopsies,OOV-C-77B1B909A6,10,appropriate,
223,Condition,TNF-α,OOV-C-2AB15B1373,1,appropriate,
224,Treatment,GW-5074 0.12µM,OOV-X-871512D5C7,38,appropriate,
225,Treatment,H3.X knockdown; H3.Y knockdown,OOV-X-DDC884E25E,1,appropriate,
226,Treatment,TN14_CA20_BL serum,OOV-X-E03D92BAFC,1,appropriate,
227,Treatment,0.64 ug/ml obese visceral adipocyte exosomes,OOV-X-9DACB023AA,2,appropriate,
228,Treatment,"an inhibitor cocktail containing 50 µM D-APV, 40 µM CNQX, and 100 nM TTX for 3 hrs",OOV-X-12D130D528,1,appropriate,
229,Treatment,IRF1; BV6,OOV-X-B444FF5588,2,appropriate,
230,Treatment,PHA-767491 10µM,OOV-X-27C8797076,27,appropriate,
231,Treatment,BCR-ABL1-GFP (B/A); 2 mmol/l Imatinib (IM),OOV-X-7420CEEF6A,4,appropriate,
232,Treatment,vector containing phosphomimetic PEA-15 (Ser104 and Ser116 substituted with aspartic acid),OOV-X-757CE1BE9C,3,appropriate,
233,Tissue,CLL-B cells (CLL67),OOV-T-E7042E1CE7,1,appropriate,
234,Treatment,Verbenalin,OOV-X-DE3FE67E8C,3,appropriate,
235,Treatment,10.0873um,OOV-X-5EF36228E9,1,appropriate,
236,Tissue,Melanoma cell line Melmet5,OOV-T-A31A124B31,3,indeterminate,
237,Condition,in-transit disease; F_stage_IIIB; CR,OOV-C-F501A9F294,4,appropriate,
238,Treatment,siControl; vehicle,OOV-X-FE486F3011,7,appropriate,
239,Treatment,AZ20 0.37µM,OOV-X-4BC19A93C9,40,appropriate,
240,Treatment,cp-69323,OOV-X-7F658D0E26,1,appropriate,
241,Treatment,RCyP+; C79_B1,OOV-X-D80E75715F,4,appropriate,
242,Treatment,cp-69422,OOV-X-E693F521BB,1,appropriate,
243,Tissue,human iPSC line 5,OOV-T-2B0E4F43B6,1,inappropriate,D057026
244,Treatment,RV16+CSE,OOV-X-7BC92233E9,4,appropriate,
245,Treatment,siEZH2; VEH,OOV-X-807B893C5E,1,appropriate,
246,Treatment,non-targeting control siRNA; Ethanol,OOV-X-1A7812C18E,3,appropriate,
247,Treatment,mock treated; 3µM LRRK2-IN-1,OOV-X-11DACF30F6,3,appropriate,
248,Tissue,eosinophilic leukemia cells,OOV-T-F66F615465,2,appropriate,
249,Treatment,cp-81771,OOV-X-EAD5F7E1B3,1,appropriate,
250,Tissue,Human cord blood,OOV-T-3102DC63D6,3,inappropriate,D005312
251,Treatment,1.275um,OOV-X-86B3FF249C,9,appropriate,
252,Condition,symptomatic WT-LGL,OOV-C-8C8E99D265,1,inappropriate,D054066
253,Treatment,VI-28+PB,OOV-X-7AB8EA0279,2,appropriate,
254,Treatment,cp-53500,OOV-X-01A4EFA8AF,1,appropriate,
255,Condition,ZNF341 mutation,OOV-C-9B0F3E7411,2,appropriate,
256,Treatment,XMD-885 0.37µM,OOV-X-8582B1DCD3,37,appropriate,
257,Treatment,NCH645; Hypoxia,OOV-X-14C3CFDE12,1,appropriate,
258,Tissue,EnC-A,OOV-T-2DA8D58FFB,3,indeterminate,
259,Treatment,CD09 Plasma,OOV-X-5BE95687F1,1,appropriate,
260,Treatment,CD2/CD3/CD28-coated beads (Miltenyi); IL-6 (100ng/mL),OOV-X-0B036BF92B,5,appropriate,
261,Treatment,serial passaging,OOV-X-4A1361D561,3,appropriate,
262,Treatment,smoker; 30-day mean pm2.5 exposure level: 16.4406,OOV-X-F964BE6F2A,2,appropriate,
263,Treatment,Hormonal therapy (# of Years)?: 36-40,OOV-X-E5E2294F03,1,appropriate,
264,Treatment,NCOA1 KO,OOV-X-2E5243507A,2,appropriate,
265,Treatment,Fluphenthixol; Chlorpromazine,OOV-X-1C5E7613C8,1,appropriate,
266,Treatment,cp-33984,OOV-X-9A31C0029A,1,appropriate,
267,Condition,CLL; Progressive; Partial Responder,OOV-C-DD3FEB8F66,8,inappropriate,D015451
268,Condition,Follicular,OOV-C-2B3709CE3E,8,appropriate,
269,Condition,ic,OOV-C-321EB8AAF7,5,indeterminate,
270,Treatment,20 nM HHT,OOV-X-F6770457D4,3,appropriate,
271,Tissue,Renal Tumor Clear Cell,OOV-T-92C72C23DD,2,appropriate,
272,Condition,medium donor,OOV-C-17DFAAB406,4,appropriate,
273,Treatment,regorafenib 0.04µM,OOV-X-4DE00E6F74,38,appropriate,
274,Treatment,EZH2-1,OOV-X-1C2C57CDAB,1,appropriate,
275,Tissue,T-ALL-61,OOV-T-FEB52D24FB,2,indeterminate,
276,Condition,primary prostate cancer; Stage: TxN+; Revised Gleason Score: 10; systemic disease,OOV-C-EF4426113D,1,inappropriate,D011471
277,Treatment,AKT-inhibitor-1-2 10µM,OOV-X-5FD85062B7,55,appropriate,
278,Treatment,siPPP2R2A_2B,OOV-X-AA0A66547B,1,appropriate,
279,Treatment,10.728um,OOV-X-7DD492B717,2,appropriate,
280,Treatment,CC-401 10µM,OOV-X-23B64BE76B,38,appropriate,
281,Treatment,cp-69702,OOV-X-B9C90D436D,1,appropriate,
282,Treatment,cp-54189,OOV-X-EB2BE6919F,1,appropriate,
283,Treatment,IL-1beta (100 ng/ml),OOV-X-FA28800A57,1,appropriate,
284,Treatment,Obese pre,OOV-X-66DB38C8DF,1,appropriate,
285,Treatment,shVAV3; dox,OOV-X-D1B4C46599,3,appropriate,
286,Treatment,Natural conception,OOV-X-BB46FF86F5,63,appropriate,
287,Treatment,H1N1,ART-X-00021,415,appropriate,
288,Treatment,INSM2 2µL,OOV-X-C7B811F334,55,appropriate,
290,Condition,normal pregnancy,OOV-C-D12C3BAAEE,393,appropriate,
291,Condition,non-tumor control,OOV-C-CDE9B85B14,64,appropriate,
292,Treatment,T-DM1/P arm,OOV-X-0F7CF8492F,51,appropriate,
293,Tissue,retinoblastoma,OOV-T-59C99BCFFA,345,appropriate,
294,Treatment,Medium,OOV-X-72D7CF97C2,57,appropriate,
295,Treatment,MCV4,ART-X-04690,51,inappropriate,D022401
296,Treatment,PPROM,ART-X-23687,78,appropriate,
297,Treatment,parous parity,OOV-X-A359D6FC7F,124,appropriate,
298,Tissue,diffuse large b-cell lymphoma (DLBCL),OOV-T-81752E4914,249,appropriate,
299,Treatment,RT+PCV,OOV-X-ADA5204F3D,53,appropriate,
300,Treatment,Placebo IV,OOV-X-04A3FEC143,233,inappropriate,D010919
301,Treatment,Carrier,OOV-X-75F37416ED,232,appropriate,
302,Tissue,biopsy,OOV-T-1D484C27CB,326,appropriate,
303,Treatment,GSK-2126458 10µM,OOV-X-437FC09C85,62,appropriate,
304,Treatment,MMF,ART-X-00587,295,inappropriate,D009173
305,Treatment,10nM DHT,OOV-X-B6B2DC2715,84,appropriate,
306,Treatment,PD-184352 3.33µM,OOV-X-68BBAFC019,58,appropriate,
307,Treatment,HG-5-113-01 0.37µM,OOV-X-CCDA41DD71,54,appropriate,
308,Treatment,BP1 diagnosis 2,OOV-X-E947DA76D7,83,appropriate,
309,Tissue,CD8+ T cell,OOV-T-58C92E7169,99,inappropriate,D018414
310,Tissue,Liver metastasis,OOV-T-878B965090,71,appropriate,
311,Tissue,Leukemic cells,OOV-T-EFBF240528,130,appropriate,
312,Treatment,PLB,ART-X-00029,214,inappropriate,D010919
313,Treatment,Fish oil supplement,OOV-X-6962430079,190,inappropriate,D005395
314,Treatment,IL1,ART-X-06370,58,inappropriate,D007375
315,Treatment,125 nM plx4720,OOV-X-2D6B54045F,51,appropriate,
316,Treatment,PLX-4720 1.11µM,OOV-X-52A4A996F9,58,appropriate,
317,Tissue,Leukemia cells,OOV-T-5C16D002A6,171,appropriate,
318,Condition,PTB,ART-C-00123,74,inappropriate,D047928
319,Tissue,HMEC,ART-T-00035,58,appropriate,
320,Condition,preeclamptic,OOV-C-0F2A06FC65,54,inappropriate,D011225
321,Treatment,CHIR-99021 10µM,OOV-X-440A8503D2,72,appropriate,
322,Tissue,Schwannoma,OOV-T-2B2F3C0673,125,appropriate,
323,Treatment,alvocidib 0.12µM,OOV-X-53D3B1BD94,71,appropriate,
324,Tissue,CD4+ T-cells,OOV-T-DD6B564FF3,290,inappropriate,D015496
325,Tissue,Human sarcoma,OOV-T-3F54F3A08D,59,appropriate,
326,Treatment,non-asthmatic disease status,OOV-X-A44A932837,63,appropriate,
327,Treatment,33.6559um,OOV-X-829E26C1DB,50,appropriate,
328,Tissue,peripheral vein blood,OOV-T-F54800721D,488,inappropriate,D001769
329,Condition,FAP,ART-C-01340,65,inappropriate,D011125
330,Condition,Normal glucose tolerance (NGT),OOV-C-72999AF951,52,appropriate,
331,Tissue,CD34,ART-T-00595,361,appropriate,
332,Condition,CAD patients,OOV-C-978916FB59,50,inappropriate,D003324
333,Treatment,media containing rhinovirus (RV16),OOV-X-DDBCD1480E,95,appropriate,
335,Condition,B-CLL,OOV-C-E68D771EDE,114,inappropriate,D015451
336,Treatment,RNALater,OOV-X-2177786036,86,appropriate,
337,Condition,typically developing (control),OOV-C-C9E46FAC70,70,appropriate,
338,Treatment,tozasertib 0.12µM,OOV-X-A55F502E2A,55,appropriate,
339,Treatment,Candida albicans,OOV-X-FAEFC92F07,70,appropriate,
340,Condition,active UC,OOV-C-CCEFBF25FD,86,inappropriate,D003093
341,Condition,Interstitial fibrosis and tubular atrophy with acute rejection AR,OOV-C-7231E099CD,54,appropriate,
342,Condition,Severe asthma,OOV-C-B55FE9BF02,361,inappropriate,D001249
343,Condition,non-malignant,OOV-C-D2F50AC097,84,appropriate,
344,Tissue,"Human Brain, primary Glioblastoma",OOV-T-F9C8D46FA5,70,inappropriate,D001921
345,Treatment,MVA HIV-B / LIPO-5,OOV-X-B7DD6CF666,100,appropriate,
346,Condition,SLE; Systemic lupus erythematosus (SLE),OOV-C-E21E55C717,366,inappropriate,D008180
347,Condition,baseline,OOV-C-2731D75FC4,602,appropriate,
