item,field,raw_value,assigned_id,instances
209,Treatment,co-cultured with osteoblasts,OOV-X-EF32D11762,1
210,Treatment,MLS010B,OOV-X-64EC41B02A,1
211,Treatment,pre,ART-X-25384,2
212,Treatment,cp-51546,OOV-X-8181C1C629,1
213,Condition,cT2N2M0,OOV-C-1545BE570E,1
214,Treatment,cp-79252,OOV-X-8C8C2DEDCA,1
215,Treatment,siAURKA-1,OOV-X-672943F72E,1
216,Treatment,TF HIV-1; P. stercorea,OOV-X-0AA0F73A6E,4
217,Treatment,cp-69698,OOV-X-0E978BF17B,1
218,Treatment,nonspecific siRNA (SiNS); dexamethasone (Dex) for 0h,OOV-X-4B06832F8F,3
219,Tissue,Late Promyelocytes,OOV-T-2C1B27F82B,3
220,Condition,tumorperiphery,OOV-C-D8E9E2ECAB,3
221,Treatment,BIX-01294 10µM,OOV-X-69784465CF,53
222,Treatment,cp-1083,OOV-X-C52BB363E4,1
223,Treatment,pSuper-p53; pCI-neo,OOV-X-E8D06F6BDA,2
224,Treatment,cp-61811,OOV-X-10056F5B0D,1
225,Treatment,cp-59939,OOV-X-E599133A63,1
226,Treatment,LS66 plasma,OOV-X-1D25A63D9B,1
227,Tissue,mature CD5+CD27- PB B cells,OOV-T-E228BBDF45,5
228,Condition,NOS sarcoma; G3; Distant metastasis,OOV-C-85F21F4C36,1
229,Treatment,cp-3397,OOV-X-53F45073C7,1
230,Condition,HBV-associated HCC,OOV-C-9A8620E0F7,8
231,Treatment,25 uM Lcn2; 50 uM Enterobactin; 50 uM Ferric Ammonium Citrate,OOV-X-337C88F087,2
232,Treatment,cp-53224,OOV-X-CD4883F0B6,1
233,Tissue,Myotubes from musculus obliquus internus,OOV-T-0B6230B00A,8
234,Tissue,CLL173,OOV-T-0A4DA80094,1
235,Tissue,centrocyte,OOV-T-77685EBD12,4
236,Tissue,cutaneous metastasis of melanoma,OOV-T-79FF6CD9F4,12
237,Treatment,CF039 plasma,OOV-X-0BCD391618,1
238,Treatment,cp-59452,OOV-X-AAEC1D7C95,1
239,Treatment,4F + lipopolysaccharides (LPS),OOV-X-B2059AF250,4
240,Condition,DNMT3A depletion,OOV-C-2E7AD6F9C1,2
241,Treatment,Cured treatment,OOV-X-E6AB042E73,1
242,Treatment,IL-7+SCF_2,OOV-X-94C9AF60B9,1
243,Tissue,colorectal adenocarcinoma; HT-29M6,OOV-T-ADC44EE322,1
244,Condition,non-responder to IVCS therapy,OOV-C-DD965A0845,18
245,Treatment,MYC overexpression; hypoxia,OOV-X-22391F5293,1
246,Treatment,AZFb+c deletion,OOV-X-F637B3A7B5,2
247,Treatment,VCX3A/B-2R -GFP,OOV-X-90D583183C,1
248,Treatment,Aerobic + Resistance exercise,OOV-X-B7121747D0,8
249,Treatment,CRISPR/cas9,OOV-X-F52D121A14,1
250,Condition,Adenocarcinoma-prostate,OOV-C-990479A14D,6
251,Treatment,IL-2 and TGFb1,OOV-X-BED1109821,1
252,Treatment,LateIRIS group,OOV-X-05D29185F0,1
253,Treatment,cp-79243,OOV-X-FF0EA5F79A,1
254,Treatment,SGI-1776 0.04µM,OOV-X-C534C63FD8,33
255,Condition,siRNA  human cancer,OOV-C-8ACBE50C64,12
256,Treatment,MKS485,OOV-X-B43D6E474B,1
257,Treatment,Aza_10,OOV-X-5E017CCC5D,4
258,Condition,vehicle (ethanol) control,OOV-C-E5BEE815C5,6
259,Treatment,MDS071,OOV-X-338A916130,1
260,Treatment,cp-74180,OOV-X-E831515015,1
261,Treatment,sh-G9a,OOV-X-8B764A5524,2
262,Treatment,cp-70628,OOV-X-F4AC824C46,1
263,Treatment,1.5375um,OOV-X-22413ED12A,1
264,Treatment,GFP_6,OOV-X-AE800FA3F3,1
265,Treatment,siLincMTX2,OOV-X-D67CFEFADF,3
266,Condition,primary prostate cancer; T3aN0; Gleason Score: 9,OOV-C-6AE6141E49,22
267,Tissue,neonatal neutrophil,OOV-T-6668289B25,6
268,Condition,Expression of mutant USP2A,OOV-C-C9F322A1C9,5
269,Treatment,HI-LNC12sh4,OOV-X-2A07CEA1D0,2
270,Treatment,cp-82127,OOV-X-E5C5315552,1
271,Treatment,6 d of dox treatment,OOV-X-FA2A0868CA,1
272,Treatment,siLMO3,OOV-X-F649656BEF,2
273,Treatment,cp-58028,OOV-X-C4AE76D979,1
274,Tissue,hiPS-MSC line1,OOV-T-F6A3844480,2
275,Treatment,1.51-5.0 mGy annual background radiation dose,OOV-X-235EDA1867,1
276,Condition,Diabetes,OOV-C-CA45BCD4C3,46
277,Treatment,DDX5_shRNA2,OOV-X-2B899B7622,1
278,Treatment,cp-53857,OOV-X-7BDFA19AB6,1
279,Condition,childhood AML,OOV-C-B5E06CDA1F,27
280,Tissue,cholangiocarcinoma,OOV-T-07C9FB6FD3,13
281,Treatment,BMP6 and Noggin,OOV-X-DE746717B7,2
282,Tissue,SC-beta cells,OOV-T-FD3832FCBC,2
283,Condition,OX-LDL-treatment,OOV-C-8237826A1B,3
284,Treatment,cp-6764,OOV-X-C7D92F9005,1
285,Treatment,NVP-AEW541 3.33µM,OOV-X-94BAC0BBDD,56
286,Treatment,Ganitumab arm,OOV-X-267DF73543,90
287,Condition,Colon tumor cell line,OOV-C-06BC335C3F,54
288,Tissue,DLBCL tumor biopsy,OOV-T-1A980DED2A,223
289,Treatment,SU-11274 10µM,OOV-X-55EBF0DF23,58
290,Tissue,Biopsy,OOV-T-1D484C27CB,137
291,Treatment,BI-2536 0.12µM,OOV-X-1C063D2C4B,109
292,Tissue,Gastrointestinal Stroma Tumor,OOV-T-4E27FD90CB,66
293,Treatment,ETEC strain H10407,OOV-X-59593A0D28,72
294,Treatment,YM-201636 0.37µM,OOV-X-EFFD2F2E76,54
295,Condition,Stage: 4,OOV-C-251EA59AD9,99
296,Condition,Deaf,ART-C-03706,100
297,Treatment,0-10 g/day alcohol intake,OOV-X-71BC6D4FB4,267
298,Treatment,AZD-8330 10µM,OOV-X-0E13F07417,55
299,Treatment,ITGA11,OOV-X-883BDD99D1,60
300,Treatment,EtOH,ART-X-00932,123
301,Treatment,pre-treatment,OOV-X-518645D4D4,378
302,Treatment,BMS-387032 0.04µM,OOV-X-04882AEA38,73
303,Treatment,CYT387 0.04µM,OOV-X-8D44C48E2C,59
304,Tissue,Colorecal Cancer,OOV-T-E06CC1BD06,468
305,Treatment,fostamatinib 1.11µM,OOV-X-BDB06D8E51,68
306,Tissue,Pancrea,OOV-T-26FAA0592A,57
307,Treatment,Sporadic mutation status,OOV-X-F710F8479B,136
308,Condition,B cell ALL,OOV-C-E11E4B8C0F,138
309,Condition,SARS-CoV-2 infected,OOV-C-0C07F78172,148
310,Treatment,AS-605240 10µM,OOV-X-3B912F8208,70
311,Condition,Cancer cell line,OOV-C-26B46C6711,59
312,Tissue,BEC specimen,OOV-T-19F8377CCB,680
313,Treatment,TDF,ART-X-00084,112
314,Treatment,torin-2 1.11µM,OOV-X-96670B27FA,51
315,Tissue,Epstein-Barr virus (EBV) transformed B cells,OOV-T-B55E518A5F,104
316,Treatment,0nM geldanamycin,OOV-X-8FCBDB4536,154
317,Treatment,A/Brevig Mission/1/1918,OOV-X-91E2219109,75
318,Treatment,"LAIV (FluMist,  MedImmune)",OOV-X-0133E4551B,56
319,Tissue,Glomeruli,OOV-T-95ACD9A4E2,547
320,Treatment,NAT conception,OOV-X-E6FE9725A1,82
321,Treatment,CYT387 3.33µM,OOV-X-BE12F370F4,57
322,Condition,TAA,ART-C-04189,59
323,Treatment,dovitinib 10µM,OOV-X-41ED7C4326,56
324,Treatment,"RTS,S/AS01; ChAd63 ME-TRAP; MVA ME-TRAP",OOV-X-1026C5EBAB,77
325,Tissue,CLL lymphocytes,OOV-T-1B6A5C8BDB,67
326,Treatment,HRG,ART-X-00002,85
327,Treatment,GW-843682X 10µM,OOV-X-4DB9FA463E,67
328,Treatment,Transplant,OOV-X-B6E1549A93,57
329,Treatment,JNK-9L 1.11µM,OOV-X-D4A0F30917,69
330,Treatment,bmi: <25,OOV-X-931E865287,103
331,Tissue,AML,ART-T-00392,539
332,Tissue,WholeBlood,OOV-T-F1F6AE3298,75
333,Condition,IBD,ART-C-01487,55
334,Treatment,CP466722 0.04µM,OOV-X-02731DED32,56
335,Treatment,MAST4 2µL,OOV-X-765B2C1185,60
336,Treatment,Dex,ART-X-00744,87
337,Treatment,Former Smoker,OOV-X-3DA065FEFC,189
338,Treatment,TGX-221 0.04µM,OOV-X-932B503607,58
339,Tissue,meningioma tumor,OOV-T-40F4B929F7,68
340,Condition,DLBCL; STAGE 4,OOV-C-CD5A943DE6,117
341,Tissue,peripheral blood leucocytes (PBL),OOV-T-89F8AB1CC3,58
342,Treatment,irradiated,OOV-X-B6DF1AD7F1,57
343,Treatment,saracatinib 3.33µM,OOV-X-FCF6C151CA,105
344,Condition,Healthy human donors,OOV-C-33F32B1FE6,54
345,Treatment,AI,ART-X-01225,192
346,Treatment,TLK2 2µL,OOV-X-715C4A8D85,68
347,Condition,AD; braak.stage: 5,OOV-C-6027C29A38,86
348,Tissue,CLL Cells; Peripheral Blood,OOV-T-07786D7127,57
349,Treatment,18-weeks exercise training protocol,OOV-X-B791D3B6C6,71
350,Tissue,dried peripheral neonatal blood,OOV-T-C6C85916F3,137
351,Treatment,hypoxia exposure,OOV-X-FF3E312196,62
352,Condition,normal gastric tissue,OOV-C-4BF8BF8828,54
353,Treatment,uRBC,ART-X-08266,200
354,Treatment,selumetinib 0.37µM,OOV-X-8737991187,69
355,Treatment,palbociclib 0.37µM,OOV-X-1DE57E3B8B,74
356,Tissue,Lymphoblastoid cell lines (LCLs),OOV-T-98E57BFE8F,786
357,Condition,chronic Hodgkin lymphoma,OOV-C-3D517B55BD,90
358,Treatment,PF-431396 0.37µM,OOV-X-3E70B4B8A7,55
359,Treatment,YM-201636 1.11µM,OOV-X-A3368E2D8A,52
360,Condition,normal donor,OOV-C-8FB0705627,133
361,Condition,obese; systemic insulin resistance,OOV-C-C5CB826D8B,116
362,Condition,c-ALL/Pre-B-ALL with t(9; 22),OOV-C-84B448A2FF,122
363,Treatment,GSK-1904529A 1.11µM,OOV-X-62F8653927,72
364,Treatment,AZD-6482 0.04µM,OOV-X-9B81E95CFA,54
365,Condition,GIST,ART-C-02154,72
366,Treatment,HG-5-88-01 10µM,OOV-X-E09922F094,68
367,Condition,Single Respiratory Syncitial Virus infection (RSVsi),OOV-C-85E97F9CC6,158
368,Treatment,HIV-1,OOV-X-D44EF379B3,86
369,Treatment,HG-6-64-01 1.11µM,OOV-X-A42E3EF158,68
370,Tissue,Undifferentiated Uterine Sarcomas,OOV-T-237E122A97,50
371,Condition,RA,ART-C-00638,320
372,Condition,Glomerular Disease (Other),OOV-C-89035187F5,68
373,Treatment,PLX-4720 0.04µM,OOV-X-FAA55B510A,59
374,Condition,ALS,ART-C-00375,344
375,Tissue,glioblastoma cell line,OOV-T-D3D9DD326D,107
376,Condition,braak.stage: 6,OOV-C-BE247577D8,69
377,Treatment,Pbo,ART-X-04459,93
378,Treatment,RNAlater,OOV-X-2177786036,363
379,Treatment,term birthing outcome,OOV-X-85F1BA90E1,124
380,Condition,non-diabetic non-obese,OOV-C-DB3C09B871,90
381,Treatment,CP-724714 0.12µM,OOV-X-3ADDDD0C51,55
382,Treatment,ZSTK-474 10µM,OOV-X-B9E6908779,72
383,Condition,resting state,OOV-C-7A5F83C875,60
384,Treatment,"S, RT",OOV-X-9E09E48D39,52
385,Treatment,mock,ART-X-00005,513
386,Treatment,ZSTK-474 1.11µM,OOV-X-05BB226F5C,72
387,Condition,Case,ART-C-00234,163
388,Condition,nonasthmatic,OOV-C-D73B677835,97
389,Treatment,buparlisib 0.12µM,OOV-X-2C4E5F822B,57
390,Treatment,NVP-TAE684 3.33µM,OOV-X-B4D30413B5,75
391,Treatment,Retinoic Acid (500 ng/mL; Sigma); Forskolin (100 μM; Sigma); BDNF (10 ng/mL; Peprotech); NT-3 (10 ng/mL; Peprotech); KCl (10mM),OOV-X-53D246537B,57
392,Treatment,HCV infected,OOV-X-67F7FADCA5,59
393,Condition,mid secretory,OOV-C-75A881A4A4,66
394,Condition,ependynoma primary tumor,OOV-C-E6166655ED,74
395,Treatment,veliparib 3.33µM,OOV-X-244D3443E4,78
396,Treatment,torin-2 10µM,OOV-X-777E52B647,53
397,Treatment,DLX,ART-X-00032,192
398,Condition,Normal Control,OOV-C-D5262573EC,70
399,Treatment,Current smoker,OOV-X-68B1A79F6B,333
400,Tissue,Tumor resection,OOV-T-C285469FBF,92
401,Tissue,Pilocytic astrocytoma,OOV-T-8420A9069F,77
402,Tissue,Primary gastric tumour,OOV-T-C7003D14EF,94
403,Treatment,treatment a,OOV-X-138182E421,87
404,Treatment,JW-7-24-1 0.12µM,OOV-X-21CB242A5D,66
405,Condition,uninvolved skin,OOV-C-8239CC60CF,63
406,Condition,S. Typhi,OOV-C-CC82CF2F42,79
407,Tissue,Adenoma,OOV-T-9E6FD04F73,110
408,Condition,Frail (baseline),OOV-C-C1F787AEF5,61
409,Tissue,FSR,ART-T-00305,96
410,Condition,always depressed,OOV-C-EB861587F9,56
411,Treatment,Romidepsin,OOV-X-651EBAAB05,51
412,Tissue,MDA,ART-T-00175,104
