gsm,gse,raw_Tissue,matched_cellline,cvcl,cellosaurus_donor_sex,extracted_Sex
GSM995489,GSE40516,Human alveolar epithelial type II (AT2) cells,R-3327-AT-2,CVCL_L303,Male,Female
GSM995490,GSE40516,Human alveolar epithelial type II (AT2) cells,R-3327-AT-2,CVCL_L303,Male,Female
GSM995491,GSE40516,Human alveolar epithelial type II (AT2) cells,R-3327-AT-2,CVCL_L303,Male,Female
GSM995492,GSE40516,Human alveolar epithelial type II (AT2) cells,R-3327-AT-2,CVCL_L303,Male,Female
GSM995493,GSE40516,Human alveolar epithelial type II (AT2) cells,R-3327-AT-2,CVCL_L303,Male,Female
GSM995494,GSE40516,Human alveolar epithelial type II (AT2) cells,R-3327-AT-2,CVCL_L303,Male,Female
GSM995495,GSE40516,Human alveolar epithelial type II (AT2) cells,R-3327-AT-2,CVCL_L303,Male,Female
GSM995496,GSE40516,Human alveolar epithelial type II (AT2) cells,R-3327-AT-2,CVCL_L303,Male,Female
GSM995497,GSE40516,Human alveolar epithelial type II (AT2) cells,R-3327-AT-2,CVCL_L303,Male,Female
GSM995498,GSE40516,Human alveolar epithelial type II (AT2) cells,R-3327-AT-2,CVCL_L303,Male,Female
GSM995499,GSE40516,Human alveolar epithelial type II (AT2) cells,R-3327-AT-2,CVCL_L303,Male,Female
GSM995500,GSE40516,Human alveolar epithelial type II (AT2) cells,R-3327-AT-2,CVCL_L303,Male,Female
GSM995501,GSE40516,Human alveolar epithelial type II (AT2) cells,R-3327-AT-2,CVCL_L303,Male,Female
GSM995502,GSE40516,Human alveolar epithelial type II (AT2) cells,R-3327-AT-2,CVCL_L303,Male,Female
GSM995503,GSE40516,Human alveolar epithelial type II (AT2) cells,R-3327-AT-2,CVCL_L303,Male,Female
GSM995504,GSE40516,Human alveolar epithelial type II (AT2) cells,R-3327-AT-2,CVCL_L303,Male,Female
GSM945643,GSE38569,Alveolar Epithelial type 2 (AT2 cell),R-3327-AT-2,CVCL_L303,Male,Female
GSM945644,GSE38569,Alveolar Epithelial type 2 (AT2 cell),R-3327-AT-2,CVCL_L303,Male,Female
GSM945645,GSE38569,Alveolar Epithelial type 2 (AT2 cell),R-3327-AT-2,CVCL_L303,Male,Female
GSM945646,GSE38569,Alveolar Epithelial type 2 (AT2 cell),R-3327-AT-2,CVCL_L303,Male,Female
GSM945647,GSE38569,Alveolar Epithelial type 2 (AT2 cell),R-3327-AT-2,CVCL_L303,Male,Female
GSM945648,GSE38569,Alveolar Epithelial type 2 (AT2 cell),R-3327-AT-2,CVCL_L303,Male,Female
GSM945649,GSE38569,Alveolar Epithelial type 2 (AT2 cell),R-3327-AT-2,CVCL_L303,Male,Female
GSM945650,GSE38569,Alveolar Epithelial type 2 (AT2 cell),R-3327-AT-2,CVCL_L303,Male,Female
GSM945651,GSE38569,Alveolar Epithelial type 2 (AT2 cell),R-3327-AT-2,CVCL_L303,Male,Female
GSM945652,GSE38569,Alveolar Epithelial type 2 (AT2 cell),R-3327-AT-2,CVCL_L303,Male,Female
GSM945653,GSE38569,Alveolar Epithelial type 2 (AT2 cell),R-3327-AT-2,CVCL_L303,Male,Female
GSM945654,GSE38569,Alveolar Epithelial type 2 (AT2 cell),R-3327-AT-2,CVCL_L303,Male,Female
GSM945655,GSE38569,Alveolar Epithelial type 2 (AT2 cell),R-3327-AT-2,CVCL_L303,Male,Female
GSM945656,GSE38569,Alveolar Epithelial type 2 (AT2 cell),R-3327-AT-2,CVCL_L303,Male,Female
GSM945657,GSE38569,Alveolar Epithelial type 2 (AT2 cell),R-3327-AT-2,CVCL_L303,Male,Female
GSM945658,GSE38569,Alveolar Epithelial type 2 (AT2 cell),R-3327-AT-2,CVCL_L303,Male,Female
GSM945659,GSE38569,Alveolar Epithelial type 2 (AT2 cell),R-3327-AT-2,CVCL_L303,Male,Female
GSM1564114,GSE64083,Burkitt Lymphoma,CHOP,CVCL_4702,Female,Male
GSM1915077,GSE74233,BGC823,BGC-823,CVCL_3360,Female,Male
GSM1915078,GSE74233,BGC823,BGC-823,CVCL_3360,Female,Male
GSM1915079,GSE74233,BGC823,BGC-823,CVCL_3360,Female,Male
GSM1915080,GSE74233,BGC823,BGC-823,CVCL_3360,Female,Male
GSM2752297,GSE102994,LAN1,LA-N-1,CVCL_1827,Male,Female
GSM2752298,GSE102994,LAN1,LA-N-1,CVCL_1827,Male,Female
GSM2752299,GSE102994,LAN1,LA-N-1,CVCL_1827,Male,Female
GSM2752300,GSE102994,LAN1,LA-N-1,CVCL_1827,Male,Female
GSM2752301,GSE102994,LAN1,LA-N-1,CVCL_1827,Male,Female
GSM2752302,GSE102994,LAN1,LA-N-1,CVCL_1827,Male,Female
GSM2752303,GSE102994,LAN1,LA-N-1,CVCL_1827,Male,Female
GSM2752304,GSE102994,LAN1,LA-N-1,CVCL_1827,Male,Female
GSM2752305,GSE102994,LAN1,LA-N-1,CVCL_1827,Male,Female
GSM2752306,GSE102994,LAN1,LA-N-1,CVCL_1827,Male,Female
GSM1072280,GSE38858,MCF7 Cell Line,DKO-1,CVCL_9798,Male,Female
GSM1072281,GSE38858,MCF7 Cell Line,DKO-1,CVCL_9798,Male,Female
GSM1072282,GSE38858,MCF7 Cell Line,DKO-1,CVCL_9798,Male,Female
GSM1072283,GSE38858,MCF7 Cell Line,DKO-1,CVCL_9798,Male,Female
GSM1072284,GSE38858,MCF7 Cell Line,DKO-1,CVCL_9798,Male,Female
GSM1072285,GSE38858,MCF7 Cell Line,DKO-1,CVCL_9798,Male,Female
GSM2121230,GSE80226,H9,H9,CVCL_1240,Male,Female
GSM1836188,GSE71523,cell line,LoVo,CVCL_0399,Male,Female
GSM1836190,GSE71523,cell line,LoVo,CVCL_0399,Male,Female
GSM1836192,GSE71523,cell line,LoVo,CVCL_0399,Male,Female
GSM1836194,GSE71523,cell line,LoVo,CVCL_0399,Male,Female
GSM1836196,GSE71523,cell line,LoVo,CVCL_0399,Male,Female
GSM1836198,GSE71523,cell line,LoVo,CVCL_0399,Male,Female
GSM1836200,GSE71523,cell line,LoVo,CVCL_0399,Male,Female
GSM1836202,GSE71523,cell line,LoVo,CVCL_0399,Male,Female
GSM1836204,GSE71523,cell line,LoVo,CVCL_0399,Male,Female
GSM1836206,GSE71523,cell line,LoVo,CVCL_0399,Male,Female
GSM1836208,GSE71523,cell line,LoVo,CVCL_0399,Male,Female
GSM1667296,GSE68304,cell line,LoVo,CVCL_0399,Male,Female
GSM1667297,GSE68304,cell line,LoVo,CVCL_0399,Male,Female
GSM2274675,GSE85523,Jurkat,Jurkat,CVCL_0065,Male,Female
GSM999396,GSE40699,U87,U-87MG ATCC,CVCL_0022,Male,Female
GSM1903514,GSE73801,AT/RT,OCGH_ATRT,CVCL_A1GR,Male,Female
GSM1903516,GSE73801,AT/RT,OCGH_ATRT,CVCL_A1GR,Male,Female
GSM1903519,GSE73801,AT/RT,OCGH_ATRT,CVCL_A1GR,Male,Female
GSM1903520,GSE73801,AT/RT,OCGH_ATRT,CVCL_A1GR,Male,Female
GSM1903521,GSE73801,AT/RT,OCGH_ATRT,CVCL_A1GR,Male,Female
GSM1903523,GSE73801,AT/RT,OCGH_ATRT,CVCL_A1GR,Male,Female
GSM1903746,GSE73801,EPN,EPN,CVCL_B7JE,Male,Female
GSM1903755,GSE73801,EPN,EPN,CVCL_B7JE,Male,Female
GSM924892,GSE36369,cell line: GM17290,GM09916,CVCL_N125,Male,Female
GSM2872756,GSE107624,Nasal Mucosa; BSC,Nasal Mucosa; BSC,CVCL_M116,Male,Female
GSM1593905,GSE65369,H9 embryonic stem cells,H9,CVCL_1240,Male,Female
GSM2881858,GSE107855,cell line,LoVo,CVCL_0399,Male,Female
GSM2881859,GSE107855,cell line,LoVo,CVCL_0399,Male,Female
GSM5390856,GSE178421,Left Laterocervical LN,GM02063,CVCL_F127,Male,Female
GSM5390858,GSE178421,supraclavicular LN,GM02063,CVCL_F127,Male,Female
GSM5390870,GSE178421,Cervical LN,GM02063,CVCL_F127,Male,Female
GSM3898783,GSE133041,H9,H9,CVCL_1240,Male,Female
GSM5100774,GSE167278,Non-Patterned neuron derived from hESC (H9),H9,CVCL_1240,Male,Female
GSM5100775,GSE167278,Non-Patterned neuron derived from hESC (H9),H9,CVCL_1240,Male,Female
GSM5100776,GSE167278,Non-Patterned neuron derived from hESC (H9),H9,CVCL_1240,Male,Female
GSM5100771,GSE167278,hESC (H9),H9,CVCL_1240,Male,Female
GSM5100772,GSE167278,hESC (H9),H9,CVCL_1240,Male,Female
GSM5100773,GSE167278,hESC (H9),H9,CVCL_1240,Male,Female
GSM1117211,GSE45878,Brain; Spinal cord (cervical c-1),Brain; Hep-G2 C-1,CVCL_VA34,Male,Female
GSM1117285,GSE45878,Brain; Spinal cord (cervical c-1),Brain; Hep-G2 C-1,CVCL_VA34,Male,Female
GSM1117539,GSE45878,Brain; Spinal cord (cervical c-1),Brain; Hep-G2 C-1,CVCL_VA34,Male,Female
GSM1117667,GSE45878,Brain; Spinal cord (cervical c-1),Brain; Hep-G2 C-1,CVCL_VA34,Male,Female
GSM1117683,GSE45878,Brain; Spinal cord (cervical c-1),Brain; Hep-G2 C-1,CVCL_VA34,Male,Female
GSM1117779,GSE45878,Brain; Spinal cord (cervical c-1),Brain; Hep-G2 C-1,CVCL_VA34,Male,Female
GSM1117811,GSE45878,Brain; Spinal cord (cervical c-1),Brain; Hep-G2 C-1,CVCL_VA34,Male,Female
GSM1907996,GSE74004,H9 hESCs,H9,CVCL_1240,Male,Female
GSM3271056,GSE117090,BM,BH,CVCL_E481,Female,Male
GSM3271057,GSE117090,BM,BH,CVCL_E481,Female,Male
GSM3271060,GSE117090,BM,BH,CVCL_E481,Female,Male
GSM3271064,GSE117090,BM,BH,CVCL_E481,Female,Male
GSM3271065,GSE117090,BM,BH,CVCL_E481,Female,Male
GSM3271072,GSE117090,BM,BH,CVCL_E481,Female,Male
GSM3271078,GSE117090,BM,BH,CVCL_E481,Female,Male
GSM3271081,GSE117090,BM,BH,CVCL_E481,Female,Male
GSM3271082,GSE117090,BM,BH,CVCL_E481,Female,Male
GSM3271091,GSE117090,BM,BH,CVCL_E481,Female,Male
GSM3271093,GSE117090,BM,BH,CVCL_E481,Female,Male
GSM3271094,GSE117090,BM,BH,CVCL_E481,Female,Male
GSM3271095,GSE117090,BM,BH,CVCL_E481,Female,Male
GSM3271096,GSE117090,BM,BH,CVCL_E481,Female,Male
GSM3271100,GSE117090,BM,BH,CVCL_E481,Female,Male
GSM3271101,GSE117090,BM,BH,CVCL_E481,Female,Male
GSM3271109,GSE117090,BM,BH,CVCL_E481,Female,Male
GSM3271115,GSE117090,BM,BH,CVCL_E481,Female,Male
GSM3271118,GSE117090,BM,BH,CVCL_E481,Female,Male
GSM3271119,GSE117090,BM,BH,CVCL_E481,Female,Male
GSM3271125,GSE117090,BM,BH,CVCL_E481,Female,Male
GSM3271128,GSE117090,BM,BH,CVCL_E481,Female,Male
GSM3271130,GSE117090,BM,BH,CVCL_E481,Female,Male
GSM3271131,GSE117090,BM,BH,CVCL_E481,Female,Male
GSM3271132,GSE117090,BM,BH,CVCL_E481,Female,Male
GSM3271133,GSE117090,BM,BH,CVCL_E481,Female,Male
GSM3271136,GSE117090,BM,BH,CVCL_E481,Female,Male
GSM3271137,GSE117090,BM,BH,CVCL_E481,Female,Male
GSM3271138,GSE117090,BM,BH,CVCL_E481,Female,Male
GSM3271143,GSE117090,BM,BH,CVCL_E481,Female,Male
GSM3271146,GSE117090,BM,BH,CVCL_E481,Female,Male
GSM3271150,GSE117090,BM,BH,CVCL_E481,Female,Male
GSM3271152,GSE117090,BM,BH,CVCL_E481,Female,Male
GSM3271155,GSE117090,BM,BH,CVCL_E481,Female,Male
GSM3271156,GSE117090,BM,BH,CVCL_E481,Female,Male
GSM1593835,GSE65366,HaCaT,HaCaT,CVCL_0038,Male,Female
GSM1593836,GSE65366,HaCaT,HaCaT,CVCL_0038,Male,Female
GSM1593837,GSE65366,HaCaT,HaCaT,CVCL_0038,Male,Female
GSM1593838,GSE65366,HaCaT,HaCaT,CVCL_0038,Male,Female
GSM1593839,GSE65366,HaCaT,HaCaT,CVCL_0038,Male,Female
GSM1593840,GSE65366,HaCaT,HaCaT,CVCL_0038,Male,Female
GSM1593841,GSE65366,HaCaT,HaCaT,CVCL_0038,Male,Female
GSM1593842,GSE65366,HaCaT,HaCaT,CVCL_0038,Male,Female
GSM1593843,GSE65366,HaCaT,HaCaT,CVCL_0038,Male,Female
GSM1593844,GSE65366,HaCaT,HaCaT,CVCL_0038,Male,Female
GSM1593845,GSE65366,HaCaT,HaCaT,CVCL_0038,Male,Female
GSM1593846,GSE65366,HaCaT,HaCaT,CVCL_0038,Male,Female
GSM1593847,GSE65366,HaCaT,HaCaT,CVCL_0038,Male,Female
GSM1593848,GSE65366,HaCaT,HaCaT,CVCL_0038,Male,Female
GSM1593849,GSE65366,HaCaT,HaCaT,CVCL_0038,Male,Female
GSM1593850,GSE65366,skin epithelium; HaCaT,Epithelium; HaCaT,CVCL_0038,Male,Female
GSM1593851,GSE65366,skin epithelium; HaCaT,Epithelium; HaCaT,CVCL_0038,Male,Female
GSM1593852,GSE65366,skin epithelium; HaCaT,Epithelium; HaCaT,CVCL_0038,Male,Female
GSM1593853,GSE65366,skin epithelium; HaCaT,Epithelium; HaCaT,CVCL_0038,Male,Female
GSM1593854,GSE65366,skin epithelium; HaCaT,Epithelium; HaCaT,CVCL_0038,Male,Female
GSM1593855,GSE65366,skin epithelium; HaCaT,Epithelium; HaCaT,CVCL_0038,Male,Female
GSM1593856,GSE65366,skin epithelium; HaCaT,Epithelium; HaCaT,CVCL_0038,Male,Female
GSM1593857,GSE65366,skin epithelium; HaCaT,Epithelium; HaCaT,CVCL_0038,Male,Female
GSM1593858,GSE65366,skin epithelium; HaCaT,Epithelium; HaCaT,CVCL_0038,Male,Female
GSM1593859,GSE65366,skin epithelium; HaCaT,Epithelium; HaCaT,CVCL_0038,Male,Female
GSM1593860,GSE65366,skin epithelium; HaCaT,Epithelium; HaCaT,CVCL_0038,Male,Female
GSM1593861,GSE65366,skin epithelium; HaCaT,Epithelium; HaCaT,CVCL_0038,Male,Female
GSM1593862,GSE65366,skin epithelium; HaCaT,Epithelium; HaCaT,CVCL_0038,Male,Female
GSM1593863,GSE65366,skin epithelium; HaCaT,Epithelium; HaCaT,CVCL_0038,Male,Female
GSM1593864,GSE65366,skin epithelium; HaCaT,Epithelium; HaCaT,CVCL_0038,Male,Female
GSM2098893,GSE79598,H9,H9,CVCL_1240,Male,Female
GSM2098894,GSE79598,H9,H9,CVCL_1240,Male,Female
GSM2098895,GSE79598,H9,H9,CVCL_1240,Male,Female
GSM2098905,GSE79598,H9,H9,CVCL_1240,Male,Female
GSM2098906,GSE79598,H9,H9,CVCL_1240,Male,Female
GSM2098907,GSE79598,H9,H9,CVCL_1240,Male,Female
GSM2936860,GSE109302,Colon/Rectum; SW480,Rectum; SW480,CVCL_0546,Male,Female
GSM2936861,GSE109302,Colon/Rectum; SW480,Rectum; SW480,CVCL_0546,Male,Female
GSM2936862,GSE109302,Colon/Rectum; SW480,Rectum; SW480,CVCL_0546,Male,Female
GSM3190270,GSE115807,MDA-MB-435S,MDA-MB-435S,CVCL_0622,Male,Female
GSM3190268,GSE115807,MDA-MB-435S,MDA-MB-435S,CVCL_0622,Male,Female
GSM3190269,GSE115807,MDA-MB-435S,MDA-MB-435S,CVCL_0622,Male,Female
GSM7551459,GSE236560,PLC/PRF/5 cell,PLC/PRF/5,CVCL_0485,Male,Female
GSM7551460,GSE236560,PLC/PRF/5 cell,PLC/PRF/5,CVCL_0485,Male,Female
GSM7551463,GSE236560,PLC/PRF/5 cell,PLC/PRF/5,CVCL_0485,Male,Female
GSM7551464,GSE236560,PLC/PRF/5 cell,PLC/PRF/5,CVCL_0485,Male,Female
GSM624206,GSE25428,CH1,BIHi288-A,CVCL_C6TY,Male,Female
GSM624249,GSE25428,CH1,BIHi288-A,CVCL_C6TY,Male,Female
GSM1048861,GSE42731,BM,BH,CVCL_E481,Female,Male
GSM1048863,GSE42731,BM,BH,CVCL_E481,Female,Male
GSM1048864,GSE42731,BM,BH,CVCL_E481,Female,Male
GSM1048866,GSE42731,BM,BH,CVCL_E481,Female,Male
GSM1048881,GSE42731,BM,BH,CVCL_E481,Female,Male
GSM1048886,GSE42731,BM,BH,CVCL_E481,Female,Male
GSM1048888,GSE42731,BM,BH,CVCL_E481,Female,Male
GSM1048890,GSE42731,BM,BH,CVCL_E481,Female,Male
GSM1048896,GSE42731,BM,BH,CVCL_E481,Female,Male
GSM1048898,GSE42731,BM,BH,CVCL_E481,Female,Male
GSM1508654,GSE61573,UT14,UT14,CVCL_VJ96,Male,Female
GSM1508655,GSE61573,UT14,UT14,CVCL_VJ96,Male,Female
GSM1508657,GSE61573,UT14,UT14,CVCL_VJ96,Male,Female
GSM1508658,GSE61573,UT14,UT14,CVCL_VJ96,Male,Female
GSM1508659,GSE61573,UT14,UT14,CVCL_VJ96,Male,Female
GSM1508660,GSE61573,UT14,UT14,CVCL_VJ96,Male,Female
GSM1508661,GSE61573,UT14,UT14,CVCL_VJ96,Male,Female
GSM1508662,GSE61573,UT14,UT14,CVCL_VJ96,Male,Female
GSM1508663,GSE61573,UT14,UT14,CVCL_VJ96,Male,Female
GSM1508664,GSE61573,UT14,UT14,CVCL_VJ96,Male,Female
GSM1508665,GSE61573,UT14,UT14,CVCL_VJ96,Male,Female
GSM1508666,GSE61573,UT14,UT14,CVCL_VJ96,Male,Female
GSM1508667,GSE61573,UT14,UT14,CVCL_VJ96,Male,Female
GSM1508668,GSE61573,UT14,UT14,CVCL_VJ96,Male,Female
GSM1508669,GSE61573,UT14,UT14,CVCL_VJ96,Male,Female
GSM529745,GSE21163,Panc2.8,Panc 02.05,CVCL_E278,Female,Male
GSM529746,GSE21163,Panc2.8,Panc 02.05,CVCL_E278,Female,Male
GSM529747,GSE21163,Panc2.8,Panc 02.05,CVCL_E278,Female,Male
GSM1887583,GSE73129,OE,OE,CVCL_J350,Female,Male
GSM1887600,GSE73129,OE,OE,CVCL_J350,Female,Male
GSM1564135,GSE64085,Burkitt Lymphoma,CHOP,CVCL_4702,Female,Male
GSM4199846,GSE141253,H9,H9,CVCL_1240,Male,Female
GSM4199847,GSE141253,H9,H9,CVCL_1240,Male,Female
GSM4199848,GSE141253,H9,H9,CVCL_1240,Male,Female
GSM4199849,GSE141253,H9,H9,CVCL_1240,Male,Female
GSM4199850,GSE141253,H9,H9,CVCL_1240,Male,Female
GSM4199851,GSE141253,H9,H9,CVCL_1240,Male,Female
GSM4199852,GSE141253,H9,H9,CVCL_1240,Male,Female
GSM4199853,GSE141253,H9,H9,CVCL_1240,Male,Female
GSM4199854,GSE141253,H9,H9,CVCL_1240,Male,Female
GSM4199855,GSE141253,H9,H9,CVCL_1240,Male,Female
GSM4199856,GSE141253,H9,H9,CVCL_1240,Male,Female
GSM4199857,GSE141253,H9,H9,CVCL_1240,Male,Female
GSM4199858,GSE141253,H9,H9,CVCL_1240,Male,Female
GSM4199859,GSE141253,H9,H9,CVCL_1240,Male,Female
GSM4199860,GSE141253,H9,H9,CVCL_1240,Male,Female
GSM4199861,GSE141253,H9,H9,CVCL_1240,Male,Female
GSM4199862,GSE141253,H9,H9,CVCL_1240,Male,Female
GSM4199863,GSE141253,H9,H9,CVCL_1240,Male,Female
GSM4199864,GSE141253,H9,H9,CVCL_1240,Male,Female
GSM4199865,GSE141253,H9,H9,CVCL_1240,Male,Female
GSM4199866,GSE141253,H9,H9,CVCL_1240,Male,Female
GSM4199867,GSE141253,H9,H9,CVCL_1240,Male,Female
GSM4199868,GSE141253,H9,H9,CVCL_1240,Male,Female
GSM4199869,GSE141253,H9,H9,CVCL_1240,Male,Female
GSM4199870,GSE141253,H9,H9,CVCL_1240,Male,Female
GSM4199871,GSE141253,H9,H9,CVCL_1240,Male,Female
GSM4199872,GSE141253,H9,H9,CVCL_1240,Male,Female
GSM4199873,GSE141253,H9,H9,CVCL_1240,Male,Female
GSM4199874,GSE141253,H9,H9,CVCL_1240,Male,Female
GSM4199875,GSE141253,H9,H9,CVCL_1240,Male,Female
GSM4199876,GSE141253,H9,H9,CVCL_1240,Male,Female
GSM4199877,GSE141253,H9,H9,CVCL_1240,Male,Female
GSM4199878,GSE141253,H9,H9,CVCL_1240,Male,Female
GSM4199879,GSE141253,H9,H9,CVCL_1240,Male,Female
GSM4199880,GSE141253,H9,H9,CVCL_1240,Male,Female
GSM4199881,GSE141253,H9,H9,CVCL_1240,Male,Female
GSM4199882,GSE141253,H9,H9,CVCL_1240,Male,Female
GSM4199883,GSE141253,H9,H9,CVCL_1240,Male,Female
GSM4199884,GSE141253,H9,H9,CVCL_1240,Male,Female
GSM4199885,GSE141253,H9,H9,CVCL_1240,Male,Female
GSM4199886,GSE141253,H9,H9,CVCL_1240,Male,Female
GSM4199887,GSE141253,H9,H9,CVCL_1240,Male,Female
GSM4199888,GSE141253,H9,H9,CVCL_1240,Male,Female
GSM4199889,GSE141253,H9,H9,CVCL_1240,Male,Female
GSM4199890,GSE141253,H9,H9,CVCL_1240,Male,Female
GSM4199891,GSE141253,H9,H9,CVCL_1240,Male,Female
GSM4199892,GSE141253,H9,H9,CVCL_1240,Male,Female
GSM4199893,GSE141253,H9,H9,CVCL_1240,Male,Female
GSM4199894,GSE141253,H9,H9,CVCL_1240,Male,Female
GSM4199895,GSE141253,H9,H9,CVCL_1240,Male,Female
GSM4199896,GSE141253,H9,H9,CVCL_1240,Male,Female
GSM4199897,GSE141253,H9,H9,CVCL_1240,Male,Female
GSM4199898,GSE141253,H9,H9,CVCL_1240,Male,Female
GSM4199899,GSE141253,H9,H9,CVCL_1240,Male,Female
GSM4199900,GSE141253,H9,H9,CVCL_1240,Male,Female
GSM4199901,GSE141253,H9,H9,CVCL_1240,Male,Female
GSM4199902,GSE141253,H9,H9,CVCL_1240,Male,Female
GSM4199903,GSE141253,H9,H9,CVCL_1240,Male,Female
GSM4199904,GSE141253,H9,H9,CVCL_1240,Male,Female
GSM4199905,GSE141253,H9,H9,CVCL_1240,Male,Female
GSM4199906,GSE141253,H9,H9,CVCL_1240,Male,Female
GSM4199907,GSE141253,H9,H9,CVCL_1240,Male,Female
GSM4199908,GSE141253,H9,H9,CVCL_1240,Male,Female
GSM806613,GSE32540,Mkn28,MKN28,CVCL_1416,Male,Female
GSM806615,GSE32540,Mkn28,MKN28,CVCL_1416,Male,Female
GSM806616,GSE32540,Mkn28,MKN28,CVCL_1416,Male,Female
GSM806617,GSE32540,Mkn28,MKN28,CVCL_1416,Male,Female
GSM806618,GSE32540,Mkn28,MKN28,CVCL_1416,Male,Female
GSM475722,GSE19188,LCC,TR-LCC-1,CVCL_IU63,Male,Female
GSM475724,GSE19188,LCC,TR-LCC-1,CVCL_IU63,Male,Female
GSM475769,GSE19188,LCC,TR-LCC-1,CVCL_IU63,Male,Female
GSM475774,GSE19188,LCC,TR-LCC-1,CVCL_IU63,Male,Female
GSM475776,GSE19188,LCC,TR-LCC-1,CVCL_IU63,Male,Female
GSM475805,GSE19188,LCC,TR-LCC-1,CVCL_IU63,Male,Female
GSM1251783,GSE51739,cell line,LoVo,CVCL_0399,Male,Female
GSM1251793,GSE51739,529 cell line,MKN1,CVCL_1415,Male,Female
GSM1251794,GSE51739,DiFi cell line,MKN1,CVCL_1415,Male,Female
GSM1251797,GSE51739,L-363 cell line,MKN1,CVCL_1415,Male,Female
GSM1251812,GSE51739,EM-2 cell line,MKN1,CVCL_1415,Male,Female
GSM1251813,GSE51739,TE671 cell line,MKN1,CVCL_1415,Male,Female
GSM1251821,GSE51739,HT-29 cell line,MKN1,CVCL_1415,Male,Female
GSM1251823,GSE51739,cell line,LoVo,CVCL_0399,Male,Female
GSM1251832,GSE51739,IM-9 cell line,MKN1,CVCL_1415,Male,Female
