gsm,gse,raw_Tissue,matched_cellline,cvcl,cellosaurus_organism
GSM5935643,GSE198006,Human embryonic stem cell H1,H-1,CVCL_N541,Mus musculus
GSM5935644,GSE198006,Human embryonic stem cell H1,H-1,CVCL_N541,Mus musculus
GSM5935645,GSE198006,Human embryonic stem cell H1,H-1,CVCL_N541,Mus musculus
GSM5935646,GSE198006,Human embryonic stem cell H1,H-1,CVCL_N541,Mus musculus
GSM5935647,GSE198006,Human embryonic stem cell H1,H-1,CVCL_N541,Mus musculus
GSM5935648,GSE198006,Human embryonic stem cell H1,H-1,CVCL_N541,Mus musculus
GSM5935649,GSE198006,Human embryonic stem cell H1,H-1,CVCL_N541,Mus musculus
GSM5935650,GSE198006,Human embryonic stem cell H1,H-1,CVCL_N541,Mus musculus
GSM1695215,GSE69200,H1,H-1,CVCL_N541,Mus musculus
GSM1695216,GSE69200,H1,H-1,CVCL_N541,Mus musculus
GSM1202656,GSE49613,MDA-LM2-shTARBP2,LM2,CVCL_5V02,Mus musculus
GSM1202657,GSE49613,MDA-LM2-shTARBP2,LM2,CVCL_5V02,Mus musculus
GSM1202658,GSE49613,MDA-LM2-shTARBP2,LM2,CVCL_5V02,Mus musculus
GSM1202659,GSE49613,MDA-LM2-shTARBP2,LM2,CVCL_5V02,Mus musculus
GSM1202660,GSE49613,MDA-LM2-shTARBP2,LM2,CVCL_5V02,Mus musculus
GSM1202661,GSE49613,MDA-LM2-shTARBP2,LM2,CVCL_5V02,Mus musculus
GSM1202662,GSE49613,MDA-LM2-shTARBP2 cell-line,LM2,CVCL_5V02,Mus musculus
GSM1202663,GSE49613,MDA-LM2-shTARBP2,LM2,CVCL_5V02,Mus musculus
GSM4284328,GSE144241,Human embryonic stem cell H1,H-1,CVCL_N541,Mus musculus
GSM4284329,GSE144241,Human embryonic stem cell H1,H-1,CVCL_N541,Mus musculus
GSM4284330,GSE144241,Human embryonic stem cell H1,H-1,CVCL_N541,Mus musculus
GSM4284331,GSE144241,Human embryonic stem cell H1,H-1,CVCL_N541,Mus musculus
GSM4284332,GSE144241,Human embryonic stem cell H1,H-1,CVCL_N541,Mus musculus
GSM4284333,GSE144241,Human embryonic stem cell H1,H-1,CVCL_N541,Mus musculus
GSM4284334,GSE144241,Human embryonic stem cell H1,H-1,CVCL_N541,Mus musculus
GSM2650409,GSE99699,M4 cells,B2905,CVCL_B0CG,Mus musculus
GSM2650410,GSE99699,M4 cells,B2905,CVCL_B0CG,Mus musculus
GSM2650411,GSE99699,M4 cells,B2905,CVCL_B0CG,Mus musculus
GSM2650412,GSE99699,M4 cells,B2905,CVCL_B0CG,Mus musculus
GSM2650413,GSE99699,M4 cells,B2905,CVCL_B0CG,Mus musculus
GSM2650414,GSE99699,M4 cells,B2905,CVCL_B0CG,Mus musculus
GSM1037232,GSE42289,hESC H1 cells,H-1,CVCL_N541,Mus musculus
GSM1037233,GSE42289,hESC H1 cells,H-1,CVCL_N541,Mus musculus
GSM1037234,GSE42289,hESC H1 cells,H-1,CVCL_N541,Mus musculus
GSM1037235,GSE42289,hESC H1 cells,H-1,CVCL_N541,Mus musculus
GSM1329688,GSE55107,"Human H1 embryonic stem cell (ESC), in vitro differentiated to NSC",H-1,CVCL_N541,Mus musculus
GSM1329689,GSE55107,"Human H1 embryonic stem cell (ESC), in vitro differentiated to NSC",H-1,CVCL_N541,Mus musculus
GSM1329699,GSE55107,Human H1 embryonic stem cell (ESC),H-1,CVCL_N541,Mus musculus
GSM1329700,GSE55107,Human H1 embryonic stem cell (ESC),H-1,CVCL_N541,Mus musculus
GSM1340077,GSE55603,K1,B16-F10.9.K1,CVCL_E3VS,Mus musculus
GSM1340078,GSE55603,K1,B16-F10.9.K1,CVCL_E3VS,Mus musculus
GSM1329718,GSE55109,"Human two factors (POU5F1, SOX2) induced Pluripotent Cell (iPSC) reprogrammed from CD34+ Cord blood CD34+ Hematopoyetic Stem Cell(HSC) induced Pluripotent Cell (iPSC) population 2",III-2,CVCL_C7S0,Rattus norvegicus
GSM1329719,GSE55109,"Human four factors (POU5F1, SOX2, KLF4, CMYC) induced Pluripotent Cell (iPSC) reprogrammed from CD34+ Cord blood CD34+ Hematopoyetic Stem Cell(HSC) induced Pluripotent Cell (iPSC) population 2",III-2,CVCL_C7S0,Rattus norvegicus
GSM5031771,GSE165341,STO,STO,CVCL_3420,Mus musculus
GSM5031772,GSE165341,STO,STO,CVCL_3420,Mus musculus
GSM5031773,GSE165341,STO,STO,CVCL_3420,Mus musculus
GSM5031774,GSE165341,STO,STO,CVCL_3420,Mus musculus
GSM5031775,GSE165341,STO,STO,CVCL_3420,Mus musculus
GSM5031776,GSE165341,STO,STO,CVCL_3420,Mus musculus
GSM4671368,GSE154453,Human embryonic stem cell H1,H-1,CVCL_N541,Mus musculus
GSM5057424,GSE165892,H1 hESC cell line,H-1,CVCL_N541,Mus musculus
GSM5057425,GSE165892,H1 hESC cell line,H-1,CVCL_N541,Mus musculus
GSM5057426,GSE165892,H1 hESC cell line,H-1,CVCL_N541,Mus musculus
GSM5057427,GSE165892,H1 hESC cell line,H-1,CVCL_N541,Mus musculus
GSM5057428,GSE165892,H1 hESC cell line,H-1,CVCL_N541,Mus musculus
GSM5057429,GSE165892,H1 hESC cell line,H-1,CVCL_N541,Mus musculus
GSM5057430,GSE165892,H1 hESC cell line,H-1,CVCL_N541,Mus musculus
GSM1202585,GSE49609,MDA-LM2 cells,LM2,CVCL_5V02,Mus musculus
GSM1202586,GSE49609,MDA-LM2 cells,LM2,CVCL_5V02,Mus musculus
GSM1202587,GSE49609,MDA-LM2 cells,LM2,CVCL_5V02,Mus musculus
GSM1202588,GSE49609,MDA-LM2 cells,LM2,CVCL_5V02,Mus musculus
GSM1169038,GSE48124,UC7,UC7,CVCL_F801,Mus musculus
GSM1169039,GSE48124,UC7,UC7,CVCL_F801,Mus musculus
GSM1169040,GSE48124,UC7,UC7,CVCL_F801,Mus musculus
GSM1372088,GSE49649,MDA-LM2-shDicer cells,LM2,CVCL_5V02,Mus musculus
GSM1372089,GSE49649,MDA-LM2-shDicer cells,LM2,CVCL_5V02,Mus musculus
GSM1372090,GSE49649,MDA-LM2-shDicer cells,LM2,CVCL_5V02,Mus musculus
GSM1372091,GSE49649,MDA-LM2-shDicer cells,LM2,CVCL_5V02,Mus musculus
GSM1409679,GSE58386,5-FU res Panc03.27,Panc03,CVCL_1U10,Mus musculus
GSM1409680,GSE58386,5-FU res Panc03.27,Panc03,CVCL_1U10,Mus musculus
GSM1409681,GSE58386,5-FU res Panc03.27,Panc03,CVCL_1U10,Mus musculus
GSM1409682,GSE58386,5-FU res Panc03.27,Panc03,CVCL_1U10,Mus musculus
GSM5935651,GSE198007,Human embryonic stem cell H1,H-1,CVCL_N541,Mus musculus
GSM5935652,GSE198007,Human embryonic stem cell H1,H-1,CVCL_N541,Mus musculus
GSM5935653,GSE198007,Human embryonic stem cell H1,H-1,CVCL_N541,Mus musculus
GSM5935654,GSE198007,Human embryonic stem cell H1,H-1,CVCL_N541,Mus musculus
GSM5935655,GSE198007,Human embryonic stem cell H1,H-1,CVCL_N541,Mus musculus
GSM2087961,GSE79202,MDA-LM2 cells,LM2,CVCL_5V02,Mus musculus
GSM2087962,GSE79202,MDA-LM2 cells,LM2,CVCL_5V02,Mus musculus
GSM2087963,GSE79202,MDA-LM2 cells,LM2,CVCL_5V02,Mus musculus
GSM2087964,GSE79202,MDA-LM2 cells,LM2,CVCL_5V02,Mus musculus
GSM1294017,GSE53462,SCC,SCC,CVCL_C0WY,Siniperca chuatsi
GSM1294018,GSE53462,SCC,SCC,CVCL_C0WY,Siniperca chuatsi
GSM1294026,GSE53462,SCC,SCC,CVCL_C0WY,Siniperca chuatsi
GSM1294030,GSE53462,SCC,SCC,CVCL_C0WY,Siniperca chuatsi
GSM1294032,GSE53462,SCC,SCC,CVCL_C0WY,Siniperca chuatsi
GSM995481,GSE40516,Human alveolar epithelial type II (AT2) cells,R-3327-AT-2,CVCL_L303,Rattus norvegicus
GSM995482,GSE40516,Human alveolar epithelial type II (AT2) cells,R-3327-AT-2,CVCL_L303,Rattus norvegicus
GSM995483,GSE40516,Human alveolar epithelial type II (AT2) cells,R-3327-AT-2,CVCL_L303,Rattus norvegicus
GSM995484,GSE40516,Human alveolar epithelial type II (AT2) cells,R-3327-AT-2,CVCL_L303,Rattus norvegicus
GSM995485,GSE40516,Human alveolar epithelial type II (AT2) cells,R-3327-AT-2,CVCL_L303,Rattus norvegicus
GSM995486,GSE40516,Human alveolar epithelial type II (AT2) cells,R-3327-AT-2,CVCL_L303,Rattus norvegicus
GSM995487,GSE40516,Human alveolar epithelial type II (AT2) cells,R-3327-AT-2,CVCL_L303,Rattus norvegicus
GSM995488,GSE40516,Human alveolar epithelial type II (AT2) cells,R-3327-AT-2,CVCL_L303,Rattus norvegicus
GSM995489,GSE40516,Human alveolar epithelial type II (AT2) cells,R-3327-AT-2,CVCL_L303,Rattus norvegicus
GSM995490,GSE40516,Human alveolar epithelial type II (AT2) cells,R-3327-AT-2,CVCL_L303,Rattus norvegicus
GSM995491,GSE40516,Human alveolar epithelial type II (AT2) cells,R-3327-AT-2,CVCL_L303,Rattus norvegicus
GSM995492,GSE40516,Human alveolar epithelial type II (AT2) cells,R-3327-AT-2,CVCL_L303,Rattus norvegicus
GSM995493,GSE40516,Human alveolar epithelial type II (AT2) cells,R-3327-AT-2,CVCL_L303,Rattus norvegicus
GSM995494,GSE40516,Human alveolar epithelial type II (AT2) cells,R-3327-AT-2,CVCL_L303,Rattus norvegicus
GSM995495,GSE40516,Human alveolar epithelial type II (AT2) cells,R-3327-AT-2,CVCL_L303,Rattus norvegicus
GSM995496,GSE40516,Human alveolar epithelial type II (AT2) cells,R-3327-AT-2,CVCL_L303,Rattus norvegicus
GSM995497,GSE40516,Human alveolar epithelial type II (AT2) cells,R-3327-AT-2,CVCL_L303,Rattus norvegicus
GSM995498,GSE40516,Human alveolar epithelial type II (AT2) cells,R-3327-AT-2,CVCL_L303,Rattus norvegicus
GSM995499,GSE40516,Human alveolar epithelial type II (AT2) cells,R-3327-AT-2,CVCL_L303,Rattus norvegicus
GSM995500,GSE40516,Human alveolar epithelial type II (AT2) cells,R-3327-AT-2,CVCL_L303,Rattus norvegicus
GSM995501,GSE40516,Human alveolar epithelial type II (AT2) cells,R-3327-AT-2,CVCL_L303,Rattus norvegicus
GSM995502,GSE40516,Human alveolar epithelial type II (AT2) cells,R-3327-AT-2,CVCL_L303,Rattus norvegicus
GSM995503,GSE40516,Human alveolar epithelial type II (AT2) cells,R-3327-AT-2,CVCL_L303,Rattus norvegicus
GSM995504,GSE40516,Human alveolar epithelial type II (AT2) cells,R-3327-AT-2,CVCL_L303,Rattus norvegicus
GSM1552677,GSE63562,MDA-LM2,LM2,CVCL_5V02,Mus musculus
GSM1552678,GSE63562,MDA-LM2,LM2,CVCL_5V02,Mus musculus
GSM1552679,GSE63562,MDA-LM2,LM2,CVCL_5V02,Mus musculus
GSM1552680,GSE63562,MDA-LM2,LM2,CVCL_5V02,Mus musculus
GSM1552681,GSE63562,MDA-LM2,LM2,CVCL_5V02,Mus musculus
GSM1552682,GSE63562,MDA-LM2,LM2,CVCL_5V02,Mus musculus
GSM1552683,GSE63562,MDA-LM2,LM2,CVCL_5V02,Mus musculus
GSM1552684,GSE63562,MDA-LM2,LM2,CVCL_5V02,Mus musculus
GSM1923332,GSE74580,CA1,CA1,CVCL_B0E5,Mus musculus
GSM1923337,GSE74580,CA1,CA1,CVCL_B0E5,Mus musculus
GSM1923338,GSE74580,CA1,CA1,CVCL_B0E5,Mus musculus
GSM1923339,GSE74580,CA1,CA1,CVCL_B0E5,Mus musculus
GSM2864582,GSE107300,LM,L-M,CVCL_4535,Mus musculus
GSM2864584,GSE107300,LM,L-M,CVCL_4535,Mus musculus
GSM2864587,GSE107300,LM,L-M,CVCL_4535,Mus musculus
GSM1026834,GSE41872,MCF-7-based 2A3-3,2A3A1H,CVCL_J627,Mus musculus
GSM1026835,GSE41872,MCF-7-based 2A3-3,2A3A1H,CVCL_J627,Mus musculus
GSM1026836,GSE41872,MCF-7-based 2A3-3,2A3A1H,CVCL_J627,Mus musculus
GSM1026837,GSE41872,MCF-7-based 2A3-3,2A3A1H,CVCL_J627,Mus musculus
GSM5702504,GSE189492,KG1,B16-F10.9.KG1,CVCL_E3VV,Mus musculus
GSM5702505,GSE189492,KG1,B16-F10.9.KG1,CVCL_E3VV,Mus musculus
GSM5702506,GSE189492,KG1,B16-F10.9.KG1,CVCL_E3VV,Mus musculus
GSM945643,GSE38569,Alveolar Epithelial type 2 (AT2 cell),R-3327-AT-2,CVCL_L303,Rattus norvegicus
GSM945644,GSE38569,Alveolar Epithelial type 2 (AT2 cell),R-3327-AT-2,CVCL_L303,Rattus norvegicus
GSM945645,GSE38569,Alveolar Epithelial type 2 (AT2 cell),R-3327-AT-2,CVCL_L303,Rattus norvegicus
GSM945646,GSE38569,Alveolar Epithelial type 2 (AT2 cell),R-3327-AT-2,CVCL_L303,Rattus norvegicus
GSM945647,GSE38569,Alveolar Epithelial type 2 (AT2 cell),R-3327-AT-2,CVCL_L303,Rattus norvegicus
GSM945648,GSE38569,Alveolar Epithelial type 2 (AT2 cell),R-3327-AT-2,CVCL_L303,Rattus norvegicus
GSM945649,GSE38569,Alveolar Epithelial type 2 (AT2 cell),R-3327-AT-2,CVCL_L303,Rattus norvegicus
GSM945650,GSE38569,Alveolar Epithelial type 2 (AT2 cell),R-3327-AT-2,CVCL_L303,Rattus norvegicus
GSM945651,GSE38569,Alveolar Epithelial type 2 (AT2 cell),R-3327-AT-2,CVCL_L303,Rattus norvegicus
GSM945652,GSE38569,Alveolar Epithelial type 2 (AT2 cell),R-3327-AT-2,CVCL_L303,Rattus norvegicus
GSM945653,GSE38569,Alveolar Epithelial type 2 (AT2 cell),R-3327-AT-2,CVCL_L303,Rattus norvegicus
GSM945654,GSE38569,Alveolar Epithelial type 2 (AT2 cell),R-3327-AT-2,CVCL_L303,Rattus norvegicus
GSM945655,GSE38569,Alveolar Epithelial type 2 (AT2 cell),R-3327-AT-2,CVCL_L303,Rattus norvegicus
GSM945656,GSE38569,Alveolar Epithelial type 2 (AT2 cell),R-3327-AT-2,CVCL_L303,Rattus norvegicus
GSM945657,GSE38569,Alveolar Epithelial type 2 (AT2 cell),R-3327-AT-2,CVCL_L303,Rattus norvegicus
GSM945658,GSE38569,Alveolar Epithelial type 2 (AT2 cell),R-3327-AT-2,CVCL_L303,Rattus norvegicus
GSM945659,GSE38569,Alveolar Epithelial type 2 (AT2 cell),R-3327-AT-2,CVCL_L303,Rattus norvegicus
GSM1645726,GSE67383,Neural rosettes,HNK-1,CVCL_D293,Mus musculus
GSM1645727,GSE67383,Neural rosettes,HNK-1,CVCL_D293,Mus musculus
GSM1645728,GSE67383,Neural rosettes,HNK-1,CVCL_D293,Mus musculus
GSM1645735,GSE67383,p75+HNK1+ cells from neural rosettes,HNK-1,CVCL_D293,Mus musculus
GSM1645736,GSE67383,p75+HNK1+ cells from neural rosettes,HNK-1,CVCL_D293,Mus musculus
GSM1645737,GSE67383,p75+HNK1+ cells from neural rosettes,HNK-1,CVCL_D293,Mus musculus
GSM1202607,GSE49612,MDA-LM2 cells,LM2,CVCL_5V02,Mus musculus
GSM1202608,GSE49612,MDA-LM2 cells,LM2,CVCL_5V02,Mus musculus
GSM1202609,GSE49612,MDA-LM2 cells,LM2,CVCL_5V02,Mus musculus
GSM1202610,GSE49612,MDA-LM2 cells,LM2,CVCL_5V02,Mus musculus
GSM1202611,GSE49612,MDA-LM2 cells,LM2,CVCL_5V02,Mus musculus
GSM1202612,GSE49612,MDA-LM2 cells,LM2,CVCL_5V02,Mus musculus
GSM1202613,GSE49612,MDA-LM2 cells,LM2,CVCL_5V02,Mus musculus
GSM1202614,GSE49612,MDA-LM2 cells,LM2,CVCL_5V02,Mus musculus
GSM1694224,GSE69165,CLL-like Mec-1 cell line,GM-20,CVCL_F939,Mus musculus
GSM1694225,GSE69165,CLL-like Mec-1 cell line,GM-20,CVCL_F939,Mus musculus
GSM1694226,GSE69165,CLL-like Mec-1 cell line,GM-20,CVCL_F939,Mus musculus
GSM1694227,GSE69165,Mec-1,GM-20,CVCL_F939,Mus musculus
GSM1694228,GSE69165,Mec-1,GM-20,CVCL_F939,Mus musculus
GSM1694229,GSE69165,Mec-1,GM-20,CVCL_F939,Mus musculus
GSM1202593,GSE49611,MDA-LM2 cells,LM2,CVCL_5V02,Mus musculus
GSM1202594,GSE49611,MDA-LM2 cells,LM2,CVCL_5V02,Mus musculus
GSM1202595,GSE49611,MDA-LM2 cells,LM2,CVCL_5V02,Mus musculus
GSM1202596,GSE49611,MDA-LM2 cells,LM2,CVCL_5V02,Mus musculus
GSM1525705,GSE62356,brain; GSC,Brain; GSC,CVCL_M752,Epinephelus akaara
GSM1525707,GSE62356,GSC,GSC,CVCL_M752,Epinephelus akaara
GSM18850,GSE1133,DRG,DrG,CVCL_IX16,Danio rerio
GSM18851,GSE1133,DRG,DrG,CVCL_IX16,Danio rerio
GSM1564114,GSE64083,Burkitt Lymphoma,CHOP,CVCL_4702,Cricetulus griseus
GSM1670091,GSE68379,MEC-1,GM-20,CVCL_F939,Mus musculus
GSM1670092,GSE68379,MEC-2,GM-70,CVCL_F940,Mus musculus
GSM1670134,GSE68379,MS-1,Mile Sven 1,CVCL_6502,Mus musculus
GSM1933851,GSE74797,SCC VII,SCC,CVCL_C0WY,Siniperca chuatsi
GSM1933852,GSE74797,SCC VII,SCC,CVCL_C0WY,Siniperca chuatsi
GSM1933853,GSE74797,SCC VII,SCC,CVCL_C0WY,Siniperca chuatsi
GSM1933854,GSE74797,SCC VII,SCC,CVCL_C0WY,Siniperca chuatsi
GSM1933855,GSE74797,SCC VII,SCC,CVCL_C0WY,Siniperca chuatsi
GSM1933856,GSE74797,SCC,SCC,CVCL_C0WY,Siniperca chuatsi
GSM1933857,GSE74797,SCC VII,SCC,CVCL_C0WY,Siniperca chuatsi
GSM1933858,GSE74797,SCC,SCC,CVCL_C0WY,Siniperca chuatsi
GSM2027171,GSE76503,C6,C40210,CVCL_1G35,Pan troglodytes
GSM2027183,GSE76503,C6,C40210,CVCL_1G35,Pan troglodytes
GSM2051701,GSE70460,M,DM87,CVCL_9126,Muntiacus muntjak
GSM1633614,GSE66872,Renal Carcinoma,RenCa,CVCL_2174,Mus musculus
GSM2428767,GSE92378,Burkitt Lymphoma cell line 373,B65,CVCL_4113,Rattus norvegicus
GSM2428771,GSE92378,Burkitt Lymphoma cell line B65,B65,CVCL_4113,Rattus norvegicus
GSM2428780,GSE92378,Burkitt Lymphoma cell line BL56,B65,CVCL_4113,Rattus norvegicus
GSM1944176,GSE75153,TO_MB47,HL130C2.3C5,CVCL_A2IL,Mus musculus
GSM1944178,GSE75153,TO_MB49,MB49,CVCL_7076,Mus musculus
GSM1662018,GSE68060,ESP,ESP,CVCL_A2ZZ,Ovis aries
GSM1662033,GSE68060,ESP,ESP,CVCL_A2ZZ,Ovis aries
GSM1662036,GSE68060,ESP,ESP,CVCL_A2ZZ,Ovis aries
GSM1662041,GSE68060,ESP,ESP,CVCL_A2ZZ,Ovis aries
GSM1662042,GSE68060,ESP,ESP,CVCL_A2ZZ,Ovis aries
GSM1662049,GSE68060,ESP,ESP,CVCL_A2ZZ,Ovis aries
GSM1662057,GSE68060,ESP,ESP,CVCL_A2ZZ,Ovis aries
GSM1662066,GSE68060,ESP,ESP,CVCL_A2ZZ,Ovis aries
GSM1662081,GSE68060,ESP,ESP,CVCL_A2ZZ,Ovis aries
GSM1662086,GSE68060,ESP,ESP,CVCL_A2ZZ,Ovis aries
GSM1662089,GSE68060,ESP,ESP,CVCL_A2ZZ,Ovis aries
GSM1662096,GSE68060,ESP,ESP,CVCL_A2ZZ,Ovis aries
GSM1662102,GSE68060,ESP,ESP,CVCL_A2ZZ,Ovis aries
GSM1662103,GSE68060,ESP,ESP,CVCL_A2ZZ,Ovis aries
GSM1903630,GSE73801,MB,MB,CVCL_5M21,Mesocricetus auratus
GSM1903631,GSE73801,MB,MB,CVCL_5M21,Mesocricetus auratus
GSM1903632,GSE73801,MB,MB,CVCL_5M21,Mesocricetus auratus
GSM1903633,GSE73801,MB,MB,CVCL_5M21,Mesocricetus auratus
GSM1903634,GSE73801,MB,MB,CVCL_5M21,Mesocricetus auratus
GSM1903635,GSE73801,MB,MB,CVCL_5M21,Mesocricetus auratus
GSM1903636,GSE73801,MB,MB,CVCL_5M21,Mesocricetus auratus
GSM1903637,GSE73801,MB,MB,CVCL_5M21,Mesocricetus auratus
GSM1903638,GSE73801,MB,MB,CVCL_5M21,Mesocricetus auratus
GSM1903639,GSE73801,MB,MB,CVCL_5M21,Mesocricetus auratus
GSM1903640,GSE73801,MB,MB,CVCL_5M21,Mesocricetus auratus
GSM1903641,GSE73801,MB,MB,CVCL_5M21,Mesocricetus auratus
GSM1903642,GSE73801,MB,MB,CVCL_5M21,Mesocricetus auratus
GSM1903643,GSE73801,MB,MB,CVCL_5M21,Mesocricetus auratus
GSM1903644,GSE73801,MB,MB,CVCL_5M21,Mesocricetus auratus
GSM1903645,GSE73801,MB,MB,CVCL_5M21,Mesocricetus auratus
GSM1903646,GSE73801,MB,MB,CVCL_5M21,Mesocricetus auratus
GSM1903647,GSE73801,MB,MB,CVCL_5M21,Mesocricetus auratus
GSM1903648,GSE73801,MB,MB,CVCL_5M21,Mesocricetus auratus
GSM1903649,GSE73801,MB,MB,CVCL_5M21,Mesocricetus auratus
GSM1903650,GSE73801,MB,MB,CVCL_5M21,Mesocricetus auratus
GSM1903651,GSE73801,MB,MB,CVCL_5M21,Mesocricetus auratus
GSM1903652,GSE73801,MB,MB,CVCL_5M21,Mesocricetus auratus
GSM1903653,GSE73801,MB,MB,CVCL_5M21,Mesocricetus auratus
GSM1903654,GSE73801,MB,MB,CVCL_5M21,Mesocricetus auratus
GSM1903655,GSE73801,MB,MB,CVCL_5M21,Mesocricetus auratus
GSM1903656,GSE73801,MB,MB,CVCL_5M21,Mesocricetus auratus
GSM1903657,GSE73801,MB,MB,CVCL_5M21,Mesocricetus auratus
GSM1903658,GSE73801,MB,MB,CVCL_5M21,Mesocricetus auratus
GSM1903659,GSE73801,MB,MB,CVCL_5M21,Mesocricetus auratus
GSM1903660,GSE73801,MB,MB,CVCL_5M21,Mesocricetus auratus
GSM1903661,GSE73801,MB,MB,CVCL_5M21,Mesocricetus auratus
GSM1903662,GSE73801,MB,MB,CVCL_5M21,Mesocricetus auratus
GSM1903663,GSE73801,MB,MB,CVCL_5M21,Mesocricetus auratus
GSM1903664,GSE73801,MB,MB,CVCL_5M21,Mesocricetus auratus
GSM1903665,GSE73801,MB,MB,CVCL_5M21,Mesocricetus auratus
GSM1903666,GSE73801,MB,MB,CVCL_5M21,Mesocricetus auratus
GSM1903667,GSE73801,MB,MB,CVCL_5M21,Mesocricetus auratus
GSM1903668,GSE73801,MB,MB,CVCL_5M21,Mesocricetus auratus
GSM1903669,GSE73801,MB,MB,CVCL_5M21,Mesocricetus auratus
GSM1903670,GSE73801,MB,MB,CVCL_5M21,Mesocricetus auratus
GSM1903671,GSE73801,MB,MB,CVCL_5M21,Mesocricetus auratus
GSM1903672,GSE73801,MB,MB,CVCL_5M21,Mesocricetus auratus
GSM1903673,GSE73801,MB,MB,CVCL_5M21,Mesocricetus auratus
GSM1903674,GSE73801,MB,MB,CVCL_5M21,Mesocricetus auratus
GSM1903675,GSE73801,MB,MB,CVCL_5M21,Mesocricetus auratus
GSM1903769,GSE73801,MB,MB,CVCL_5M21,Mesocricetus auratus
GSM1903770,GSE73801,MB,MB,CVCL_5M21,Mesocricetus auratus
GSM1903771,GSE73801,MB,MB,CVCL_5M21,Mesocricetus auratus
GSM2029675,GSE76639,Gonad,GON,CVCL_WY78,Cyprinus carpio
GSM2029725,GSE76639,Gonad,GON,CVCL_WY78,Cyprinus carpio
GSM2029732,GSE76639,Gonad,GON,CVCL_WY78,Cyprinus carpio
GSM2029735,GSE76639,Gonad,GON,CVCL_WY78,Cyprinus carpio
GSM2029738,GSE76639,Gonad,GON,CVCL_WY78,Cyprinus carpio
GSM2388537,GSE89776,ES line; H1 cell line,Cell Line; H-1,CVCL_N541,Mus musculus
