item,field,raw_value,assigned_id,instances
126,Treatment,shRNA targeting CBX7_1,OOV-X-A82B9DEF61,1
127,Tissue,Endobronchial biopsy,OOV-T-A7B8C6EC2D,60
128,Treatment,10 mM 2DG + 10 mM spautin-1,OOV-X-CE6F301B5D,1
129,Condition,RNF125 mutated,OOV-C-64801B6589,2
130,Treatment,AIDA_AK17_BL serum,OOV-X-6FD5C58C27,1
131,Tissue,PBMCs from buffy coats,OOV-T-8F4061C7EB,7
132,Treatment,Non-releaser 2,OOV-X-9935335CF3,1
133,Treatment,OSI-930; 1.11µM,OOV-X-03A13C90E5,1
134,Condition,Diseased control,OOV-C-CDE766FE79,1
135,Condition,hypergravity,OOV-C-87055F775D,5
136,Tissue,Pediatric T-cell lymphoblastic lymphoma,OOV-T-3B2E6D7B58,8
137,Treatment,10.0739um,OOV-X-EEDA75C7CF,1
138,Condition,colorectal cancer lymph node metastasis,OOV-C-4630EACE36,6
139,Treatment,cp-80144,OOV-X-89FE75A93D,1
140,Treatment,cp-82208,OOV-X-9907A230CE,1
141,Treatment,cp-3724,OOV-X-95E46CA807,1
142,Tissue,Adjacent normal tissue to glioblastoma grade IV,OOV-T-5E389E562F,1
143,Treatment,cp-61539,OOV-X-C50F8AC887,1
144,Treatment,shScr,ART-X-00520,13
145,Treatment,5ug/mL Mix Aspergillus or Mix Penicillium,OOV-X-E0C68E372C,4
146,Condition,DRD,ART-C-05129,3
147,Treatment,NNI-11,OOV-X-28BC36BFC2,2
148,Treatment,cp-81714,OOV-X-CCB3C9E989,1
149,Treatment,5.02662um,OOV-X-0019D43346,1
150,Tissue,renal allograft,OOV-T-FCB2FC55E8,17
151,Treatment,10.662um,OOV-X-41F895DA36,1
152,Treatment,transfected: miR-140-3p.1,OOV-X-C2926AFFF5,1
153,Treatment,GNA12 transduction,OOV-X-93BF771C6E,4
154,Tissue,conjunctival melanomas,OOV-T-E421C8E311,12
155,Treatment,cp-81074,OOV-X-D4CB5465B7,1
156,Treatment,10.0992um,OOV-X-28139DA327,1
157,Treatment,BirA,ART-X-30972,3
158,Treatment,cp-82255,OOV-X-9241C1A1B6,1
159,Treatment,FOXP3-transduced; MS023,OOV-X-364D6AB7E3,3
160,Treatment,BRAF_p.R682W,OOV-X-B242B464EB,8
161,Condition,AF; stroke,OOV-C-7092A0B3BC,8
162,Treatment,cp-118,OOV-X-955D723846,1
163,Treatment,prior radiation history,OOV-X-86E736D973,20
164,Condition,variant human embryonic stem cell line (H9),OOV-C-E8456EBDAC,1
165,Treatment,pBI-CMV2 vector,OOV-X-3723D3363F,3
166,Treatment,cp-51198,OOV-X-84EA04555E,1
167,Treatment,CDC42EP4 siRNA knocked down,OOV-X-39E9FCEFD4,1
168,Treatment,geldanamycin_1000nM,OOV-X-73317CD702,72
169,Treatment,smoker; 30-day mean pm2.5 exposure level: 10.1912,OOV-X-5F5F68F24F,1
170,Treatment,siTDRD9-1,OOV-X-685B691BF8,3
171,Tissue,HPV- HNSCC tumor,OOV-T-ACC07A9786,24
172,Treatment,11.6431um,OOV-X-1D6CAAE884,2
173,Treatment,Kava_250 mcg/ml,OOV-X-9460C1108B,12
174,Treatment,cp-69512,OOV-X-1C3E65B996,1
175,Treatment,KL1 expression vector,OOV-X-263D90C990,3
176,Condition,Abdominal-pelvic mass,OOV-C-41EA824081,1
177,Treatment,abemaciclib,OOV-X-D734DCDC2D,10
178,Treatment,cp-33409,OOV-X-6BCAE57482,1
179,Treatment,induction medium PSA,OOV-X-E2A75A95B8,1
180,Treatment,JMJD6 scramble,OOV-X-897395382F,1
181,Treatment,cp-73580,OOV-X-509E0D44C4,1
182,Treatment,cp-69542,OOV-X-73939C4EA3,1
183,Treatment,pyrazolanthrone 10µM,OOV-X-ABCA471BAF,38
184,Treatment,cp-51018,OOV-X-3A59966B71,1
185,Condition,primary brain tumour,OOV-C-02F5AA2A2E,1
186,Treatment,IFN-beta,OOV-X-C5F24A5394,44
187,Tissue,RCM-1,OOV-T-4285463B97,5
188,Treatment,HIV-based vector,OOV-X-22DFFBF0B6,1
189,Treatment,PATZ1 siRNA,OOV-X-CF2E431411,2
190,Treatment,siOCT4; vehicle,OOV-X-2010F78B8A,1
191,Treatment,cp-79444,OOV-X-FEFE809414,1
192,Treatment,miR-542-3p mimic,OOV-X-235044C8E8,3
193,Condition,HIV vector infected,OOV-C-953F24B3F6,3
194,Treatment,infected with HIV-1 strain IIIB.DVpr,OOV-X-CE7FA1165B,2
195,Treatment,cp-34612,OOV-X-92FAD8F3BE,1
196,Treatment,3 % hypoxic condition,OOV-X-201611A793,2
197,Treatment,shCON1,OOV-X-6AEA5FDCF4,1
198,Treatment,C646; TGFβ,OOV-X-03807C4804,1
199,Treatment,1 μM alpelisib 24h,OOV-X-8E24F177AA,1
200,Treatment,Curculigoside_10μM,OOV-X-FE3DF32937,2
201,Treatment,DMSO+E2,OOV-X-583E68C511,4
202,Condition,Healthy Control-1,OOV-C-62B79B3BD3,1
203,Tissue,Human Gut,OOV-T-FD9E733DDF,38
204,Treatment,CHF6001 1600 µg twice daily High dose,OOV-X-6035023460,3
205,Treatment,AAV2/9,OOV-X-442DF33714,6
206,Treatment,16.5 mM Glu; NO Met,OOV-X-AE19B4FE9A,3
207,Treatment,ppi therapy (currently) Yes; active smoking Yes,OOV-X-721310EABE,2
208,Tissue,CD10,ART-T-02265,16
209,Treatment,dryness syndrome,OOV-X-572C6E01B0,23
210,Treatment,MSS,ART-X-31379,2
211,Treatment,cp-6361,OOV-X-51E0DB7C52,1
212,Treatment,19.4um,OOV-X-8D095E4FA4,8
213,Treatment,h-GH,OOV-X-F7DCFB9839,6
214,Treatment,IFNgamma (20 ng/ml),OOV-X-29989B5A3E,1
215,Treatment,lentiviral vector containing CEBPA,OOV-X-BA3EA00826,3
216,Treatment,cp-50972,OOV-X-9FE8204BC9,1
217,Treatment,cp-59969,OOV-X-165FAFFE92,1
218,Treatment,FOXP3-transduced; DMSO,OOV-X-84063D832F,3
219,Condition,streptococcus pneumoniae,OOV-C-3A968B65E6,1
220,Treatment,empty_1W; control shRNA,OOV-X-422423829E,1
221,Tissue,serous tubal intraepithelial carcinoma,OOV-T-2DD3066F8A,6
222,Tissue,PD-1 high CD8+ CD3+ T cells; Peripheral blood cells,OOV-T-3421870C8E,1
223,Treatment,withaferin-a 3.33µM,OOV-X-DC4A3531E5,133
224,Treatment,ESR1 siRNA,OOV-X-B37D2EBF0A,3
225,Treatment,shRNA targeting PLEKHO1,OOV-X-A25E0719C1,3
226,Treatment,EZH2-6,OOV-X-D452D33768,1
227,Treatment,smoker; 30-day mean pm2.5 exposure level: 9.60867,OOV-X-4EFE12964C,1
228,Condition,PR8/∆NS1 infection,OOV-C-E76A73DB79,3
229,Treatment,EBERs plasmid,OOV-X-35F1C7951E,1
230,Tissue,MCF7VP,OOV-T-9A3623BEF5,2
231,Treatment,"geldanamycin, IC50",OOV-X-6DAA141DC4,5
232,Treatment,SGX523 10µM,OOV-X-5D55D66365,37
233,Treatment,IFN 07 h; 6 Indomethacin,OOV-X-9C162FBCF2,5
234,Treatment,NSAIDs & steroids,OOV-X-206C4EE012,1
235,Treatment,activated T cells; antiIFNg (neutralizing antibody),OOV-X-48FF14306C,2
236,Treatment,cp-80125,OOV-X-8436BAF262,1
237,Treatment,TN14_CA24_M9 serum,OOV-X-41A88C7548,1
238,Treatment,cp-56014,OOV-X-B6FAB70609,1
239,Treatment,cp-3175,OOV-X-435FF612DF,1
240,Condition,RMA and MAS,OOV-C-36FEFAE250,2
241,Treatment,long-term treatment (8MU),OOV-X-3B757892F7,6
242,Treatment,H.pylori,OOV-X-B76FE5BEBD,3
243,Tissue,Primary B-CLL cells,OOV-T-75860B90C2,9
244,Treatment,cp-49509,OOV-X-2B7038CEBD,1
245,Treatment,2hr processing delay,OOV-X-ADD4AB1193,3
246,Treatment,sCD40L,OOV-X-848962EE69,33
247,Treatment,High stiffness (8000 Pa),OOV-X-7D47BCB9C0,3
248,Condition,CMV-seropositive healthy adult,OOV-C-5BA5895FE8,24
249,Treatment,BMP/FGF; 100uM Cycloheximide,OOV-X-4C528BE318,3
250,Treatment,sh-EWS-FLI1; doxycycline,OOV-X-2C0A41DCE6,1
251,Tissue,hiPSC cell line,OOV-T-C8CA122174,13
252,Treatment,RORC,ART-X-01602,4
253,Treatment,EBV+,OOV-X-0D12EB6E16,5
254,Treatment,shRB; IR(10Gy),OOV-X-BA43410D06,3
255,Treatment,MYOCD overexpression,OOV-X-046C2C91F3,3
256,Treatment,cp-54209,OOV-X-E673A5A7AC,1
257,Treatment,Heating at 95C for 60 min,OOV-X-D102535E33,4
258,Treatment,GFP; full fetal calf serum,OOV-X-5DF11E5A29,1
259,Treatment,cp-49932,OOV-X-A5415CB0B2,1
260,Treatment,cp-81386,OOV-X-0BD55FAFC9,1
261,Tissue,Testi_Intersitial,OOV-T-019873578F,1
262,Treatment,shRNA-216-2,OOV-X-98FD96644F,1
263,Treatment,32.9928um,OOV-X-4DABD29806,2
264,Treatment,39um,OOV-X-4173167690,3
265,Treatment,DNMT3B genetic knockout,OOV-X-E8D4711621,1
266,Tissue,Adult-Derived Human Liver Stem/progenitor Cell,OOV-T-8DF6947F77,7
267,Treatment,cp-34694,OOV-X-487C66CE96,1
268,Treatment,karonudib,OOV-X-3D80BFB5BD,4
269,Treatment,1223A pre flu plasma,OOV-X-4C020B4F3C,1
270,Treatment,dENV,ART-X-05077,12
271,Treatment,cp-53518,OOV-X-F05B3EFD44,1
272,Treatment,chlamydia + mycoplasma genitalium disease state,OOV-X-AF69831865,2
273,Treatment,shRNAs against UBE4B; shRNAs against LSD1,OOV-X-9C84B40B7E,1
274,Treatment,IL12-CAR_1,OOV-X-BA4502BD2E,1
275,Treatment,cp-80433,OOV-X-F8A10EF7DE,1
276,Tissue,MDA-HNS-090,OOV-T-C3D9CDD881,1
277,Condition,BRAF mutant,OOV-C-846B2043D2,18
278,Treatment,anti-CD16 (KD1); IL-2,OOV-X-8BF7771BA2,3
279,Treatment,ChMAP-28 5 µM,OOV-X-DDF2670B88,1
280,Treatment,biparental parentality,OOV-X-A1F4F846F1,6
281,Treatment,D-dTAT 5µM,OOV-X-E27C301370,1
282,Treatment,AIDA_AK01_M9 serum,OOV-X-41E4BB9D50,1
283,Treatment,cp-52510,OOV-X-5E7C289898,1
284,Treatment,2.5 Gy gamma-rays,OOV-X-6F6F93D690,3
285,Tissue,m. vastus lateralis,OOV-T-C8CA689C6D,98
286,Tissue,normal testicular tissue,OOV-T-485C89C33C,103
287,Tissue,rectal tissue,OOV-T-E1D8DF5DBB,72
288,Treatment,R-CHOP-Like Regimen,OOV-X-76519C12E9,233
289,Tissue,implant adherent cells,OOV-T-9561318572,52
290,Tissue,CD4+ cell,OOV-T-371960B6C7,428
291,Tissue,primary acute lymphoblastic leukemia cells,OOV-T-741A483F11,744
292,Treatment,LIPO-5 / MVA HIV-B,OOV-X-B7DD6CF666,89
293,Tissue,Primary NSCLC,OOV-T-97A59F7045,152
294,Treatment,LPS,ART-X-00026,808
295,Tissue,Mantle Cell Lymphoma,OOV-T-EA382C86E5,115
296,Condition,Unstimulated,OOV-C-19B1977B36,59
297,Tissue,CD133-positive immature blasts,OOV-T-96CF466758,67
298,Treatment,L18MDP,OOV-X-688F7558D2,67
299,Condition,CONTROL,OOV-C-D2446A4E3F,683
300,Treatment,AS03A,ART-X-26102,205
301,Treatment,UVC treatment,OOV-X-9588712630,73
302,Condition,Healthy Volunteer,OOV-C-CDFF8C0428,84
303,Treatment,NeoAdjuvant,OOV-X-D212262CB2,146
304,Treatment,GDC-0980 1.11µM,OOV-X-1E361ED85F,51
305,Condition,scz patient,OOV-C-50D987E52D,86
306,Tissue,Peripheral Blood Leucocytes,OOV-T-FF248D5131,77
307,Treatment,GFP,ART-X-00007,123
308,Tissue,UPN727,OOV-T-F2EC156515,440
309,Tissue,primary colorectal adenocarcinoma,OOV-T-429510F850,313
310,Condition,immobilization,OOV-C-C9329C514C,61
311,Treatment,neratinib 1.11µM,OOV-X-6FF252C940,53
312,Treatment,Definite Viral infection,OOV-X-1711C2D0C0,94
313,Condition,SIRS,ART-C-03417,88
314,Tissue,normal tissue,OOV-T-10FD5145AD,109
315,Treatment,AZD-5438 0.12µM,OOV-X-DF36A84F3E,74
316,Tissue,endomyocardial biopsy,OOV-T-D7A54AEEB3,81
317,Treatment,low dose Mtb infection,OOV-X-A62C047EE7,101
318,Condition,normal controls,OOV-C-B75F6131D0,252
319,Treatment,dovitinib 0.37µM,OOV-X-67A422360E,53
320,Treatment,NU-7441 0.37µM,OOV-X-E97A0E8BAA,54
321,Tissue,colorectal cancer tissue sample,OOV-T-2B4BC88240,105
322,Condition,Childhood Precursor B-Lymphoblastic Leukemia,OOV-C-72F2ECBB6B,207
323,Condition,fetal,OOV-C-62A1EA2882,168
324,Treatment,torin-1 3.33µM,OOV-X-584DD9A0E3,69
325,Treatment,HG-5-113-01 3.33µM,OOV-X-7E20CADB04,54
326,Treatment,Other glatiramoid,OOV-X-51FD211021,53
327,Treatment,geldanamycin 3.33µM,OOV-X-27148EDF66,136
328,Treatment,cytoHipec,OOV-X-5F223AAEDF,64
329,Treatment,non-infectious illness infection_status,OOV-X-B4B7B29A16,90
330,Treatment,barasertib 0.04µM,OOV-X-FC94F29DDF,56
331,Treatment,Northern Han group,OOV-X-8E43E4B3E1,87
332,Tissue,Leiomyoma tissue,OOV-T-6BF778040A,50
333,Treatment,Radiation-induced,OOV-X-63EA8898AC,73
334,Condition,SIV,ART-C-00536,677
335,Condition,IFTA,ART-C-06401,71
336,Tissue,primary glioblastoma,OOV-T-9A30DFDFEB,132
337,Tissue,Blood mononuclears,OOV-T-68F455926A,71
338,Treatment,GDC-0941 0.37µM,OOV-X-4EF27F6EF3,70
339,Treatment,tanespimycin 10µM,OOV-X-9769997557,133
340,Condition,HIV-1,OOV-C-6C7D05AA13,120
341,Condition,Normal control,OOV-C-D5262573EC,58
342,Tissue,Ileal margin area,OOV-T-52A1FF7FD8,147
343,Treatment,YM-201636 0.12µM,OOV-X-393EFC3A44,58
344,Tissue,CD20 positive B cells,OOV-T-09820EA90D,52
345,Treatment,AZD-6482 3.33µM,OOV-X-91D57EDC89,58
346,Treatment,Ixekizumab 80mg Q2W,OOV-X-8F194A996C,90
347,Treatment,doce,OOV-X-7DED518BC9,50
348,Condition,DayOrientedSchedule,OOV-C-C9627C8088,122
349,Condition,cancer cells,OOV-C-3FF5FF19AE,62
350,Treatment,alvocidib 1.11µM,OOV-X-4E4FA2AAD7,74
351,Condition,Stage: IV,OOV-C-3A12EC7986,63
352,Treatment,ALVAC-SIV/gp120/Alum,OOV-X-3259EFF9C7,157
353,Tissue,colorectal cancer tissue,OOV-T-047A1CCE46,183
354,Tissue,Leiomyosarcoma,OOV-T-86BA41C36E,89
355,Treatment,GDC-0941 0.04µM,OOV-X-DB9C3C445B,70
356,Treatment,BMS-387032 0.12µM,OOV-X-37D812FC21,75
357,Treatment,BX-912 0.12µM,OOV-X-8E0C3A9D3D,54
358,Treatment,Had Recurrence group,OOV-X-FE40146047,110
359,Tissue,stool,OOV-T-E9D0AF0B55,359
360,Treatment,Y-39983 0.04µM,OOV-X-474083FDB5,76
361,Treatment,fostamatinib 10µM,OOV-X-7533ECA7A1,75
362,Treatment,XMD11-85H 10µM,OOV-X-3F459F6706,70
363,Treatment,AZD-8330 0.12µM,OOV-X-CD4C57AAAE,58
364,Condition,patient with colon cancer,OOV-C-7BF624DE8C,55
365,Treatment,LDN-193189 3.33µM,OOV-X-C567B55B33,52
366,Condition,Protected,OOV-C-EDC7F8BD09,71
367,Condition,Stable MGUS,OOV-C-21CEFFB80F,319
368,Tissue,CD14+ cell,OOV-T-9B2E20067A,2404
369,Condition,fasted state,OOV-C-F2D384DAAA,51
370,Tissue,primary medulloblastoma,OOV-T-BBB23D3DF5,194
371,Condition,healthy donnor,OOV-C-DB97F9B874,56
372,Treatment,TGX-221 3.33µM,OOV-X-3DCB175394,57
373,Condition,no,OOV-C-03AB8E48B8,193
374,Treatment,R848,ART-X-01460,92
375,Treatment,JW-7-24-1 0.04µM,OOV-X-3410BED1F5,71
376,Treatment,ruxolitinib 10µM,OOV-X-6C9D51E776,57
377,Condition,healthy control,OOV-C-EA9A2B240D,2980
378,Tissue,Human PBMCs,OOV-T-7F705DCA06,124
379,Treatment,GSK-690693 1.11µM,OOV-X-A021E7E09A,53
380,Condition,Braak NFT stage I-II,OOV-C-24D9F91635,119
381,Condition,benign,OOV-C-C3F920ADE4,435
382,Condition,normal airway epithelial cells,OOV-C-141F1D57A0,391
383,Treatment,linifanib 0.37µM,OOV-X-6CA2424C43,66
384,Tissue,myeloma tumor cell,OOV-T-43D26543BE,59
385,Treatment,VTD-MEL200,OOV-X-5F1695EB78,50
386,Condition,BP,ART-C-04997,470
387,Tissue,percutaneous allograft biopsy,OOV-T-27D437AACB,52
388,Treatment,lifestyle intervention,OOV-X-6D4CB1A575,52
389,Treatment,NVP-TAE684 0.04µM,OOV-X-DAC7949874,74
390,Condition,HD,ART-C-01155,244
391,Tissue,chronic lymphocytic leukemia,OOV-T-AE8EFD86ED,172
392,Treatment,Moderate disease,OOV-X-6C17CBF55A,52
393,Tissue,pancreatic ductal adenocarcinoma,OOV-T-2DC0C63459,64
394,Treatment,AZD-8055 0.12µM,OOV-X-13BE354ACC,74
395,Condition,tumor sample,OOV-C-C9AFEDF966,219
396,Treatment,canertinib 0.12µM,OOV-X-0A907124FE,71
397,Treatment,PF-431396 3.33µM,OOV-X-5FBB39839A,58
398,Treatment,Secukinumab,OOV-X-7CA2D59273,268
399,Condition,DKD,ART-C-00642,101
400,Tissue,soft tissue sarcoma,OOV-T-A7081793AE,169
401,Treatment,AZD-8330 0.37µM,OOV-X-5800C5CDB4,57
402,Tissue,Undifferentiated sarcoma,OOV-T-0C49865307,89
403,Treatment,"titrated timothy grass pollen (Aquagen, phleum pratense; ALK)",OOV-X-324CBA5B69,59
404,Condition,responder,OOV-C-B487B2A11B,57
405,Treatment,OxPAPC,OOV-X-D137DC55A7,509
406,Condition,DCM,ART-C-04938,80
407,Treatment,WH-4-025 10µM,OOV-X-677D24FB6B,58
408,Treatment,anifrolumab,OOV-X-23E7BB42C8,58
409,Condition,normal lung,OOV-C-1A3D04A1E9,185
410,Condition,B-cell acute lymphoblastic leukemia with ETV6/RUNX1 translocation,OOV-C-678B5E4720,52
411,Condition,CTLA4 treated patient,OOV-C-EB03737645,89
412,Condition,NASH,ART-C-01319,321
413,Treatment,XMD16-144 0.12µM,OOV-X-89238EDE0F,54
414,Treatment,very-low-calorie diet,OOV-X-605E7C86E1,76
415,Condition,primary lung tumors; IA; I,OOV-C-E9AF3FF774,94
416,Condition,CFS,ART-C-01629,81
417,Treatment,palbociclib 0.12µM,OOV-X-45FF1FFC70,73
418,Tissue,AS-FFPE tumor,OOV-T-E95DC9DA6B,87
419,Treatment,PF-562271 0.12µM,OOV-X-2B68C376C2,71
420,Tissue,Circulating mononuclear cells,OOV-T-0C7D50973D,70
421,Tissue,human primary trophoblast,OOV-T-F05DB6EE0C,75
422,Treatment,selumetinib 10µM,OOV-X-23B88EDF08,71
423,Condition,Mixed,ART-C-02471,89
424,Treatment,GDC-0980 0.37µM,OOV-X-C68C897126,55
425,Condition,mock infected,OOV-C-25D525A881,52
426,Tissue,tumor,OOV-T-BD3240A33A,1073
427,Treatment,ERBB3,ART-X-14236,68
428,Tissue,HMECs,ART-T-03013,59
429,Treatment,trichostatin A 0.13_uM,OOV-X-FAF69D5006,56
