item,field,raw_value,assigned_id,instances,verdict,matched_id
96,Treatment,ETOH,ART-X-00932,11,inappropriate,D000431
97,Treatment,hCMV-stimulated,OOV-X-926CA5ABA0,13,appropriate,
98,Condition,CLL,ART-C-00279,1836,inappropriate,D015451
99,Treatment,0.1 mg,OOV-X-3CEE8D6F66,2,appropriate,
100,Treatment,32.8001um,OOV-X-4453CD53B9,4,appropriate,
101,Condition,CRC; Local recurrence,OOV-C-707FB85CE1,4,inappropriate,D015179
102,Treatment,10µM A443654,OOV-X-18B703BD0C,5,appropriate,
103,Treatment,shTRIB1-1,OOV-X-CDC8D41AC2,1,appropriate,
104,Tissue,human embryonic kidney cell line,OOV-T-71AD6B647C,2,appropriate,
105,Treatment,IFNγ-stimulated,OOV-X-98B86224FC,3,inappropriate,D007371
106,Treatment,oral cs; cs mg/d: 15; cs mg/kg: 0.15,OOV-X-8887321796,1,appropriate,
107,Treatment,siCITED1#3,OOV-X-06E40B79CB,4,appropriate,
108,Treatment,siRNA knockdown of ZNF665,OOV-X-DEE624EE12,1,appropriate,
109,Tissue,EBV-transformed lymphoblastoid cells,OOV-T-647918EC36,172,appropriate,
110,Treatment,CD28,ART-X-29363,2,appropriate,
111,Treatment,cp-79211,OOV-X-D19426D81D,1,appropriate,
112,Treatment,HIV-1 infected,OOV-X-5F26E13062,25,appropriate,
113,Treatment,miR-155 overexpression,OOV-X-72EE8A1AB2,3,appropriate,
114,Treatment,cp-79140,OOV-X-C6BA233C98,1,appropriate,
115,Treatment,Nutlin3a 10µM,OOV-X-BEF6BDDE8E,3,appropriate,
116,Tissue,cystoadenocarcinoma,OOV-T-A323C91B38,1,appropriate,
117,Treatment,culture medium only,OOV-X-8B943CF6E3,4,appropriate,
118,Treatment,cp-33810,OOV-X-4AC3F3A549,1,appropriate,
119,Tissue,ependymal tissue,OOV-T-5BFD009D17,7,inappropriate,D004805
120,Treatment,antagomir-122,OOV-X-78510F3E5C,2,appropriate,
121,Treatment,KIN001-055 0.04µM,OOV-X-56DD2189C3,42,appropriate,
122,Treatment,cp-50626,OOV-X-A116847CEB,1,appropriate,
123,Treatment,cp-3188,OOV-X-F9FB2AA111,1,appropriate,
124,Treatment,cp-80571,OOV-X-E31A0F2865,1,appropriate,
125,Treatment,None MALT1 Tx,OOV-X-A919E6775D,21,appropriate,
126,Treatment,rAAVpp65N-rep2,OOV-X-2DEF050BF6,1,appropriate,
127,Treatment,cp-69261,OOV-X-97BCF888B2,1,appropriate,
128,Treatment,CVD lifestyle intervention,OOV-X-63002AAA54,34,appropriate,
129,Tissue,Choriocarcinoma,OOV-T-35CA3C5A5D,1,appropriate,
130,Treatment,Immunosupresor,OOV-X-13842A7E2A,12,inappropriate,D007166
131,Treatment,HE alcoholic,OOV-X-DDF3413844,1,appropriate,
132,Treatment,cp-50814,OOV-X-E81668CE6C,1,appropriate,
133,Condition,DLBCL-A,OOV-C-A45D18ADBE,1,inappropriate,D016403
134,Treatment,smoky-coal,OOV-X-054EE87945,1,appropriate,
135,Treatment,100uM AA,OOV-X-A5596934BC,2,appropriate,
136,Treatment,cp-22481,OOV-X-041CF6B687,1,appropriate,
137,Treatment,post-pidilizumab,OOV-X-076F31CC25,8,appropriate,
138,Treatment,syk-transfected; Ethanol; PonA,OOV-X-32EF1662EF,1,appropriate,
139,Tissue,CD4+CD45RA-CCR7- FACS sorted primary T cells from MNC,OOV-T-A61D700C59,1,inappropriate,D015496
140,Treatment,Benzyl 2-azido-2-deoxy-alpha-D-galactopyranoside (alphaOBnGalN3),OOV-X-86B892DE72,2,appropriate,
141,Condition,light melanocytes,OOV-C-AC635D80A3,2,appropriate,
142,Treatment,Asoprisnil_25_29,OOV-X-EF14F5AE0B,1,appropriate,
143,Treatment,shBCAT1,OOV-X-48DAAB6116,1,appropriate,
144,Treatment,SLAIN2 transduction,OOV-X-FE16A4EEAB,3,appropriate,
145,Treatment,expressing full-length SV40 LT,OOV-X-A1B5871321,3,appropriate,
146,Treatment,low Myc expression,OOV-X-D953F577DB,3,appropriate,
147,Treatment,"siRNA, p21-2, 0.5nM, 24hr",OOV-X-A4E5B1166F,1,appropriate,
148,Treatment,siEGFP,OOV-X-275ABFDAF1,14,appropriate,
149,Condition,Embryocarcinoma,OOV-C-7F70225A5B,2,inappropriate,D018236
150,Treatment,dominant-negative form of TRF2,OOV-X-34A59A5DBA,3,appropriate,
151,Condition,primary lung cancer; Mixed large neuro- endocrine carcinoma and adenocarcinoma; Stage: I,OOV-C-E878BF0D47,2,inappropriate,D008175
152,Treatment,"100 nM 1,25(OH)2D",OOV-X-551E65BFF7,10,appropriate,
153,Condition,Parental HCET (control); shRNA-PNN HCET knock down; shRNA-ESRP1 HCET knock down,OOV-C-756D2257E0,1,appropriate,
154,Treatment,shMCM8,OOV-X-1184F4A788,3,appropriate,
155,Treatment,Ortho,ART-X-07299,5,appropriate,
156,Treatment,T216C-A273G expression,OOV-X-BC920E4751,1,appropriate,
157,Treatment,shCTL; DOX,OOV-X-197983B32E,3,appropriate,
158,Treatment,palbociclib 0.04µM,OOV-X-EFB9F22E5A,74,appropriate,
159,Treatment,P15/10mg/kg/W8,OOV-X-04DE08ABA9,1,appropriate,
160,Treatment,PRO018PRE plasma,OOV-X-27CB5D5565,1,appropriate,
161,Treatment,cp-50869,OOV-X-4B3EA9BFB7,1,appropriate,
162,Treatment,AD5,ART-X-04537,1,appropriate,
163,Condition,prostate carcinoma; T2+N0M0; Gleason 9,OOV-C-DC8FD3CAD2,2,inappropriate,D011471
164,Treatment,SFRP3 sh3; 4mM glutamine,OOV-X-EC9EBD3368,3,appropriate,
165,Treatment,cp-80142,OOV-X-4C54AF3845,1,appropriate,
166,Treatment,cp-69964,OOV-X-BA83031C82,1,appropriate,
167,Condition,chronic radiation,OOV-C-9EF7F2AF64,6,appropriate,
168,Condition,cognitively intact,OOV-C-BB52CF5F06,173,appropriate,
169,Treatment,11.2406um,OOV-X-11B37B9770,2,appropriate,
170,Treatment,cp-6258,OOV-X-AD71B59585,1,appropriate,
171,Condition,Liver tissue healthy,OOV-C-3D26CB20EF,6,appropriate,
172,Treatment,cp-81237,OOV-X-695F64D263,1,appropriate,
173,Tissue,PASMC-2,OOV-T-2757B5D3E5,3,indeterminate,
174,Treatment,stably transfected (using vector 101) to express Cas9 protein for use in CRISPR experiments,OOV-X-7DE1EF9259,35,appropriate,
175,Treatment,"episomal nucleofection with 4F + NANOG, LIN28, SVLT",OOV-X-33AB1CC85B,1,appropriate,
176,Treatment,RSL1,ART-X-25831,2,appropriate,
177,Treatment,"10 MBq at t=0, 5 MBq at t=1d; Lutetium-177-octreotate",OOV-X-F9604D3275,2,appropriate,
178,Condition,active smoker,OOV-C-12341662D7,22,appropriate,
179,Treatment,CIT less than 20 hours; Basiliximab,OOV-X-A5AFD8EBB3,3,appropriate,
180,Treatment,IRX1-targeting shRNA,OOV-X-06C2344733,3,appropriate,
181,Treatment,cp-79737,OOV-X-FDC8871774,1,appropriate,
182,Condition,PTC with dominant pattern of solid areas,OOV-C-234609FC2B,1,inappropriate,D000077273
183,Treatment,5-Azacytidine_5000nM_24h,OOV-X-C262B3E37F,3,appropriate,
184,Condition,late stage OSCC; tumor; stage III,OOV-C-8FE45E2B63,5,inappropriate,D009062
185,Condition,primary lung tumor; pathological stage: II,OOV-C-230357159E,2,inappropriate,D008175
186,Condition,ADH,ART-C-08289,1,appropriate,
187,Treatment,Dimethyl maleate; infection with VSVd51,OOV-X-D53CF020F6,1,appropriate,
188,Treatment,EBNA2,ART-X-28380,6,appropriate,
189,Treatment,cs mg/d: 5; cs mg/kg: 0.08,OOV-X-5BC8ADFE3C,1,appropriate,
190,Treatment,TRI SQ,ART-X-05311,2,appropriate,
191,Treatment,shRNA against PARG,OOV-X-2F258FE671,2,appropriate,
192,Treatment,21.5373um,OOV-X-CC509569B0,1,appropriate,
193,Condition,Non–Muscle-Invasive Bladder Cancer; Bladder Cancer; T1; High; Recurrence,OOV-C-E866648D7B,3,inappropriate,D001749
194,Tissue,NPC biopsy,OOV-T-378D0374BF,15,appropriate,
195,Condition,uterine epithelial adenocarcinoma,OOV-C-A51AF90F14,49,inappropriate,D016889
196,Treatment,10 uM compound 3299_36501,OOV-X-1961F79FE5,1,appropriate,
197,Treatment,cp-73408,OOV-X-E4E4A260FF,1,appropriate,
198,Treatment,EBV(+) immune status,OOV-X-70D3EE6B1F,2,appropriate,
199,Treatment,cp-50743,OOV-X-652D3ABCED,1,appropriate,
200,Treatment,IL17A blockade,OOV-X-4C459B76A3,28,appropriate,
201,Condition,PBD-ZSD patient,OOV-C-72C9E68444,26,inappropriate,D015211
202,Treatment,1 uM OCA (INT-747),OOV-X-83F50F4CD4,3,appropriate,
203,Treatment,cp-50195,OOV-X-0F726F315E,1,appropriate,
204,Condition,control cell-line expressing yellow fluorescent protein (YFP),OOV-C-AB4785E127,1,appropriate,
205,Treatment,Scrambled sgRNA,OOV-X-E3B7A09B3E,4,appropriate,
206,Condition,PDTC,ART-C-03884,5,indeterminate,
207,Treatment,cp-79152,OOV-X-E51114F590,1,appropriate,
208,Condition,Trimester 3,OOV-C-B277D14BCF,11,appropriate,
209,Treatment,GSK-429286A 10µM,OOV-X-E199ABC6DA,41,appropriate,
210,Treatment,DGM-10131_am,OOV-X-50803B8665,1,appropriate,
211,Treatment,RD,ART-X-06562,99,appropriate,
212,Treatment,cp-3367,OOV-X-66F0DA70C8,1,appropriate,
213,Treatment,BX-912 3.33µM,OOV-X-AEA1B7EE8A,57,appropriate,
214,Tissue,CLL26,ART-T-01827,1,appropriate,
215,Condition,chronic heart failure,OOV-C-ED6767305A,22,inappropriate,D006333
216,Tissue,TCR-alpha/beta CD4+ CD8- human T cells,OOV-T-A88C3D2253,1,inappropriate,D015496
217,Treatment,500nM OR21,OOV-X-641DAB2DE7,1,appropriate,
218,Tissue,Non-tumour control,OOV-T-319AD77C74,1,appropriate,
219,Tissue,SW-82,OOV-T-9E9FA8E849,1,indeterminate,
220,Condition,normal fetuses,OOV-C-EAA4655D8E,22,appropriate,
221,Treatment,cp-79953,OOV-X-2E670E50C2,1,appropriate,
222,Treatment,CD04 Plasma,OOV-X-A304224D97,1,appropriate,
223,Treatment,cp-43336,OOV-X-A4E1C40EDF,1,appropriate,
224,Treatment,L18MDP; aIL10R,OOV-X-8C73946B1D,30,appropriate,
225,Treatment,90 minutes 50 uM S3I-201,OOV-X-5FA209850E,3,appropriate,
226,Tissue,TF1a,ART-T-00958,8,inappropriate,CVCL_3608
227,Treatment,Baz2B-KO,OOV-X-925D5E72F2,2,appropriate,
228,Tissue,melanoma-associated fibroblast (MAF2-mCherry),OOV-T-E9D7542D23,4,appropriate,
229,Treatment,high hexavalent exposure,OOV-X-2D82D0342D,4,appropriate,
230,Treatment,RPS6; 2µL,OOV-X-6FF07AA407,54,appropriate,
231,Treatment,8hrs UVC,OOV-X-AC6CF8DD62,1,appropriate,
232,Treatment,UVC-irradiated (12hour),OOV-X-86690F0324,6,appropriate,
233,Condition,CLL progressive disease,OOV-C-C16DCED5F3,10,inappropriate,D015451
234,Treatment,AdLACZ,OOV-X-26D8E9EFC0,7,appropriate,
235,Tissue,Adult dermal fibroblasts,OOV-T-044357A721,2,inappropriate,D005347
236,Treatment,2.64995um,OOV-X-5A1A7193A1,1,appropriate,
237,Tissue,HTT,ART-T-00152,1,indeterminate,
238,Tissue,WHIM12,OOV-T-C88D358474,9,indeterminate,
239,Condition,AD; braak stage: I,OOV-C-1C02F6220D,2,inappropriate,D000544
240,Tissue,iCCA xenograft mice model,OOV-T-90E508E0CA,10,appropriate,
241,Treatment,cp-59470,OOV-X-367AAEE661,1,appropriate,
242,Condition,Papillary serous adenocarcinoma,OOV-C-6A5FD0F277,2,inappropriate,D018283
243,Treatment,co-culture with B-cell precursor acute lymphoblastic leukemia cells,OOV-X-F39A5E5A75,6,appropriate,
244,Treatment,vector; Nutlin 1A,OOV-X-125AA96E52,1,appropriate,
245,Tissue,hSAEpCs,OOV-T-954AA6BEB6,4,inappropriate,D004847
246,Treatment,Fluzone 09-10,OOV-X-B28A249AA6,10,inappropriate,D007252
247,Treatment,AP1510,OOV-X-C798BFBBF7,3,appropriate,
248,Treatment,obatoclax,OOV-X-87F381B751,2,appropriate,
249,Treatment,cp-79431,OOV-X-1B62866F51,1,appropriate,
250,Treatment,cp-44618,OOV-X-9BE8C61E8D,1,appropriate,
251,Treatment,cp-50877,OOV-X-CA4BB2FB80,1,appropriate,
252,Treatment,MYB siRNA 1,OOV-X-75C686782D,3,appropriate,
253,Treatment,cp-3793,OOV-X-CEA4073E13,1,appropriate,
254,Treatment,10-5M ATRA,OOV-X-DB087B28D5,2,appropriate,
255,Treatment,Twist2; transfected with twist expression vector,OOV-X-58CE4BAAA2,2,appropriate,
256,Condition,Stasis,OOV-C-55C5205D5A,10,appropriate,
257,Treatment,MAML1 stable overexpression,OOV-X-C87FF32CC7,5,appropriate,
258,Treatment,Rhosin,OOV-X-F27DF8B7A5,3,appropriate,
259,Treatment,cp-33764,OOV-X-F7903DDB99,1,appropriate,
260,Treatment,HA L2_24h,OOV-X-D4E7FC8DF9,4,appropriate,
261,Treatment,SLE serum,OOV-X-0F05D477FD,3,appropriate,
262,Treatment,cp-5274,OOV-X-F04DA89FFD,1,appropriate,
263,Treatment,CCDP; DUSP1 knockdown (siRNA-mediated),OOV-X-64F44441CE,2,appropriate,
264,Treatment,YM-201636 0.04µM,OOV-X-9ADC7A5A46,53,appropriate,
265,Treatment,40.2um,OOV-X-BECE4B8B10,33,appropriate,
266,Tissue,HCC tumor tissue without metastasis,OOV-T-8C52D175CC,10,appropriate,
267,Treatment,50 µg DEP/mL,OOV-X-520C3005E0,6,appropriate,
268,Condition,cT4aN0M0; pT0N0,OOV-C-21C36A2E42,1,appropriate,
269,Treatment,Non-silencing construct,OOV-X-4266A161CD,4,appropriate,
270,Tissue,Malignant glioma clone; U3117MG-C492,OOV-T-967AADF7A0,1,inappropriate,CVCL_IS00
271,Treatment,vector-110816,OOV-X-D784DB7D74,1,appropriate,
273,Tissue,mDC,ART-T-01645,25,inappropriate,D003713
274,Treatment,cp-867,OOV-X-763574609E,1,appropriate,
275,Condition,Leishmania major,OOV-C-8F76CDE695,2,appropriate,
276,Treatment,ZBTB40,OOV-X-3F23BDFE65,3,appropriate,
277,Treatment,cp-33144,OOV-X-8196CAF8BD,1,appropriate,
278,Condition,non-lesional knee cartilage OA,OOV-C-74F1BF9D8C,3,inappropriate,D020370
279,Treatment,cp-82119,OOV-X-AD66046317,1,appropriate,
280,Condition,EBNA-3A mutant B infected,OOV-C-7AF7DDD32F,4,appropriate,
281,Treatment,CCR5-using HIV-1 non replicating,OOV-X-635869C6D6,3,appropriate,
282,Treatment,t(8; 21) genotype,OOV-X-D594A49E49,3,appropriate,
283,Treatment,10.6981um,OOV-X-8726696C47,2,appropriate,
284,Treatment,shAS1,ART-X-08293,1,appropriate,
285,Treatment,yes allergy,OOV-X-64FEBF8316,192,appropriate,
286,Treatment,AT-7519 0.04µM,OOV-X-30ACAC19AE,74,appropriate,
287,Treatment,canertinib 3.33µM,OOV-X-1EB203D8D3,71,appropriate,
288,Treatment,trametinib 3.33µM,OOV-X-2C4B4953B2,55,appropriate,
289,Condition,IPF/UIP,OOV-C-B6F564010B,119,inappropriate,D054990
290,Tissue,Blasts and mononuclear cells,OOV-T-1E49BF3C35,65,inappropriate,D007963
291,Treatment,golimumab,OOV-X-DA6A115F40,109,appropriate,
292,Treatment,GSK-690693 3.33µM,OOV-X-3E20B5A9E0,53,appropriate,
293,Condition,CHD7 variant,OOV-C-F639D5AB20,53,appropriate,
294,Treatment,Mid dose,OOV-X-D934B587DA,144,appropriate,
295,Tissue,Stool,OOV-T-E9D0AF0B55,338,inappropriate,D005243
296,Treatment,AS-601245 1.11µM,OOV-X-CAE150557D,54,appropriate,
297,Condition,non-responder,OOV-C-67F4E34D13,74,appropriate,
298,Tissue,cervico-vaginal material,OOV-T-54CCCD6C82,68,appropriate,
299,Condition,non-tumor,OOV-C-8F4BC153BC,567,appropriate,
300,Treatment,PD-173074 1.11µM,OOV-X-3721EC286B,70,appropriate,
301,Treatment,PHA-665752 0.37µM,OOV-X-01BD19CA14,55,appropriate,
302,Condition,Vata,ART-C-00847,56,appropriate,
303,Treatment,torin-1 10µM,OOV-X-777E52B647,68,appropriate,
304,Condition,non-metastatic prostate cancer,OOV-C-C4C3FE2162,70,inappropriate,D011471
305,Condition,born small for gestational age (SGA),OOV-C-AA250E76F8,63,appropriate,
306,Condition,primary tumor,OOV-C-A7DE4717B5,67,appropriate,
307,Tissue,Peripheral blood cd19+ tumor cells,OOV-T-EF5AF10473,55,appropriate,
308,Treatment,Respiratory Syncitial Virus co-infections (RSVco),OOV-X-D90EC3A0CE,81,appropriate,
309,Treatment,media alone,OOV-X-8904EBF879,148,appropriate,
310,Treatment,JNK-9L 3.33µM,OOV-X-E0B6F6A8B9,68,appropriate,
311,Condition,AML with normal karyotype; de novo AML,OOV-C-2BBC746E01,235,inappropriate,D015470
312,Condition,vehicle control,OOV-C-2DA3A811D7,233,appropriate,
313,Tissue,blasts and mononuclear cells,OOV-T-1E49BF3C35,461,inappropriate,D007963
314,Condition,non-infected control,OOV-C-3D7BA6595F,96,appropriate,
316,Tissue,Uveal melanoma,OOV-T-5D66AFF31F,57,appropriate,
317,Tissue,high grade serous ovarian cancer,OOV-T-82270AE043,113,appropriate,
318,Treatment,DEP,ART-X-04801,56,appropriate,
319,Condition,ASD,ART-C-00683,241,inappropriate,D000067877
320,Tissue,LM CRC PDX sample,OOV-T-D239E53FFB,523,appropriate,
321,Condition,living donor,OOV-C-19DE4EFC69,71,appropriate,
322,Treatment,GSK-1059615 1.11µM,OOV-X-1EF3CA1F93,240,appropriate,
323,Treatment,5-Azacytidine_1000nM,OOV-X-A685B7B459,70,appropriate,
325,Treatment,WZ-4-145 1.11µM,OOV-X-18F8F03050,72,appropriate,
326,Treatment,AZD-7762 10µM,OOV-X-04BA2CBB21,68,appropriate,
327,Treatment,non-diabetic donors,OOV-X-D120AD27E9,55,appropriate,
328,Treatment,IL-1b,OOV-X-A9E9029F8F,59,inappropriate,D053583
329,Treatment,KIN001-043 0.37µM,OOV-X-ABA73F2B9F,73,appropriate,
330,Tissue,Lymphoblastoid Cell Lines (LCL),OOV-T-98E57BFE8F,244,appropriate,
331,Condition,Normal Pregnancy,OOV-C-D12C3BAAEE,126,appropriate,
333,Tissue,Isolated peripheral blood mononuclear cells (PBMCs),OOV-T-9067226445,54,inappropriate,D007963
334,Tissue,peripheral-blood mononuclear cell (PBMC),OOV-T-4B681227CE,100,inappropriate,D007963
335,Tissue,Proliferative Endometrial tissue,OOV-T-42594D0246,64,inappropriate,D004717
336,Condition,HIV-1 infected,OOV-C-5F341F0467,71,inappropriate,D015658
337,Tissue,Bb,ART-T-01311,86,indeterminate,
338,Treatment,radicicol 0.37µM,OOV-X-172634A351,136,appropriate,
339,Treatment,WYE-125132 1.11µM,OOV-X-59B4958FFF,72,appropriate,
340,Treatment,CYT387 0.37µM,OOV-X-F4E922AF68,57,appropriate,
341,Treatment,robotic radical prostatetctomy,OOV-X-9E07F0DB85,63,appropriate,
342,Treatment,CP-724714 1.11µM,OOV-X-E686F06FB6,54,appropriate,
343,Treatment,typically developing (control) diagnosis,OOV-X-FD06C54C17,70,appropriate,
344,Treatment,2HRZE/4HR,OOV-X-5BB9F91D73,191,appropriate,
345,Tissue,colorectal cancer biopsy,OOV-T-15CB6BF737,821,appropriate,
346,Tissue,colorectal carcinoma,OOV-T-AAF5C9E1CA,176,appropriate,
347,Treatment,hepatitis C virus,OOV-X-A15A145306,58,appropriate,
