acronym,gse,occurrences,expansion_found_in_study,verdict,mesh_id,mesh_name
OA,GSE63695,81,osteoathritis,defined in the study and MeSH has no term for it,,
AP,GSE65270,80,,not defined in the study's own text,,
RRMS,GSE224351,77,,not defined in the study's own text,,
HV,GSE36701,77,healthy volunteers,defined in the study but MeSH holds it outside the branch,D064368,Healthy Volunteers
RSV,GSE41374,76,,not defined in the study's own text,,
RR,GSE126581,76,,not defined in the study's own text,,
s-CNI,GSE14655,76,stable patients maintained with calcineurin inhibitors,defined in the study and MeSH has no term for it,,
HS,GSE87648,75,,not defined in the study's own text,,
NSOI,GSE58331,75,nonspecific orbital inflammation,defined in the study and MeSH has no term for it,,
CKD,GSE215221,73,,not defined in the study's own text,,
NP,GSE65270,70,,not defined in the study's own text,,
MYD88-/-,GSE25742,69,,not defined in the study's own text,,
ABMR,GSE192444,67,antibody-mediated rejection,defined in the study and MeSH has no term for it,,
NKTL,GSE90597,66,NK/T-cell lymphoma,defined in the study and MeSH has no term for it,,
NSCLC,GSE36216,65,Non-small cell lung cancers,defined in the study and MeSH has no term for it,,
ABMR,GSE36059,65,,not defined in the study's own text,,
BCP-ALL,GSE200864,64,,not defined in the study's own text,,
IRAK4-/-,GSE25742,60,,not defined in the study's own text,,
HC,GSE87640,59,,not defined in the study's own text,,
HIV-1,GSE109792,59,,not defined in the study's own text,,
TB-IRIS,GSE58411,58,,not defined in the study's own text,,
NEG,GSE227080,58,,not defined in the study's own text,,
CIS,GSE113006,53,,not defined in the study's own text,,
IBS-D,GSE36701,53,IBS-C and 27 diarrhoea predominant IBS subjects,defined in the study and MeSH has no term for it,,
pABMR,GSE124203,52,,not defined in the study's own text,,
CIS,GSE113004,50,,not defined in the study's own text,,
CNS-PNET,GSE73038,50,,not defined in the study's own text,,
ER+HER2-,GSE230881,49,,not defined in the study's own text,,
TBM-IRIS,GSE83892,48,,not defined in the study's own text,,
ATRT,GSE70678,48,Atypical teratoid/rhabdoid tumor,defined in the study and MeSH has no term for it,,
EAC,GSE72873,47,,not defined in the study's own text,,
t-MDS/AML,GSE23025,46,Therapy-related myelodysplasia or acute myeloid leukemia,defined in the study and MeSH has no term for it,,
ER+/-HER2+,GSE230881,46,,not defined in the study's own text,,
PTCL/U,GSE6338,46,Peripheral T-cell lymphoma unspecified,defined in the study and MeSH has no term for it,,
AGA,GSE93353,44,appropriate birth weight for gestational age,defined in the study and MeSH has no term for it,,
HVT,GSE112811,44,,not defined in the study's own text,,
ADC,GSE146383,43,,not defined in the study's own text,,
RV1B,GSE137905,42,,not defined in the study's own text,,
GPD,GSE99039,41,,not defined in the study's own text,,
ABMR,GSE48581,40,,not defined in the study's own text,,
FAP,GSE65270,40,,not defined in the study's own text,,
CTL,GSE59630,39,,not defined in the study's own text,,
PDD-NOS,GSE18123,39,,not defined in the study's own text,,
pGBM,GSE111260,36,primary glioblastomas,defined in the study and MeSH has no term for it,,
M0-AML,GSE17061,35,,not defined in the study's own text,,
SBI,GSE64456,34,,not defined in the study's own text,,
MOD_SEV,GSE227080,34,,not defined in the study's own text,,
IBS-C,GSE36701,34,IBS subjects,defined in the study and MeSH has no term for it,,
BPH,GSE129604,33,bonito fish peptide hydrolysate,defined in the study and MeSH has no term for it,,
CP,GSE65270,33,,not defined in the study's own text,,
AD,GSE36980,33,3xTg-AD,defined in the study and MeSH has no term for it,,
IPAH,GSE117261,32,,not defined in the study's own text,,
B-ALL,GSE2677,30,,not defined in the study's own text,,
FOP-ML,GSE183525,30,,not defined in the study's own text,,
s-LP,GSE14655,30,,not defined in the study's own text,,
PTB,GSE40553,29,,not defined in the study's own text,,
CONTROL,GSE98203,29,,not defined in the study's own text,,
ROBD,GSE219264,29,restricted oxygen breathing device,defined in the study and MeSH has no term for it,,
PPMS,GSE131281,28,,not defined in the study's own text,,
B-ALL,GSE118992,28,,not defined in the study's own text,,
NON_TUMOR,GSE68848,28,,not defined in the study's own text,,
AD,GSE139300,27,,not defined in the study's own text,,
RRMS-s,GSE228330,27,,not defined in the study's own text,,
cT3N0M0,GSE222073,27,,not defined in the study's own text,,
SMZL,GSE35348,27,Splenic marginal zone lymphoma,defined in the study and MeSH has no term for it,,
HD,GSE99039,27,,not defined in the study's own text,,
NSOI,GSE105149,27,nonspecific orbital inflammation,defined in the study and MeSH has no term for it,,
HC,GSE14655,27,healthy controls,defined in the study and MeSH has no term for it,,
CGVHD,GSE60674,26,Chronic Graft-versus-Host-Disease,defined in the study and MeSH has it in-branch,D000092122,Bronchiolitis Obliterans Syndrome
ILC,GSE88909,26,invLCIS,defined in the study and MeSH has no term for it,,
DLE,GSE184989,26,,not defined in the study's own text,,
MILD,GSE227080,26,SARS +ve Mild,defined in the study and MeSH has no term for it,,
TCMR,GSE72925,26,T-cell mediated rejection,defined in the study and MeSH has no term for it,,
HC,GSE72377,25,,not defined in the study's own text,,
PET,GSE159514,25,post-ET,defined in the study and MeSH has no term for it,,
LR,GSE126581,25,,not defined in the study's own text,,
CONTROL,GSE11348,25,,not defined in the study's own text,,
DGF,GSE54888,25,"pDGF, DGF lasting > 14 days",defined in the study and MeSH has no term for it,,
HC,GSE86434,24,,not defined in the study's own text,,
HIV-1,GSE195434,24,,not defined in the study's own text,,
NGT,GSE182120,24,normal glucose tolerance,defined in the study and MeSH has no term for it,,
ANCA,GSE192995,24,,not defined in the study's own text,,
HC,GSE93683,24,,not defined in the study's own text,,
pSS,GSE93683,24,Primary Sj gren's syndrome,defined in the study and MeSH has no term for it,,
IF/TA,GSE22459,24,,not defined in the study's own text,,
IgMMGUS,GSE171739,23,,not defined in the study's own text,,
T-PLL,GSE147930,23,T cell prolymphocytic leukemia,defined in the study and MeSH has it in-branch,D015461,"Leukemia, Prolymphocytic, T-Cell"
AMS,GSE44407,22,after maternal bariatric surgery,defined in the study and MeSH has no term for it,,
BACTERIA,GSE60244,22,,not defined in the study's own text,,
SARC,GSE70867,22,,not defined in the study's own text,,
MIXED,GSE36059,22,,not defined in the study's own text,,
FAP,GSE40292,22,,not defined in the study's own text,,
DLBCL,GSE18376,22,DLBCL SGN-40 FFPE RNA profiles of human FFPE samples,defined in the study and MeSH has no term for it,,
PTCL/NOS,GSE45712,22,,not defined in the study's own text,,
TCMR,GSE192444,21,T cell-mediated rejection,defined in the study and MeSH has no term for it,,
FPIES,GSE222508,21,,not defined in the study's own text,,
PPMS,GSE131279,20,,not defined in the study's own text,,
LUSC,GSE134381,20,,not defined in the study's own text,,
CRSwNP,GSE107624,20,,not defined in the study's own text,,
ACLE,GSE184989,20,,not defined in the study's own text,,
DM2,GSE7014,20,,not defined in the study's own text,,
PBD-ZSD,GSE43996,20,peroxisome biogenesis disorder and healthy controls Zellweger spectrum disorder,defined in the study and MeSH has no term for it,,
PLACEBO,GSE103733,19,,not defined in the study's own text,,
CAKUT,GSE83946,19,,not defined in the study's own text,,
STEMI,GSE109048,19,segment elevation myocardial infarction,defined in the study and MeSH has no term for it,,
HSP,GSE73461,18,,not defined in the study's own text,,
FUO,GSE68004,18,,not defined in the study's own text,,
OD,GSE61160,18,,not defined in the study's own text,,
NORMAL,GSE48325,18,,not defined in the study's own text,,
AII,GSE111260,18,,not defined in the study's own text,,
ETP_ALL,GSE78166,18,,not defined in the study's own text,,
TCMR,GSE129166,18,,not defined in the study's own text,,
HC,GSE94510,18,,not defined in the study's own text,,
pSS,GSE94510,18,Primary Sj gren's syndrome,defined in the study and MeSH has no term for it,,
CONTROL,GSE68759,17,,not defined in the study's own text,,
MLID,GSE78773,17,methylation disturbance,defined in the study and MeSH has no term for it,,
HIV-,GSE67749,17,,not defined in the study's own text,,
SGA,GSE93353,17,small birth weight for gestational age,defined in the study and MeSH has no term for it,,
NL,GSE148346,17,,not defined in the study's own text,,
HLNRA,GSE95279,17,high level natural radiation areas,defined in the study and MeSH has no term for it,,
B-ALL,GSE14834,17,,not defined in the study's own text,,
NSIP,GSE32537,17,,not defined in the study's own text,,
DLBCL-GCB,GSE94553,16,,not defined in the study's own text,,
CTL,GSE63061,16,,not defined in the study's own text,,
B-ALL,GSE48680,16,,not defined in the study's own text,,
COPD-IV,GSE208662,16,,not defined in the study's own text,,
IFTA+i,GSE22459,16,,not defined in the study's own text,,
RAEB2,GSE77750,15,,not defined in the study's own text,,
CLL,GSE67640,15,Chronic lymhocytic leukemia,defined in the study and MeSH has no term for it,,
HC,GSE97075,15,healthy controls,defined in the study and MeSH has no term for it,,
HD,GSE236367,15,healthy donors,defined in the study and MeSH has no term for it,,
AOD,GSE61160,15,,not defined in the study's own text,,
HCCEtOH,GSE60753,15,,not defined in the study's own text,,
LPS,GSE108239,15,LPS stimulation,defined in the study and MeSH has no term for it,,
BKVN,GSE75693,15,,not defined in the study's own text,,
ER-HER2-,GSE230881,15,,not defined in the study's own text,,
FOP,GSE90638,15,,not defined in the study's own text,,
CONTROL,GSE61822,14,,not defined in the study's own text,,
EOMES_KO,GSE97627,14,,not defined in the study's own text,,
GAS,GSE68004,14,Group A streptococcal disease,defined in the study and MeSH has no term for it,,
DLBCL,GSE81413,14,,not defined in the study's own text,,
OCI-AML3,GSE158103,14,,not defined in the study's own text,,
PF,GSE126581,14,Proliferative,defined in the study and MeSH has no term for it,,
DMX,GSE13608,14,"DM-like, no DMPK or ZNF9 expansion",defined in the study and MeSH has no term for it,,
MDD,GSE44593,14,"n=103 subjects, 50.5%MDD",defined in the study and MeSH has no term for it,,
SSc-ILD,GSE76808,14,,not defined in the study's own text,,
LGD,GSE89181,13,,not defined in the study's own text,,
MBL,GSE125791,13,monoclonal B cell lymphocytosis,defined in the study and MeSH has no term for it,,
sCLE,GSE81071,13,Subacute CLE,defined in the study and MeSH has no term for it,,
ET,GSE108239,13,Endotoxin tolerance,defined in the study but MeSH holds it outside the branch,D000087523,Endotoxin Tolerance
WBM,GSE136324,13,whole bone marrow,defined in the study and MeSH has no term for it,,
CDi,GSE16879,13,CDc and 18 Crohn s ileitis,defined in the study and MeSH has no term for it,,
ATL,GSE12287,13,,not defined in the study's own text,,
DLCL,GSE5681,13,,not defined in the study's own text,,
OCCC,GSE29175,13,Ovarian clear cell carcinoma,defined in the study and MeSH has no term for it,,
FTLD-U,GSE13162,13,,not defined in the study's own text,,
B-ALL,GSE168593,13,,not defined in the study's own text,,
NEC,GSE80796,13,,not defined in the study's own text,,
LEAN,GSE139258,12,,not defined in the study's own text,,
HC,GSE72376,12,,not defined in the study's own text,,
HCCHCV,GSE60753,12,,not defined in the study's own text,,
HCC,GSE228782,12,,not defined in the study's own text,,
pABMR,GSE192444,12,,not defined in the study's own text,,
UCMD,GSE56741,12,,not defined in the study's own text,,
PDD,GSE150696,12,Parkinson's disease dementia,defined in the study and MeSH has no term for it,,
AIS,GSE110359,12,Adolescent idiopathic scoliosis,defined in the study and MeSH has no term for it,,
EGPA,GSE119136,12,,not defined in the study's own text,,
EPR,GSE126581,12,,not defined in the study's own text,,
B-NHL,GSE65816,12,,not defined in the study's own text,,
CIS,GSE53716,12,,not defined in the study's own text,,
F-PTSD,GSE125216,12,,not defined in the study's own text,,
DM,GSE27949,12,,not defined in the study's own text,,
B-CLL,GSE26725,12,,not defined in the study's own text,,
ANL,GSE32924,12,extensive study of nonlesional AD,defined in the study and MeSH has no term for it,,
HPS,GSE107797,12,,not defined in the study's own text,,
IFTA,GSE93658,12,interstitial fibrosis and tubular atrophy,defined in the study and MeSH has no term for it,,
CONTROL,GSE56396,12,,not defined in the study's own text,,
PTLD,GSE6049,12,,not defined in the study's own text,,
IRAK4-/-,GSE92466,11,,not defined in the study's own text,,
HC,GSE83456,11,,not defined in the study's own text,,
FBE,GSE89181,11,,not defined in the study's own text,,
AMS,GSE44798,11,after maternal bariatric surgery,defined in the study and MeSH has no term for it,,
HIV-,GSE67748,11,,not defined in the study's own text,,
AT/RT,GSE73801,11,,not defined in the study's own text,,
EPN,GSE73801,11,,not defined in the study's own text,,
B-CLL,GSE46261,11,B-cell chronic lymphocytic leukemia,defined in the study and MeSH has it in-branch,D015451,"Leukemia, Lymphocytic, Chronic, B-Cell"
MCD,GSE68126,11,,not defined in the study's own text,,
CTR,GSE104013,11,,not defined in the study's own text,,
cT2N0M0,GSE222073,11,,not defined in the study's own text,,
NGT,GSE27949,11,,not defined in the study's own text,,
UIP/IPF,GSE21369,11,usual interstitial pneumonia/ idiopathic pulmonary fibrosis,defined in the study and MeSH has no term for it,,
SIV,GSE33687,11,,not defined in the study's own text,,
AML,GSE35010,11,AML with monosomy 7,defined in the study and MeSH has no term for it,,
RB-ILD,GSE32537,11,,not defined in the study's own text,,
HIV-1,GSE55029,10,,not defined in the study's own text,,
BCP-ALL,GSE63988,10,,not defined in the study's own text,,
cKD,GSE68004,10,,not defined in the study's own text,,
HHV6,GSE40396,10,,not defined in the study's own text,,
HCMV,GSE50955,10,,not defined in the study's own text,,
CF,GSE107846,10,cycstic fibrosis,defined in the study and MeSH has no term for it,,
IDH1-R132H,GSE85571,10,,not defined in the study's own text,,
MCI,GSE185909,10,Mild Cognative Impairment,defined in the study and MeSH has no term for it,,
L+IgG,GSE89342,10,,not defined in the study's own text,,
L+a-T,GSE89342,10,,not defined in the study's own text,,
MCD,GSE68125,10,,not defined in the study's own text,,
NoVAP,GSE30385,10,,not defined in the study's own text,,
SARS,GSE1739,10,,not defined in the study's own text,,
ERA,GSE1964,10,,not defined in the study's own text,,
ETMR,GSE73038,10,,not defined in the study's own text,,
MB_GRP3,GSE99961,10,,not defined in the study's own text,,
HER2+,GSE230881,10,,not defined in the study's own text,,
UNDIFF,GSE33789,10,,not defined in the study's own text,,
HEALTHY,GSE28750,10,,not defined in the study's own text,,
IF/TA,GSE53605,10,,not defined in the study's own text,,
ALL,GSE58613,10,,not defined in the study's own text,,
CR,GSE14655,10,chronic rejection,defined in the study and MeSH has no term for it,,
cSCCHN,GSE86544,9,cutaneous SCCs of the head and neck,defined in the study and MeSH has no term for it,,
COL6RD-1,GSE103972,9,,not defined in the study's own text,,
B-ALL,GSE29049,9,,not defined in the study's own text,,
III,GSE23130,9,,not defined in the study's own text,,
X-CGD,GSE40790,9,,not defined in the study's own text,,
ABC-DLBCL,GSE159915,9,,not defined in the study's own text,,
R2TCMR,GSE145780,9,,not defined in the study's own text,,
CTRL,GSE125791,9,,not defined in the study's own text,,
ATXN1L-KO,GSE103513,9,,not defined in the study's own text,,
MN,GSE68126,9,,not defined in the study's own text,,
MN,GSE68125,9,,not defined in the study's own text,,
FN-RMS,GSE166810,9,,not defined in the study's own text,,
AT/RT,GSE73038,9,,not defined in the study's own text,,
t-AML,GSE52478,9,,not defined in the study's own text,,
AIED,GSE4277,9,,not defined in the study's own text,,
PDC,GSE146383,9,pediatric and adult subjects,defined in the study and MeSH has no term for it,,
PiZZ,GSE66076,9,,not defined in the study's own text,,
MyD88-/-,GSE92466,8,,not defined in the study's own text,,
COL6RD-2,GSE103972,8,,not defined in the study's own text,,
IDH1-R132C,GSE85571,8,,not defined in the study's own text,,
EAC,GSE89181,8,esophageal adenocarcinoma,defined in the study and MeSH has no term for it,,
AOA,GSE48461,8,,not defined in the study's own text,,
CCC,GSE228782,8,,not defined in the study's own text,,
III,GSE70362,8,,not defined in the study's own text,,
CIM-GC,GSE78523,8,,not defined in the study's own text,,
AML,GSE183772,8,Acute Myelod Leukemia,defined in the study and MeSH has no term for it,,
SPMS-a,GSE228330,8,,not defined in the study's own text,,
FRAXE,GSE27953,8,,not defined in the study's own text,,
OII,GSE111260,8,,not defined in the study's own text,,
TOL,GSE26622,8,Tolerant,defined in the study and MeSH has no term for it,,
BeS,GSE110779,8,beryllium-sensitized,defined in the study and MeSH has no term for it,,
AML-TLD,GSE16625,8,,not defined in the study's own text,,
AR,GSE87301,8,allograft rejection,defined in the study and MeSH has no term for it,,
NGT,GSE19420,8,normoglycemic controls,defined in the study and MeSH has no term for it,,
ND,GSE18090,8,,not defined in the study's own text,,
AL,GSE32924,8,abnormalities that characterize lesional AD,defined in the study and MeSH has no term for it,,
p53KO,GSE63252,8,,not defined in the study's own text,,
CTR,GSE56490,8,,not defined in the study's own text,,
BCP-ALL,GSE86066,8,,not defined in the study's own text,,
BCP-ALL,GSE86067,8,B-cell precursor acute lymphoblastic leukemia,defined in the study and MeSH has no term for it,,
AGEP,GSE121421,8,,not defined in the study's own text,,
ICF,GSE9499,8,Immunodeficiency Centromere Instability Facial Anomalies,defined in the study and MeSH has no term for it,,
MECP2-/Y,GSE92466,7,,not defined in the study's own text,,
MEG3-OFF,GSE58809,7,,not defined in the study's own text,,
CRONICO,GSE108277,7,,not defined in the study's own text,,
FTD/MND,GSE53740,7,,not defined in the study's own text,,
EMT,GSE82293,7,Epithelial-to-mesenchymal transition,defined in the study and MeSH has no term for it,,
NOMOA,GSE51785,7,,not defined in the study's own text,,
NONASH,GSE106737,7,,not defined in the study's own text,,
p53KO,GSE157336,7,,not defined in the study's own text,,
MOCK,GSE98757,7,,not defined in the study's own text,,
PSEN1,GSE195872,7,,not defined in the study's own text,,
CCAM,GSE4772,7,,not defined in the study's own text,,
SMZL,GSE25638,7,,not defined in the study's own text,,
B-ALL,GSE2842,7,,not defined in the study's own text,,
LPS,GSE40885,7,Lipopolysaccharide,defined in the study but MeSH holds it outside the branch,D008070,Lipopolysaccharides
HIV-1,GSE511,7,,not defined in the study's own text,,
H11N9,GSE19580,7,,not defined in the study's own text,,
PTCL-U,GSE20874,6,peripheral T-cell lymphoma unspecified,defined in the study and MeSH has no term for it,,
HPV16,GSE109039,6,,not defined in the study's own text,,
PDAC,GSE152304,6,,not defined in the study's own text,,
PMBL,GSE75605,6,Primary Mediastinal large B-cell lymphoma,defined in the study and MeSH has no term for it,,
BCP-ALL,GSE68413,6,,not defined in the study's own text,,
PRMS,GSE131281,6,,not defined in the study's own text,,
PDC,GSE139384,6,parkinsonism-dementia complex,defined in the study and MeSH has no term for it,,
MODY5,GSE74884,6,,not defined in the study's own text,,
HGD,GSE89181,6,,not defined in the study's own text,,
AOA,GSE61160,6,,not defined in the study's own text,,
PiZZ,GSE66077,6,,not defined in the study's own text,,
IBDU,GSE51785,6,,not defined in the study's own text,,
CTCL,GSE49308,6,,not defined in the study's own text,,
HIV-1,GSE58994,6,,not defined in the study's own text,,
HIV-2,GSE58994,6,,not defined in the study's own text,,
CTC,GSE58355,6,circulating tumor cells,defined in the study and MeSH has it in-branch,D009360,"Neoplastic Cells, Circulating"
M(IFN-γ),GSE124020,6,,not defined in the study's own text,,
HIV2,GSE109554,6,,not defined in the study's own text,,
CRSwNP,GSE194282,6,CRS with nasal polyps,defined in the study and MeSH has no term for it,,
ALL,GSE55406,6,,not defined in the study's own text,,
RSV,GSE59391,6,,not defined in the study's own text,,
IIM-GC,GSE78523,6,,not defined in the study's own text,,
IL4I1_KO,GSE129978,6,,not defined in the study's own text,,
hT-ALL,GSE100718,6,,not defined in the study's own text,,
ALD/HCV,GSE205645,6,,not defined in the study's own text,,
IFNa,GSE186391,6,,not defined in the study's own text,,
NPC,GSE106075,6,,not defined in the study's own text,,
cT2N0M1,GSE222073,6,,not defined in the study's own text,,
EWS-FLI1+,GSE68898,6,,not defined in the study's own text,,
T_ALL,GSE78166,6,,not defined in the study's own text,,
CBD,GSE110779,6,chronic beryllium disease,defined in the study and MeSH has no term for it,,
TGCT,GSE14231,6,testicular germ cell tumor,defined in the study and MeSH has no term for it,,
CIN1,GSE4289,6,,not defined in the study's own text,,
XP-A,GSE185308,6,XP complementation group A,defined in the study and MeSH has no term for it,,
BCP-ALL,GSE218348,6,,not defined in the study's own text,,
MLL-ALL,GSE17459,6,,not defined in the study's own text,,
H3.3-K27M,GSE133153,6,,not defined in the study's own text,,
XIST+,GSE36233,6,,not defined in the study's own text,,
HGSOC,GSE69428,6,High-grade serous ovarian cancer,defined in the study and MeSH has no term for it,,
B-ALL,GSE79450,6,,not defined in the study's own text,,
PTCL/AV,GSE6338,6,,not defined in the study's own text,,
HC,GSE141804,6,healthy control,defined in the study and MeSH has no term for it,,
MDS,GSE58613,6,,not defined in the study's own text,,
OIS,GSE41318,6,Oncogene Induced Senescence,defined in the study and MeSH has no term for it,,
TCMR_IFTA,GSE93658,6,,not defined in the study's own text,,
MPR,GSE121421,6,,not defined in the study's own text,,
HCMV,GSE24238,6,human cytomegalovirus,defined in the study and MeSH has no term for it,,
HSV-1,GSE4521,6,,not defined in the study's own text,,
H1N1,GSE22319,5,,not defined in the study's own text,,
H7N1,GSE22319,5,,not defined in the study's own text,,
H5N1,GSE22319,5,,not defined in the study's own text,,
H3N2,GSE22319,5,,not defined in the study's own text,,
H5N2,GSE22319,5,H5N1 A/Finch/England/2051/94,defined in the study and MeSH has no term for it,,
HC,GSE73355,5,,not defined in the study's own text,,
CTRL,GSE113866,5,controls,defined in the study and MeSH has no term for it,,
PDC+A,GSE139384,5,,not defined in the study's own text,,
HLRCC,GSE26574,5,,not defined in the study's own text,,
COL6RD-3,GSE103972,5,,not defined in the study's own text,,
IV,GSE23130,5,,not defined in the study's own text,,
AA/GBM,GSE48461,5,,not defined in the study's own text,,
IUGR,GSE74738,5,,not defined in the study's own text,,
BCP-ALL,GSE143232,5,,not defined in the study's own text,,
NBM,GSE214360,5,,not defined in the study's own text,,
mHTT,GSE154128,5,mutant HTT,defined in the study and MeSH has no term for it,,
PAT,GSE123375,5,pancreatitis CP periampullary cancer,defined in the study and MeSH has no term for it,,
MDS/AML,GSE80314,5,,not defined in the study's own text,,
ARCI,GSE107462,5,Autosomal recessive congenital ichthyosis,defined in the study and MeSH has no term for it,,
TDP43,GSE195872,5,,not defined in the study's own text,,
LINC,GSE218895,5,,not defined in the study's own text,,
NEC,GSE247523,5,,not defined in the study's own text,,
cT3N2M1,GSE222073,5,,not defined in the study's own text,,
TTTS,GSE47393,5,twin-twin transfusion syndrome,defined in the study and MeSH has it in-branch,D005330,Fetofetal Transfusion
pTOL,GSE28842,5,,not defined in the study's own text,,
RAEB-t,GSE14468,5,,not defined in the study's own text,,
PNET,GSE35218,5,,not defined in the study's own text,,
PDTC,GSE53157,5,Poorly differentiated thyroid carcinomas,defined in the study and MeSH has no term for it,,
FFA,GSE58934,5,Frontal Fibrosing Alopecia,defined in the study and MeSH has no term for it,,
NSIP,GSE21369,5,non-specific interstitial pneumonitis,defined in the study and MeSH has no term for it,,
HIV-,GSE42853,5,,not defined in the study's own text,,
NL,GSE5850,5,,not defined in the study's own text,,
AT/RT,GSE65132,5,atypical teratoid/rhabdoid tumor,defined in the study and MeSH has no term for it,,
FPF,GSE107797,5,,not defined in the study's own text,,
MCD,GSE69814,5,minimal change disease,defined in the study and MeSH has it in-branch,D009402,"Nephrosis, Lipoid"
BCP-ALL,GSE141774,5,B-cell precursor acute lymphoblastic leukemia,defined in the study and MeSH has no term for it,,
EDS-HT/JHS,GSE77753,5,Ehlers-Danlos Syndrome Hypermobility type/Joint Hypermobility Syndrome,defined in the study and MeSH has no term for it,,
HIVE,GSE3489,5,HIV encephalitis,defined in the study and MeSH has no term for it,,
PAPA,GSE8650,5,,not defined in the study's own text,,
LGMD2B,GSE3307,5,,not defined in the study's own text,,
MALD1,GSE45717,5,,not defined in the study's own text,,
LPS,GSE62627,4,,not defined in the study's own text,,
CHIR-N2,GSE89951,4,,not defined in the study's own text,,
CONTROL,GSE48072,4,,not defined in the study's own text,,
MEG3-ON,GSE58809,4,,not defined in the study's own text,,
WT,GSE108170,4,,not defined in the study's own text,,
PLACEBO,GSE103671,4,,not defined in the study's own text,,
PARKIN,GSE66241,4,,not defined in the study's own text,,
SHIV,GSE39968,4,,not defined in the study's own text,,
BPH,GSE75441,4,benign prostate hyperplasia,defined in the study and MeSH has no term for it,,
H3N2,GSE111368,4,,not defined in the study's own text,,
HIV-1,GSE107478,4,,not defined in the study's own text,,
PBD-ZSD,GSE68134,4,peroxisome biogenesis disorder and healthy controls Zellweger spectrum disorder,defined in the study and MeSH has no term for it,,
pSS,GSE75679,4,primary Sj gren s syndrome,defined in the study and MeSH has no term for it,,
NMM,GSE51547,4,,not defined in the study's own text,,
T-LBL,GSE51907,4,,not defined in the study's own text,,
RB-ILD,GSE90010,4,respiratory bronchiolitis interstitial lung disease,defined in the study and MeSH has no term for it,,
DMSO,GSE143240,4,,not defined in the study's own text,,
I3P,GSE143240,4,Indole-3-pyruvate,defined in the study and MeSH has no term for it,,
SR1,GSE143240,4,,not defined in the study's own text,,
HC,GSE107344,4,,not defined in the study's own text,,
AUV,GSE231890,4,,not defined in the study's own text,,
HPeV1,GSE117183,4,,not defined in the study's own text,,
PTPR,GSE165813,4,,not defined in the study's own text,,
OxPAPC,GSE30169,4,,not defined in the study's own text,,
HUVEC,GSE25979,4,human umbilical vein endothelial cells,defined in the study but MeSH holds it outside the branch,D061307,Human Umbilical Vein Endothelial Cells
GBM/AA,GSE43107,4,,not defined in the study's own text,,
MIXED,GSE68848,4,,not defined in the study's own text,,
MB_SHH,GSE151343,4,,not defined in the study's own text,,
PNET,GSE33903,4,,not defined in the study's own text,,
B-CLL,GSE13987,4,,not defined in the study's own text,,
PHx,GSE15239,4,,not defined in the study's own text,,
ETV6-RUNX1,GSE101454,4,,not defined in the study's own text,,
PCO,GSE40613,4,,not defined in the study's own text,,
RV16,GSE27973,4,rhinovirus 16,defined in the study and MeSH has no term for it,,
RV16+CSE,GSE27973,4,,not defined in the study's own text,,
GCB-DLBCL,GSE9031,4,,not defined in the study's own text,,
IBMPFD,GSE30806,4,,not defined in the study's own text,,
IL10R2-/-,GSE39503,4,,not defined in the study's own text,,
M-MOOD,GSE125216,4,,not defined in the study's own text,,
CRC-CD,GSE10714,4,,not defined in the study's own text,,
